"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"62500600007844","Nodes","7844","21.000000","28.683925","Default Known Flow Node","Known Flow","233249.102625","639651.053264","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007879","Nodes","7879","21.000000","28.683925","Default Known Flow Node","Known Flow","233258.713628","639564.678241","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007902","Nodes","7902","21.000000","30.050232","Default Known Flow Node","Known Flow","232859.435519","639659.391267","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007906","Nodes","7906","21.000000","30.070186","Default Known Flow Node","Known Flow","232865.043521","639655.934266","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007919","Nodes","7919","21.000000","30.259653","Default Known Flow Node","Known Flow","233122.423591","639790.650302","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007962","Nodes","7962","21.000000","32.328867","DDS demands","Known Flow","232953.639729","639302.623022","","0.000000","","","","","","","-2.480000","","","","","","","","-2.217660","-2.480000","","","","","","","","","","D1 PROFILE","","","","","","","",""
"62500600007964","Nodes","7964","21.000000","32.473264","DDS demands","Known Flow","232941.820857","639289.805768","","0.000000","","","","","","","-3.790000","","","","","","","","-3.389085","-3.790000","","","","","","","","","","D1 PROFILE","","","","","","","",""
"62500600007963","Nodes","7963","21.000000","32.318254","DDS demands","Known Flow","232969.165549","639282.359164","","0.000000","","","","","","","-0.519999","","","","","","","","-0.464993","-0.519999","","","","","","","","","","D1 PROFILE","","","","","","","",""
"62500600007987","Nodes","7987","21.000000","32.733364","DDS demands","Known Flow","232925.919024","639270.393169","","0.000000","","","","","","","-0.399999","","","","","","","","-0.357687","-0.399999","","","","","","","","","","D1 PROFILE","","","","","","","",""
"62500600007965","Nodes","7965","21.000000","32.463914","DDS demands","Known Flow","232922.133537","639304.649170","","0.000000","","","","","","","-2.339999","","","","","","","","-2.092469","-2.339999","","","","","","","","","","D1 PROFILE","","","","","","","",""
"62500600007966","Nodes","7966","21.000000","32.463914","Default Known Flow Node","Known Flow","232915.103535","639295.724168","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007967","Nodes","7967","21.000000","32.463914","Default Known Flow Node","Known Flow","232932.840539","639319.325174","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
