"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-PL)"
"62505100003011","Nodes","3011","21.000000","24.243196","Default Known Flow Node","Known Flow","234935.075000","677239.460000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100000065","Nodes","65","21.000000","24.282127","DDS demands","Known Flow","234991.700000","677223.335000","","0.000000","","","","","-3.079999","","","","-2.754191","-3.079999","","","","","","","D1 PROFILE","","",""
"62505100003020","Nodes","3020","21.000000","24.308011","Default Known Flow Node","Known Flow","234983.700000","677190.460000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100003049","Nodes","3049","21.000000","35.999971","Default Known Flow Node","Known Flow","235057.450000","677307.835000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100000215","Nodes","215","21.000000","36.380938","DDS demands","Known Flow","235148.700000","677325.960000","","0.000000","","","","","-0.660000","","","","-0.590183","-0.660000","","","","","","","D1 PROFILE","","",""
"62505100000186","Nodes","186","21.000000","25.282022","DDS demands","Known Flow","235062.371379","677444.035314","","0.000000","","","","","-4.249999","","","","-3.800425","-4.249999","","","","","","","D1 PROFILE","","",""
"62505100000166","Nodes","CARMEN ROAD RRI","21.000000","35.999999","Default Known Pressure Node","Known Pressure","235056.575000","677308.210000","","999998.967025","","","","","","","","","43.199666","48.309996","","","","","","","","","",""
"62505100003010","Nodes","3010","21.000000","23.844370","DDS demands","Known Flow","235091.496032","677446.838757","","0.000000","","-37.369997","","","","","","","-33.416921","-37.369997","","","","C2 PROFILE","","","","","",""
"62505100000168","Nodes","168","21.000000","27.803473","DDS demands","Known Flow","234318.599463","677608.998170","","0.000000","","","","","-16.270000","","","","-14.548925","-16.270000","","","","","","","D1 PROFILE","","",""
"62505100003072","Nodes","3072","21.000000","27.745587","DDS demands","Known Flow","234321.200375","677608.776440","","0.000000","","","","","-9.399999","","","","-8.405647","-9.399999","","","","","","","D1 PROFILE","","",""
