"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"62502200000018","Nodes","18",21.000000,32.574990,"Default Known Flow Node","Known Flow",241344.380687,645541.089779,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005111","Nodes","5111",21.000000,34.964488,"Default Known Flow Node","Known Flow",241404.333538,645677.762921,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005112","Nodes","5112",21.000000,35.015283,"Default Known Flow Node","Known Flow",241454.116858,645734.439920,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005113","Nodes","Maximo ref: 324597",21.000000,34.385721,"Point Loads","Known Flow",241484.634866,645782.845933,,0.000000,,,,,,,,,-13.839999,,-12.375975,-13.839999,,"",,,,,,,,,"PL-AF PROFILE",
"62502200005185","Nodes","5185",21.000000,33.344874,"Default Known Flow Node","Known Flow",241471.734863,646074.846012,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005216","Nodes","5216",21.000000,36.424003,"Default Known Flow Node","Known Flow",241586.649207,645956.103423,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005260","Nodes","5260",21.000000,34.760689,"Default Known Flow Node","Known Flow",241505.437872,645979.826987,,0.000000,,,,,,-18.660000,,,,,-16.686106,-18.660000,,"",,,,,,"D1 PROFILE",,,,
"62502200005197","Nodes","5197",21.000000,33.317342,"Default Known Flow Node","Known Flow",241475.889958,646072.581029,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005253","Nodes","5253",21.000000,35.733184,"Default Known Flow Node","Known Flow",241589.801895,646025.475999,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005255","Nodes","5255",21.000000,35.152773,"Default Known Flow Node","Known Flow",241725.696932,646130.342027,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005259","Nodes","5259",21.000000,34.804415,"Default Known Flow Node","Known Flow",241463.247860,646004.455993,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005310","Nodes","5310",21.000000,33.029002,"DDS demands","Known Flow",241753.040939,645792.152935,,0.000000,-24.999999,,,,,,,,,,-22.355447,-24.999999,,"","C1 PROFILE",,,,,,,,,
"62502200005311","Nodes","5311",21.000000,33.528328,"Default Known Flow Node","Known Flow",241734.112934,645790.276935,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005343","Nodes","5343",21.000000,37.918096,"Default Known Flow Node","Known Flow",241831.011960,645828.662945,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005354","Nodes","5354",21.000000,35.474616,"Default Known Flow Node","Known Flow",241873.012972,645966.191983,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005420","Nodes","5420",21.000000,31.558285,"DDS demands","Known Flow",241999.696006,646449.471114,,0.000000,,,,,,-11.979999,,,,,-10.712730,-11.979999,,"",,,,,,"D1 PROFILE",,,,
"62502200005426","Nodes","5426",21.000000,30.403252,"Default Known Flow Node","Known Flow",242114.499038,646478.207122,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005427","Nodes","5427",21.000000,35.171562,"Default Known Flow Node","Known Flow",241709.376927,646181.086041,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005428","Nodes","5428",21.000000,35.171562,"Default Known Flow Node","Known Flow",241719.305930,646179.153041,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005440","Nodes","5440",21.000000,30.434656,"Default Known Flow Node","Known Flow",242186.045057,646028.558000,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005441","Nodes","5441",21.000000,30.346881,"DDS demands","Known Flow",242179.169055,646022.283998,,0.000000,,,,,,-1.090000,,,,,-0.974697,-1.090000,,"",,,,,,"D1 PROFILE",,,,
"62502200005442","Nodes","5442",21.000000,29.870030,"Default Known Flow Node","Known Flow",242175.181054,646335.197083,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005443","Nodes","5443",21.000000,30.393216,"Default Known Flow Node","Known Flow",242146.670046,646398.817101,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"62502200005680","Nodes","5680",21.000000,28.601895,"Default Known Flow Node","Known Flow",242311.031723,646168.479036,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
