"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62503700000394","Nodes","394","21.000000","29.562246","DDS demands","Known Flow","237790.570624","665331.474641","","0.000000","","","","","-3.339999","","","","","-2.986687","-3.339999","","","","","","","D1 PROFILE","","","",""
"62503700000390","Nodes","390","21.000000","27.548349","DDS demands","Known Flow","237870.297297","665157.196864","","0.000000","","","-1.869999","","-39.999997","","","","","-37.440900","-41.869997","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"62503700003196","Nodes","-82497","21.000000","27.941002","Default Known Flow Node","Known Flow","237808.301165","665023.458783","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700000122","Nodes","122","21.000000","26.487551","Default Known Flow Node","Known Flow","237987.625612","665137.047132","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700000193","Nodes","193","21.000000","26.869055","DDS demands","Known Flow","238011.508047","665027.475376","","0.000000","","","","","-14.770000","","","","","-13.207598","-14.770000","","","","","","","D1 PROFILE","","","",""
"62503700003015","Nodes","-118878","21.000000","28.408722","Default Known Flow Node","Known Flow","238147.990807","665075.212960","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700000231","Nodes","231","21.000000","26.531799","Default Known Flow Node","Known Flow","238011.708998","665095.875088","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700003019","Nodes","-118882","21.000000","31.149828","Default Known Flow Node","Known Flow","238176.091059","665433.435944","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700000380","Nodes","380","21.000000","31.149522","DDS demands","Known Flow","238169.045880","665436.931977","","0.000000","","","","","-6.000000","","","","","-5.365307","-6.000000","","","","","","","D1 PROFILE","","","",""
"62503700000105","Nodes","105","21.000000","30.924195","DDS demands","Known Flow","238246.841934","665212.433637","","0.000000","","","","","-5.579999","","","","","-4.989735","-5.579999","","","","","","","D1 PROFILE","","","",""
"62503700000395","Nodes","395","21.000000","31.742273","DDS demands","Known Flow","238305.154470","665362.284235","","0.000000","","","","-5.929999","-18.059999","","","","","-21.452286","-23.989999","","","","","","C4 PROFILE","D1 PROFILE","","","",""
"62503700000060","Nodes","60","21.000000","30.504167","DDS demands","Known Flow","238158.580586","665349.956134","","0.000000","","","","","-2.009999","","","","","-1.797377","-2.009999","","","","","","","D1 PROFILE","","","",""
"62503700000057","Nodes","57","21.000000","31.200240","DDS demands","Known Flow","238236.462602","665380.074817","","0.000000","","","","","-3.729999","","","","","-3.335432","-3.729999","","","","","","","D1 PROFILE","","","",""
"62503700000236","Nodes","236","21.000000","31.052891","DDS demands","Known Flow","238214.180033","665444.087330","","0.000000","","","-2.380000","","-23.879999","","","","","-23.482162","-26.260000","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"62503700000379","Nodes","379","21.000000","31.174605","Default Known Flow Node","Known Flow","238169.169438","665435.565673","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700000388","Nodes","388","21.000000","28.504259","DDS demands","Known Flow","238023.777459","665272.224998","","0.000000","-8.079999","","-2.519999","","-6.419999","","","","","-15.219588","-17.020000","","","C1 PROFILE","","C3 PROFILE","","D1 PROFILE","","","",""
"62503700000381","Nodes","381","21.000000","31.173084","DDS demands","Known Flow","238156.551571","665439.559178","","0.000000","","","","","-1.580000","","","","","-1.412864","-1.580000","","","","","","","D1 PROFILE","","","",""
"62503700003103","Nodes","-151628","21.000000","32.759370","Default Known Flow Node","Known Flow","238968.386016","665459.594797","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700003104","Nodes","LINTWHITE DG - GCM 3336","21.000000","32.999999","Default Known Pressure Node","Known Pressure","238971.375393","665458.826883","","999998.967025","","","","","","","","","","1538.433795","1720.423833","","","","","","","","","","",""
"62503700000077","Nodes","77","21.000000","31.528018","DDS demands","Known Flow","238988.585589","665338.059427","","0.000000","","","","","-10.140000","","","","","-9.067369","-10.140000","","","","","","","D1 PROFILE","","","",""
"62503700000290","Nodes","290","21.000000","30.806151","DDS demands","Known Flow","238848.547080","665224.943943","","0.000000","","","-2.689999","","-4.960000","","","","","-6.840766","-7.650000","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"62503700000081","Nodes","81","21.000000","30.759160","DDS demands","Known Flow","238823.536157","665057.569208","","0.000000","","","-5.680000","","-5.429999","","","","","-9.934760","-11.109999","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"62503700000400","Nodes","400","21.000000","30.768813","DDS demands","Known Flow","238823.011043","665168.805287","","0.000000","","","-9.960000","","-5.550000","","","","","-13.869320","-15.510000","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"62503700000078","Nodes","78","21.000000","30.746325","DDS demands","Known Flow","238823.346341","665158.308167","","0.000000","","","-9.109999","","-17.479999","","","","","-23.777252","-26.589999","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"62503700000396","Nodes","396","21.000000","31.315979","DDS demands","Known Flow","238632.081090","665033.083171","","0.000000","","","","","-6.000000","","","","","-5.365307","-6.000000","","","","","","","D1 PROFILE","","","",""
"62503700003033","Nodes","-118922","21.000000","31.309687","Default Known Flow Node","Known Flow","238631.655307","665031.313901","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700000294","Nodes","294","21.000000","31.429954","DDS demands","Known Flow","238629.669437","665282.565671","","0.000000","","","","","-0.639999","","","","","-0.572299","-0.639999","","","","","","","D1 PROFILE","","","",""
"62503700000063","Nodes","63","21.000000","30.974289","DDS demands","Known Flow","238752.042194","665452.035446","","0.000000","","","-2.529999","","","","","","","-2.262371","-2.529999","","","","","C3 PROFILE","","","","","",""
"62503700000402","Nodes","402","21.000000","30.261397","DDS demands","Known Flow","239025.076170","665190.056476","","0.000000","","","-5.689999","","-17.239999","","","","","-20.504417","-22.930000","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"62503700000215","Nodes","215","21.000000","26.220947","DDS demands","Known Flow","239431.475768","665366.393167","","0.000000","","","","","-11.579999","","","","","-10.355043","-11.579999","","","","","","","D1 PROFILE","","","",""
"62503700000074","Nodes","74","21.000000","31.923706","DDS demands","Known Flow","239289.548355","665194.619427","","0.000000","","","","","-4.909999","","","","","-4.390609","-4.909999","","","","","","","D1 PROFILE","","","",""
"62503700000341","Nodes","341","21.000000","30.613573","DDS demands","Known Flow","239094.685098","665091.374463","","0.000000","","","","","-13.399999","","","","","-11.982519","-13.399999","","","","","","","D1 PROFILE","","","",""
"62503700000075","Nodes","75","21.000000","31.514834","DDS demands","Known Flow","239072.994496","665334.578178","","0.000000","-12.380000","","","","-12.499999","","","","","-22.248140","-24.880000","","","C1 PROFILE","","","","D1 PROFILE","","","",""
"62503700003083","Nodes","-119028","21.000000","29.011067","Default Known Flow Node","Known Flow","239195.594290","665443.365480","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62503700000409","Nodes","409","21.000000","27.228448","DDS demands","Known Flow","239275.111684","665479.992675","","0.000000","","","","","-1.019999","","","","","-0.912102","-1.019999","","","","","","","D1 PROFILE","","","",""
"62503700000207","Nodes","207","21.000000","29.964814","DDS demands","Known Flow","239161.841274","665482.104174","","0.000000","","","","","-14.739999","","","","","-13.180771","-14.739999","","","","","","","D1 PROFILE","","","",""
"62503700000408","Nodes","408","21.000000","27.097401","DDS demands","Known Flow","239285.986547","665486.227658","","0.000000","","","","","-4.849999","","","","","-4.336956","-4.849999","","","","","","","D1 PROFILE","","","",""
"62503700000208","Nodes","208","21.000000","28.450841","DDS demands","Known Flow","239217.038633","665421.929902","","0.000000","","","","","-23.190000","","","","","-20.736913","-23.190000","","","","","","","D1 PROFILE","","","",""
"62503700000210","Nodes","210","21.000000","26.998119","DDS demands","Known Flow","239303.110864","665473.426357","","0.000000","","","","","-9.000000","","","","","-8.047961","-9.000000","","","","","","","D1 PROFILE","","","",""
"62503700000070","Nodes","70","21.000000","26.383975","DDS demands","Known Flow","239380.849658","665431.643856","","0.000000","","","","","-11.549999","","","","","-10.328216","-11.549999","","","","","","","D1 PROFILE","","","",""
"62503700000295","Nodes","295","21.000000","26.350587","DDS demands","Known Flow","239402.017891","665452.523820","","0.000000","","","","","-0.649999","","","","","-0.581241","-0.649999","","","","","","","D1 PROFILE","","","",""
"62503700000072","Nodes","72","21.000000","26.400905","DDS demands","Known Flow","239375.599219","665407.519132","","0.000000","","","","","-1.090000","","","","","-0.974697","-1.090000","","","","","","","D1 PROFILE","","","",""
"62503700000212","Nodes","212","21.000000","26.364216","DDS demands","Known Flow","239371.074066","665384.008233","","0.000000","","","","","-2.840000","","","","","-2.539578","-2.840000","","","","","","","D1 PROFILE","","","",""
"62503700000071","Nodes","71","21.000000","24.418290","DDS demands","Known Flow","239493.271851","665483.827507","","0.000000","","","","","-10.260000","","","","","-9.174676","-10.260000","","","","","","","D1 PROFILE","","","",""
"62503700000421","Nodes","421","21.000000","31.643321","DDS demands","Known Flow","239383.559353","665143.800907","","0.000000","","","-2.490000","","-1.649999","","","","","-3.702062","-4.139999","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"62503700000065","Nodes","65","21.000000","31.769078","DDS demands","Known Flow","239123.951909","665312.107076","","0.000000","-8.550000","","-6.070000","","-1.799999","","","","","-14.683058","-16.419999","","","C1 PROFILE","","C3 PROFILE","","D1 PROFILE","","","",""
