"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)"
"62506700000024","Nodes","24",21.000000,40.556337,"DDS demands","Known Flow",236402.919484,614337.307376,,0.000000,,,,-10.660000,,,,-9.532363,-10.660000,,"",,,,"D1 PROFILE",,,
"62506700000040","Nodes","40",21.000000,40.858487,"DDS demands","Known Flow",236414.437487,614304.752367,,0.000000,,,,-6.139999,,,,-5.490497,-6.139999,,"",,,,"D1 PROFILE",,,
"62506700000027","Nodes","27",21.000000,42.539813,"DDS demands","Known Flow",236644.618549,614255.327354,,0.000000,,,,-9.200000,,,,-8.226804,-9.200000,,"",,,,"D1 PROFILE",,,
"62506700000006","Nodes","6",21.000000,52.943718,"DDS demands","Known Flow",235930.527355,614535.203430,,0.000000,,,,-17.889999,,,,-15.997558,-17.889999,,"",,,,"D1 PROFILE",,,
"62506700000007","Nodes","7",21.000000,48.275020,"DDS demands","Known Flow",235782.187935,614593.540970,,0.000000,,,,-20.520001,,,,-18.349353,-20.520001,,"",,,,"D1 PROFILE",,,
"62506700000005","Nodes","5",21.000000,56.011313,"DDS demands","Known Flow",235955.778362,614584.290444,,0.000000,,,,-9.999999,,,,-8.942178,-9.999999,,"",,,,"D1 PROFILE",,,
"62506700301225","Nodes","301225",21.000000,51.313688,"DDS demands","Known Flow",235925.559354,614525.819428,,0.000000,,,,-2.219999,,,,-1.985163,-2.219999,,"",,,,"D1 PROFILE",,,
"62506700000019","Nodes","19",21.000000,50.411969,"DDS demands","Known Flow",235923.005353,614518.112426,,0.000000,,,,-21.799999,,,,-19.493948,-21.799999,,"",,,,"D1 PROFILE",,,
"62506700000030","Nodes","30",21.000000,48.234816,"Default Known Flow Node","Known Flow",235702.831115,614533.690894,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700301226","Nodes","301226",21.000000,49.248468,"DDS demands","Known Flow",235941.672358,614521.280426,,0.000000,,,-9.679999,,,,,-8.656029,-9.679999,,"",,,"C4 PROFILE",,,,
"62506700000003","Nodes","3",21.000000,58.887825,"DDS demands","Known Flow",236158.591012,614645.247448,,0.000000,,,,-10.499999,,,,-9.389287,-10.499999,,"",,,,"D1 PROFILE",,,
"62506700000004","Nodes","4",21.000000,58.177374,"DDS demands","Known Flow",236100.188837,614632.561516,,0.000000,,,,-13.300000,,,,-11.893098,-13.300000,,"",,,,"D1 PROFILE",,,
"62506700301232","Nodes","301232",21.000000,47.886396,"DDS demands","Known Flow",236474.429503,614526.809428,,0.000000,,,,-6.659999,,,,-5.955491,-6.659999,,"",,,,"D1 PROFILE",,,
"62506700000039","Nodes","39",21.000000,36.773158,"Default Known Flow Node","Known Flow",236359.888555,614535.473977,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700000022","Nodes","P08117885, BARBIESTON ROAD, 34.89scmh",22.999998,28.850339,"CSEP DDS Matched","Known Flow",236226.492083,614566.077339,,0.000000,,,,,-34.889999,,,-31.199261,-34.889999,,"",,,,,"DC PROFILE",,
"62506700000038","Nodes","38",21.000000,36.576066,"Default Known Flow Node","Known Flow",236310.962919,614480.107900,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700000043","Nodes","43",21.000000,43.705553,"Default Known Flow Node","Known Flow",236621.192543,614520.786426,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700000018","Nodes","18",21.000000,31.677299,"DDS demands","Known Flow",236720.784570,614572.868440,,0.000000,,,,-18.249999,,,,-16.319476,-18.249999,,"",,,,"D1 PROFILE",,,
"62506700000044","Nodes","44",21.000000,32.612213,"Default Known Flow Node","Known Flow",236675.474310,614534.284298,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700000025","Nodes","25",21.000000,46.535893,"DDS demands","Known Flow",236472.181980,614713.342801,,0.000000,,,,-14.640000,,,,-13.091350,-14.640000,,"",,,,"D1 PROFILE",,,
"62506700000034","Nodes","34",21.000000,34.140031,"Default Known Flow Node","Known Flow",236316.825279,614545.518711,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700000233","Nodes","233",21.000000,73.452380,"DDS demands","Known Flow",235910.636015,614741.872949,,0.000000,,,,-3.690000,,,,-3.299664,-3.690000,,"",,,,"D1 PROFILE",,,
"62506700000236","Nodes","236",21.000000,28.983342,"Default Known Flow Node","Known Flow",236228.679375,614566.491659,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700000229","Nodes","229",21.000000,43.452915,"Default Known Flow Node","Known Flow",236572.478835,614339.556331,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700000001","Nodes","1",21.000000,74.316348,"Default Known Flow Node","Known Flow",235894.631490,614751.040483,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006001","Nodes","6001",21.000000,58.937789,"DDS demands","Known Flow",236156.701417,614644.883460,,0.000000,,,,-12.199999,,,,-10.909458,-12.199999,,"",,,,"D1 PROFILE",,,
"62506700006002","Nodes","6002",21.000000,58.910584,"Default Known Flow Node","Known Flow",236157.723417,614645.080460,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006003","Nodes","6003",21.000000,58.868021,"DDS demands","Known Flow",236135.824411,614611.930451,,0.000000,-3.180000,,,-0.920000,,,,-3.666293,-4.100000,,"","C1 PROFILE",,,"D1 PROFILE",,,
"62506700006009","Nodes","6009",21.000000,48.108084,"Default Known Flow Node","Known Flow",235763.749310,614542.610432,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006014","Nodes","6014",21.000000,48.273072,"Default Known Flow Node","Known Flow",235781.684314,614592.580446,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006016","Nodes","6016",21.000000,66.270191,"DDS demands","Known Flow",235954.821362,614783.067498,,0.000000,,,,-8.869999,,,,-7.931712,-8.869999,,"",,,,"D1 PROFILE",,,
"62506700006018","Nodes","6018",21.000000,58.868021,"Default Known Flow Node","Known Flow",236219.058433,614566.572439,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006019","Nodes","6019",21.000000,28.892240,"Default Known Flow Node","Known Flow",236224.005435,614567.638439,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006095","Nodes","6001",21.000000,28.892240,"Default Known Flow Node","Known Flow",236226.415604,614567.047089,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006021","Nodes","6021",21.000000,48.015783,"Default Known Flow Node","Known Flow",235782.373315,614494.719419,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006024","Nodes","6024",21.000000,73.374848,"Default Known Flow Node","Known Flow",235895.192345,614708.626477,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"62506700006025","Nodes","6025",21.000000,73.245363,"DDS demands","Known Flow",235888.172343,614694.279473,,0.000000,,-13.220000,,,,,,-11.821560,-13.220000,,"",,"C2 PROFILE",,,,,
"62506700006027","Nodes","6027",21.000000,58.868021,"Default Known Flow Node","Known Flow",236223.933435,614565.718438,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
