"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62504300000199","Nodes","199",21.000000,34.415471,"Default Known Flow Node","Known Flow",220059.156250,647697.250000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"625043-1610992","Nodes","-1610992",21.000000,34.326617,"Default Known Flow Node","Known Flow",220061.625000,647687.000000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"625043-1355831","Nodes","-1355831",21.000000,37.542980,"Default Known Flow Node","Known Flow",220804.000000,648589.125000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000082","Nodes","82",21.000000,37.542943,"Default Known Flow Node","Known Flow",220804.000000,648589.000000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000179","Nodes","179",21.000000,37.362836,"DDS demands","Known Flow",220806.250000,648560.000000,,0.000000,,,,,-1.999999,,,,,-1.788435,-1.999999,,"",,,,,"D1 PROFILE",,,,
"62504300000282","Nodes","282",21.000000,35.279809,"DDS demands","Known Flow",220325.750000,648191.500000,,0.000000,,,,-2.079999,-17.090000,,,,,-17.142158,-19.170001,,"",,,,"C4 PROFILE","D1 PROFILE",,,,
"62504300000044","Nodes","44",21.000000,35.038576,"DDS demands","Known Flow",220240.250000,648113.500000,,0.000000,-3.000000,,,,-20.799998,,,,,-21.282385,-23.799999,,"","C1 PROFILE",,,,"D1 PROFILE",,,,
"625043-168788","Nodes","-168788",21.000000,33.268799,"Default Known Flow Node","Known Flow",220930.250000,647788.750000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000331","Nodes","331",21.000000,33.268799,"DDS demands","Known Flow",220929.625000,647792.625000,,0.000000,,,,,-5.449999,,,,,-4.873487,-5.449999,,"",,,,,"D1 PROFILE",,,,
"62504300000321","Nodes","321",21.000000,33.275594,"DDS demands","Known Flow",220927.125000,647803.250000,,0.000000,,,,,-2.490000,,,,,-2.226602,-2.490000,,"",,,,,"D1 PROFILE",,,,
"625043-82685","Nodes","-82685",21.000000,22.226934,"Default Known Flow Node","Known Flow",219630.750000,647950.750000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000166","Nodes","166",21.000000,22.183068,"DDS demands","Known Flow",219695.000000,647919.625000,,0.000000,,,,,-14.840000,,,,,-13.270194,-14.840000,,"",,,,,"D1 PROFILE",,,,
"62504300000036","Nodes","36",21.000000,34.444596,"DDS demands","Known Flow",219888.500000,647742.000000,,0.000000,,,,,-26.770001,,,,,-23.938215,-26.770001,,"",,,,,"D1 PROFILE",,,,
"625043-66992","Nodes","-66992",21.000000,34.069258,"Default Known Flow Node","Known Flow",219867.625000,647704.000000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000033","Nodes","33",21.000000,33.097363,"DDS demands","Known Flow",219786.375000,647559.750000,,0.000000,,,,,-12.109999,,,,,-10.828979,-12.109999,,"",,,,,"D1 PROFILE",,,,
"62504300000250","Nodes","250",21.000000,33.005111,"DDS demands","Known Flow",219763.625000,647518.375000,,0.000000,,,,,-7.909999,,,,,-7.073263,-7.909999,,"",,,,,"D1 PROFILE",,,,
"625043-90072","Nodes","-90072",21.000000,33.048021,"Default Known Flow Node","Known Flow",219777.750000,647479.250000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000034","Nodes","34",21.000000,33.847112,"DDS demands","Known Flow",219858.625000,647688.500000,,0.000000,,,-3.999999,-15.129999,-11.850000,,,,,-27.702870,-30.980001,,"",,,"C3  PROFILE","C4 PROFILE","D1 PROFILE",,,,
"62504300000039","Nodes","39",21.000000,23.789635,"DDS demands","Known Flow",219953.875000,648021.875000,,0.000000,,,,,-21.629998,,,,,-19.341931,-21.629998,,"",,,,,"D1 PROFILE",,,,
"62504300000182","Nodes","182",21.000000,33.760648,"DDS demands","Known Flow",219995.625000,648041.875000,,0.000000,-11.170000,,,,-6.159999,,,,,-15.496797,-17.329999,,"","C1 PROFILE",,,,"D1 PROFILE",,,,
"625043-82684","Nodes","-82684",21.000000,22.226934,"Default Known Flow Node","Known Flow",219583.875000,648010.875000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000136","Nodes","136",21.000000,23.149088,"DDS demands","Known Flow",219965.250000,648239.625000,,0.000000,,,,,-14.539999,,,,,-13.001927,-14.539999,,"",,,,,"D1 PROFILE",,,,
"625043-82687","Nodes","-82687",21.000000,22.771951,"Default Known Flow Node","Known Flow",219950.375000,648311.750000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000221","Nodes","221",21.000000,45.513524,"DDS demands","Known Flow",220341.125000,646850.125000,,0.000000,,,,,-6.569999,,,,,-5.875011,-6.569999,,"",,,,,"D1 PROFILE",,,,
