"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"62500300001399","Nodes","1399",21.000000,32.234116,"Default Known Flow Node","Known Flow",227824.203150,675452.836006,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300002551","Nodes","-2551",21.000000,32.874075,"Default Known Flow Node","Known Flow",227910.453173,675439.086003,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300001400","Nodes","1400",21.000000,32.126521,"Default Known Flow Node","Known Flow",227811.453146,675454.961007,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300002561","Nodes","-2561",21.000000,32.200247,"Default Known Flow Node","Known Flow",227820.203148,675453.586007,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300003703","Nodes","3703",21.000000,32.064482,"Point Loads","Known Flow",227805.203144,675456.086007,,0.000000,,,,,,,,,,-22.399999,,,,,,,0.000000,0.000000,,"",,,,,,,,,,"DM PROFILE",,,,,,
"62500300001366","Nodes","1366",21.000000,30.928167,"Default Known Flow Node","Known Flow",227657.578104,675480.961014,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300001365","Nodes","1365",21.000000,30.243453,"DDS demands","Known Flow",227562.828078,675495.836018,,0.000000,,,,,,,-0.070000,,,,,,,,,,-0.062595,-0.070000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"62500300002581","Nodes","-2581",21.000000,30.190747,"Default Known Flow Node","Known Flow",227557.328077,675497.086018,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300002566","Nodes","-2566",21.000000,31.058807,"Default Known Flow Node","Known Flow",227655.328104,675468.336011,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"62500300002571","Nodes","-2571",21.000000,30.907021,"Default Known Flow Node","Known Flow",227655.328104,675481.211014,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
