"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"62505200000092","Nodes","92","21.000000","27.403784","DDS demands","Known Flow","254750.318476","637397.188651","","0.000000","","","","","-2.630000","","","","","-2.351793","-2.630000","","","","","","","D1 PROFILE","","","",""
"62505200000132","Nodes","132","21.000000","27.808332","DDS demands","Known Flow","254650.751449","637392.803650","","0.000000","","","","","-3.150000","","","","","-2.816786","-3.150000","","","","","","","D1 PROFILE","","","",""
"62505200000083","Nodes","83","21.000000","27.929830","DDS demands","Known Flow","254126.914306","637552.902693","","0.000000","","","","","-4.980000","","","","","-4.453205","-4.980000","","","","","","","D1 PROFILE","","","",""
"62505200000082","Nodes","82","21.000000","27.825796","DDS demands","Known Flow","254111.636302","637548.242692","","0.000000","","","","","-4.369999","","","","","-3.907732","-4.369999","","","","","","","D1 PROFILE","","","",""
"62505200000221","Nodes","221","21.000000","24.850724","DDS demands","Known Flow","252390.764860","637189.816747","","0.000000","","","","","-7.109999","","","","","-6.357889","-7.109999","","","","","","","D1 PROFILE","","","",""
"62505200000217","Nodes","217","21.000000","23.707143","DDS demands","Known Flow","252430.876845","637272.845617","","0.000000","","","","","-0.239999","","","","","-0.214612","-0.239999","","","","","","","D1 PROFILE","","","",""
"62505200000200","Nodes","200","21.000000","24.253047","Default Known Flow Node","Known Flow","253095.408025","637106.345572","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505200000213","Nodes","213","21.000000","30.941763","DDS demands","Known Flow","253463.671749","637300.499923","","0.000000","","","","","-4.269999","","","","","-3.818310","-4.269999","","","","","","","D1 PROFILE","","","",""
"62505200000224","Nodes","224","21.000000","27.629464","Default Known Flow Node","Known Flow","253041.610516","637226.878226","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505200000203","Nodes","203","21.000000","27.678126","DDS demands","Known Flow","253060.669016","637226.331605","","0.000000","","","","","-4.960000","","","","","-4.435321","-4.960000","","","","","","","D1 PROFILE","","","",""
"62505200000229","Nodes","229","21.000000","25.721556","DDS demands","Known Flow","254164.401438","637183.808565","","0.000000","","","","","-7.820000","","","","","-6.992784","-7.820000","","","","","","","D1 PROFILE","","","",""
"62505200001001","Nodes","1001","21.000000","25.729906","Default Known Flow Node","Known Flow","252365.721827","636992.405541","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505200000222","Nodes","222","21.000000","25.072176","Default Known Flow Node","Known Flow","252511.819867","637160.524587","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505200000146","Nodes","146","21.000000","29.778709","DDS demands","Known Flow","253955.920260","637457.945668","","0.000000","","","","","-3.520000","","","","","-3.147647","-3.520000","","","","","","","D1 PROFILE","","","",""
"62505200000202","Nodes","202","21.000000","27.121707","DDS demands","Known Flow","252604.326892","636908.075518","","0.000000","","","","","-6.929999","","","","","-6.196929","-6.929999","","","","","","","D1 PROFILE","","","",""
"62505200000180","Nodes","180","21.000000","27.626842","Default Known Flow Node","Known Flow","253040.377010","637226.913605","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505200000223","Nodes","223","21.000000","25.653807","DDS demands","Known Flow","252523.325870","637139.950581","","0.000000","","","","","-4.210000","","","","","-3.764657","-4.210000","","","","","","","D1 PROFILE","","","",""
"62505200000225","Nodes","225","21.000000","24.786129","Default Known Flow Node","Known Flow","252510.215866","637186.886594","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505200000220","Nodes","220","21.000000","24.707694","DDS demands","Known Flow","252353.690824","637169.056589","","0.000000","","","","","-1.609999","","","","","-1.439690","-1.609999","","","","","","","D1 PROFILE","","","",""
"62505200000178","Nodes","178","21.000000","22.187540","DDS demands","Known Flow","253144.070039","637491.312677","","0.000000","","","","","-10.020000","","","","","-8.960063","-10.020000","","","","","","","D1 PROFILE","","","",""
"62505200000179","Nodes","179","21.000000","28.867987","DDS demands","Known Flow","253301.469081","637313.229628","","0.000000","","","","","-5.199999","","","","","-4.649932","-5.199999","","","","","","","D1 PROFILE","","","",""
"62505200000198","Nodes","198","21.000000","24.424000","DDS demands","Known Flow","253201.289054","637180.410592","","0.000000","","","","","-8.359999","","","","","-7.475661","-8.359999","","","","","","","D1 PROFILE","","","",""
"62505200000214","Nodes","214","21.000000","29.551830","DDS demands","Known Flow","253428.345116","637385.709648","","0.000000","","","","","-3.240000","","","","","-2.897266","-3.240000","","","","","","","D1 PROFILE","","","",""
"62505200000230","Nodes","230","21.000000","25.582742","DDS demands","Known Flow","254131.079307","637167.572589","","0.000000","","","","","-5.619999","","","","","-5.025504","-5.619999","","","","","","","D1 PROFILE","","","",""
"62505200000189","Nodes","189","21.000000","27.578943","Default Known Flow Node","Known Flow","254245.330338","637423.178658","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505200000211","Nodes","211","21.000000","23.221586","DDS demands","Known Flow","254637.921445","637599.568706","","0.000000","","","","","-7.459999","","","","","-6.670865","-7.459999","","","","","","","D1 PROFILE","","","",""
"62505200000007","Nodes","Logger 9268, 78 Loudoun Road, Newmilns.","21.000000","27.557824","Val Log Cath","Known Flow","253003.144314","637227.625519","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505200000008","Nodes","8","21.000000","28.871324","Default Known Flow Node","Known Flow","253299.851931","637313.569355","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505200000009","Nodes","","21.000000","22.119984","Default Known Flow Node","Known Flow","253123.567008","637507.225887","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"625052-413","Nodes","-413","21.000000","29.974253","Default Known Flow Node","Known Flow","253687.751187","637431.966661","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
