"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"625020-3906708","Nodes","-3906708",21.000000,34.409804,"Default Known Flow Node","Known Flow",249863.000000,636511.500000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000028","Nodes","28",21.000000,34.435361,"DDS demands","Known Flow",249864.125000,636512.625000,,0.000000,,,,,-37.509998,,,,,,,-33.542112,-37.509998,,"",,,,,"D1 PROFILE",,,,,,
"625020-3906706","Nodes","-3906706",21.000000,34.539235,"Default Known Flow Node","Known Flow",249861.125000,636515.125000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000105","Nodes","105",21.000000,33.800640,"DDS demands","Known Flow",249493.750000,636580.500000,,0.000000,,,,,-13.910000,,,,,,,-12.438570,-13.910000,,"",,,,,"D1 PROFILE",,,,,,
"62502000001004","Nodes","1004",21.000000,31.770710,"Default Known Flow Node","Known Flow",249414.140625,636497.937500,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-1546605","Nodes","-1546605",21.000000,31.645192,"Default Known Flow Node","Known Flow",249407.500000,636494.875000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000001005","Nodes","1005, ""339420"", ""BREWLAND STREET"", 44.70",24.000000,33.254886,"CSEP Unmatched","Known Flow",249791.921875,636377.375000,,0.000000,,,,,,-44.699999,,,,,,-39.971539,-44.699999,,"",,,,,,"DC PROFILE",,,,,
"62502000000029","Nodes","29",21.000000,32.726727,"DDS demands","Known Flow",249681.750000,636349.250000,,0.000000,,,,,-63.349996,,,,,,,-56.648700,-63.349996,,"",,,,,"D1 PROFILE",,,,,,
"62502000000328","Nodes","328",21.000000,32.365192,"DDS demands","Known Flow",249308.500000,636058.125000,,0.000000,,,,,-1.929999,,,,,,,-1.725840,-1.929999,,"",,,,,"D1 PROFILE",,,,,,
"62502000000403","Nodes","403",21.000000,32.301193,"Default Known Flow Node","Known Flow",249363.250000,636205.875000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000243","Nodes","243",21.000000,32.791905,"DDS demands","Known Flow",249392.500000,636323.875000,,0.000000,,,,,-5.820000,,,,,,,-5.204348,-5.820000,,"",,,,,"D1 PROFILE",,,,,,
"62502000000399","Nodes","399",21.000000,32.561408,"Default Known Flow Node","Known Flow",249426.125000,636306.625000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000262","Nodes","262",21.000000,31.852659,"DDS demands","Known Flow",249464.500000,636202.875000,,0.000000,,,,,-9.289999,,,,,,,-8.307284,-9.289999,,"",,,,,"D1 PROFILE",,,,,,
"625020-174579","Nodes","-174579",21.000000,31.974973,"Default Known Flow Node","Known Flow",249484.375000,636220.125000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169854","Nodes","-169854",21.000000,32.129204,"Default Known Flow Node","Known Flow",249142.250000,636307.125000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169851","Nodes","-169851",21.000000,32.172772,"Default Known Flow Node","Known Flow",249120.250000,636303.625000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169856","Nodes","-169856",21.000000,32.148760,"Default Known Flow Node","Known Flow",249147.375000,636333.750000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169852","Nodes","-169852",21.000000,32.148760,"Default Known Flow Node","Known Flow",249127.375000,636327.875000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169915","Nodes","-169915",21.000000,32.127871,"Default Known Flow Node","Known Flow",249493.250000,636190.875000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-169916","Nodes","-169916",21.000000,32.127871,"Default Known Flow Node","Known Flow",249498.125000,636198.000000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000215","Nodes","215",21.000000,32.635761,"DDS demands","Known Flow",249499.375000,636496.750000,,0.000000,,,,,-7.349999,,,,,,,-6.572501,-7.349999,,"",,,,,"D1 PROFILE",,,,,,
"625020-174394","Nodes","-174394",21.000000,32.655315,"Default Known Flow Node","Known Flow",249210.125000,636428.375000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-174395","Nodes","-174395",21.000000,32.611784,"Default Known Flow Node","Known Flow",249227.000000,636416.875000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-174573","Nodes","-174573",21.000000,32.298694,"Default Known Flow Node","Known Flow",249247.875000,636353.750000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-174572","Nodes","-174572",21.000000,32.298694,"Default Known Flow Node","Known Flow",249239.875000,636331.500000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-174574","Nodes","-174574",21.000000,32.803944,"Default Known Flow Node","Known Flow",249255.125000,636441.125000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-174576","Nodes","-174576",21.000000,32.803944,"Default Known Flow Node","Known Flow",249273.000000,636425.625000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-174575","Nodes","-174575",21.000000,32.447840,"Default Known Flow Node","Known Flow",249268.000000,636360.250000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"625020-174577","Nodes","-174577",21.000000,32.404311,"Default Known Flow Node","Known Flow",249284.250000,636343.500000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000244","Nodes","244",21.000000,32.470744,"DDS demands","Known Flow",249315.375000,636377.750000,,0.000000,,,,,-1.620000,,,,,,,-1.448633,-1.620000,,"",,,,,"D1 PROFILE",,,,,,
"625020-170464","Nodes","-170464",21.000000,32.470744,"Default Known Flow Node","Known Flow",249317.375000,636390.750000,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62502000000146","Nodes","146",21.000000,32.110912,"DDS demands","Known Flow",249157.625000,636290.625000,,0.000000,,,,,-10.560000,,,,,,,-9.442941,-10.560000,,"",,,,,"D1 PROFILE",,,,,,
