"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"62501700000237","Nodes","237","21.000000","25.665573","DDS demands","Known Flow","229624.403720","609618.580881","","0.000000","","","","","","-8.830000","","","","","-7.895944","-8.830000","","","","","","","","D1 PROFILE","","","",""
"62501700000204","Nodes","204","21.000000","27.138887","DDS demands","Known Flow","229712.830869","609685.493314","","0.000000","","","","","","-6.190000","","","","","-5.535208","-6.190000","","","","","","","","D1 PROFILE","","","",""
"62501700011859","Nodes","-53","21.000000","25.780845","Default Known Flow Node","Known Flow","229631.115854","609625.916582","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000099","Nodes","99","21.000000","26.791302","DDS demands","Known Flow","229717.802665","609709.327117","","0.000000","","","","","","-8.130000","","","","","-7.269991","-8.130000","","","","","","","","D1 PROFILE","","","",""
"62501700011867","Nodes","-74","21.000000","27.226615","Default Known Flow Node","Known Flow","229733.261783","609730.111769","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000107","Nodes","107","21.000000","31.994664","DDS demands","Known Flow","229826.254581","609577.309742","","0.000000","-8.680000","","","","","-6.500000","","","","","-13.574227","-15.180000","","","C1 PROFILE","","","","","D1 PROFILE","","","",""
"62501700011852","Nodes","-40","21.000000","31.965046","Default Known Flow Node","Known Flow","229829.495346","609545.321948","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501700000105","Nodes","105","21.000000","29.415217","DDS demands","Known Flow","229930.966723","609751.906129","","0.000000","","","","","","-7.250000","","","","","-6.483080","-7.250000","","","","","","","","D1 PROFILE","","","",""
"62501700000106","Nodes","106","21.000000","29.580638","DDS demands","Known Flow","229919.565720","609720.446120","","0.000000","","","","-3.739999","","-5.229999","","","","","-8.021134","-8.969999","","","","","","C4 PROFILE","","D1 PROFILE","","","",""
"62501700000102","Nodes","102","21.000000","29.013200","DDS demands","Known Flow","229943.645693","609836.931141","","0.000000","","","","","","-9.800000","","","","","-8.763336","-9.800000","","","","","","","","D1 PROFILE","","","",""
