"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"62503900000125","Nodes","125",21.000000,26.128175,"DDS demands","Known Flow",269612.149773,627485.742509,,0.000000,,,,,-0.769999,,,,-0.688547,-0.769999,,"",,,,,"D1 PROFILE",,,
"62503900000338","Nodes","338",21.000000,23.753024,"Default Known Flow Node","Known Flow",269974.775549,627739.300076,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900000335","Nodes","335",21.000000,24.231683,"Default Known Flow Node","Known Flow",270101.944285,627678.130512,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900000339","Nodes","339",21.000000,37.417103,"Default Known Flow Node","Known Flow",268525.456053,626859.043900,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900000334","Nodes","334",21.000000,31.471050,"Default Known Flow Node","Known Flow",268922.159159,626995.613526,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002002","Nodes","2002",21.000000,37.488417,"Default Known Flow Node","Known Flow",268494.252215,626840.713779,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002006","Nodes","2006",21.000000,37.990860,"Default Known Flow Node","Known Flow",268557.590233,626577.858707,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002007","Nodes","2007",21.000000,37.718147,"Default Known Flow Node","Known Flow",268540.010228,626614.281717,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002008","Nodes","2008",21.000000,37.477296,"Default Known Flow Node","Known Flow",268547.442230,626741.910752,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002011","Nodes","2011",21.000000,30.784158,"Default Known Flow Node","Known Flow",268687.386268,626839.252778,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002054","Nodes","2054",21.000000,36.515556,"Default Known Flow Node","Known Flow",268638.635255,626715.886745,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002065","Nodes","2065",21.000000,31.649277,"Default Known Flow Node","Known Flow",268867.716317,626914.441799,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"62503900002022","Nodes","2022",21.000000,36.005186,"Default Known Flow Node","Known Flow",268336.767173,626822.237774,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
