"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"625009-26","Nodes","-26","21.000000","28.626234","Default Known Flow Node","Known Flow","231384.329118","630732.198838","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000347","Nodes","347","21.000000","29.993439","DDS demands","Known Flow","232829.825714","631700.924692","","0.000000","","","","","-4.810000","","","","","","","-4.301188","-4.810000","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000967","Nodes","967","21.000000","29.692676","DDS demands","Known Flow","232845.119114","631796.762920","","0.000000","","","","","-44.599999","","","","","","","-39.882118","-44.599999","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000707","Nodes","707","21.000000","29.239865","DDS demands","Known Flow","232872.454523","631870.449147","","0.000000","","","","","-9.379999","","","","","","","-8.387763","-9.379999","","","","","","","","D1 PROFILE","","","","","","",""
"625009-29","Nodes","-29","21.000000","28.745797","Default Known Flow Node","Known Flow","231410.239867","630760.781099","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000931","Nodes","931","21.000000","29.148769","DDS demands","Known Flow","231506.337547","630864.952887","","0.000000","","","","","-59.939998","","","","","","","-53.599419","-59.939998","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000581","Nodes","581","21.000000","30.932681","DDS demands","Known Flow","231656.329192","630959.823899","","0.000000","","","","","-43.089999","","","","","","","-38.531848","-43.089999","","","","","","","","D1 PROFILE","","","","","","",""
"625009-266","Nodes","-266","21.000000","32.898726","Default Known Flow Node","Known Flow","232504.954423","632352.574278","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000060","Nodes","335565, Beach Road, 31.39","25.000000","32.352507","CSEP DDS Matched","Known Flow","232516.175204","632440.334163","","0.000000","","-60.919997","","","-1.700000","-31.379999","","","","","","-84.056478","-94.000000","","","","","C2 PROFILE","","","D1 PROFILE","DC PROFILE","","","","","",""
"62500900000054","Nodes","54","21.000000","31.637097","DDS demands","Known Flow","232559.954438","632792.949398","","0.000000","","","","","-4.719999","","","","","","","-4.220708","-4.719999","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000525","Nodes","525","21.000000","30.149347","DDS demands","Known Flow","233826.163782","631524.403053","","0.000000","","","","","-9.569999","","","","","","","-8.557664","-9.569999","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000285","Nodes","285","21.000000","30.120230","Default Known Flow Node","Known Flow","233869.712813","631538.521047","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-639","Nodes","-639","21.000000","30.153062","Default Known Flow Node","Known Flow","233875.954796","631540.574057","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-591","Nodes","-591","21.000000","32.536087","Default Known Flow Node","Known Flow","232774.538428","631397.579921","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000284","Nodes","Logger 9635, 25 Logan Drive","21.000000","32.493863","Val Log Cath","Known Flow","232776.262909","631409.579432","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-618","Nodes","-618","21.000000","32.290210","Default Known Flow Node","Known Flow","232784.579499","631467.449038","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000454","Nodes","454","21.000000","36.526274","DDS demands","Known Flow","233467.829685","633279.699531","","0.000000","","","","","-6.840000","","","","","","","-6.116450","-6.840000","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000283","Nodes","Logger 9553, 2 Auchengate","21.000000","36.335145","Val Log Post","Known Flow","233463.606738","633299.762661","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000455","Nodes","455","21.000000","35.820698","DDS demands","Known Flow","233468.329685","633348.824550","","0.000000","","","","","-10.410000","","","","","","","-9.308808","-10.410000","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000032","Nodes","32","21.000000","34.336143","DDS demands","Known Flow","232786.954500","633164.699499","","0.000000","","","","","-32.150000","","","","","","","-28.749106","-32.150000","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000281","Nodes","Logger 9180, 11 Arran Road","21.000000","33.911322","Val Log Cath","Known Flow","232702.542143","633154.838749","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000031","Nodes","31","21.000000","33.865825","DDS demands","Known Flow","232689.579473","633153.324496","","0.000000","","","","","-21.259999","","","","","","","-19.011073","-21.259999","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000131","Nodes","131","21.000000","35.189858","DDS demands","Known Flow","232130.716321","631106.063939","","0.000000","-137.249995","-10.560000","","-17.159999","-13.910000","","","-10.699999","","","","-169.525826","-189.579993","","","","C1 PROFILE","C2 PROFILE","","C4 PROFILE","D1 PROFILE","","","I2 PROFILE","","","",""
"62500900000280","Nodes","280","21.000000","34.631923","Default Known Flow Node","Known Flow","232149.449887","631084.487063","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000207","Nodes","207","21.000000","32.751876","DDS demands","Known Flow","232217.204345","631000.948911","","0.000000","-8.489999","-2.660000","","","-18.260000","","","","","","","-26.298948","-29.410000","","","","C1 PROFILE","C2 PROFILE","","","D1 PROFILE","","","","","","",""
"625009-6","Nodes","-6","21.000000","31.268443","Default Known Flow Node","Known Flow","232565.579439","630374.948740","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000279","Nodes","Logger 9003, 12 Yorke Road","21.000000","31.447934","Val Log Cath","Known Flow","232612.056872","630442.202578","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000095","Nodes","95","21.000000","38.365244","DDS demands","Known Flow","232507.329424","631977.699176","","0.000000","","","","","-36.400001","","","","","","","-32.549532","-36.400001","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000657","Nodes","657","21.000000","39.793863","DDS demands","Known Flow","234514.829970","631722.199107","","0.000000","-3.950000","","","","-11.230000","","","","","","","-13.574227","-15.180000","","","","C1 PROFILE","","","","D1 PROFILE","","","","","","",""
"62500900000276","Nodes","Logger 9634, 9 Main St Loans","21.000000","41.013090","Val Log Cath","Known Flow","234552.221163","631664.817379","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000654","Nodes","654","21.000000","43.542685","DDS demands","Known Flow","234617.829998","631533.699056","","0.000000","","","","","-5.810000","","","","","","","-5.195405","-5.810000","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000169","Nodes","169","21.000000","29.746245","DDS demands","Known Flow","233847.704788","631002.323911","","0.000000","","","","","-34.049998","","","","","","","-30.448117","-34.049998","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000275","Nodes","Logger 9383, 19 Wilson Avenue","21.000000","29.680502","Val Log Cath","Known Flow","233905.738684","630951.940565","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-469","Nodes","-469","21.000000","29.624297","Default Known Flow Node","Known Flow","234031.454838","630842.323867","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-331","Nodes","-331","21.000000","29.484536","Default Known Flow Node","Known Flow","232954.829545","629779.698578","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000273","Nodes","Logger 9290, Clubhouse, Crosbie","21.000000","28.967096","Val Log Cath","Known Flow","232969.483739","629700.762962","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-329","Nodes","-329","21.000000","28.785072","Default Known Flow Node","Known Flow","232970.829550","629672.573549","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-46","Nodes","-46","21.000000","28.298235","Default Known Flow Node","Known Flow","231293.329093","630821.448862","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-176","Nodes","-176","21.000000","26.733270","Default Known Flow Node","Known Flow","231048.954027","631130.823946","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000358","Nodes","358","21.000000","26.733543","DDS demands","Known Flow","231052.720057","631128.370320","","0.000000","-24.999999","","","","","","","-399.999988","","","","-380.042614","-424.999990","","","","C1 PROFILE","","","","","","","I2 PROFILE","","","",""
"625009-175","Nodes","-175","21.000000","26.847116","Default Known Flow Node","Known Flow","231057.204029","631125.448945","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000900","Nodes","900","21.000000","23.384133","Default Known Flow Node","Known Flow","234466.329957","628937.823349","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-1462821","Nodes","-1462821","21.000000","22.831454","Default Known Flow Node","Known Flow","234447.704952","628836.948322","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000286","Nodes","286","21.000000","23.455812","DDS demands","Known Flow","234463.829956","628945.323351","","0.000000","","","","","-37.860001","","","","","","","-33.855093","-37.860001","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000762","Nodes","762","21.000000","23.764094","DDS demands","Known Flow","234312.704915","628928.323347","","0.000000","","","","","-1.960000","","","","","","","-1.752667","-1.960000","","","","","","","","D1 PROFILE","","","","","","",""
"625009-291","Nodes","-291","21.000000","23.719478","Default Known Flow Node","Known Flow","234310.704914","628920.823345","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000760","Nodes","760","21.000000","23.846170","DDS demands","Known Flow","234265.204902","628947.948352","","0.000000","","","","","-2.880000","","","","","","","-2.575347","-2.880000","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000899","Nodes","899","21.000000","23.718800","DDS demands","Known Flow","234308.691154","628915.453317","","0.000000","","","","","-1.299999","","","","","","","-1.162483","-1.299999","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000763","Nodes","763","21.000000","23.587732","Default Known Flow Node","Known Flow","234239.454895","628873.323332","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-298","Nodes","-298","21.000000","23.850514","Default Known Flow Node","Known Flow","234263.800443","628948.773193","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000898","Nodes","898","21.000000","23.850514","Default Known Flow Node","Known Flow","234269.704903","628957.698355","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-321","Nodes","-321","21.000000","27.984089","Default Known Flow Node","Known Flow","232996.579557","629465.823493","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-319","Nodes","-319","21.000000","27.977553","Default Known Flow Node","Known Flow","232998.579557","629460.198491","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-322","Nodes","-322","21.000000","28.027359","Default Known Flow Node","Known Flow","233034.454567","629477.323496","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-1462979","Nodes","-1462979","21.000000","27.977553","Default Known Flow Node","Known Flow","233001.204558","629452.823489","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000269","Nodes","269","21.000000","27.256274","DDS demands","Known Flow","233001.954558","629461.323492","","0.000000","-5.709999","","-7.340000","","-1.570000","","","-39.580002","","","","-48.466610","-54.200001","","","","C1 PROFILE","","C3 PROFILE","","D1 PROFILE","","","I2 PROFILE","","","",""
"625009-306","Nodes","-306","21.000000","21.050725","Default Known Flow Node","Known Flow","233220.829618","629189.823418","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-318","Nodes","-318","21.000000","27.097064","Default Known Flow Node","Known Flow","233004.079559","629455.448490","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-313","Nodes","-313","21.000000","26.280543","Default Known Flow Node","Known Flow","233014.954562","629425.323482","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-312","Nodes","-312","21.000000","25.518761","Default Known Flow Node","Known Flow","233027.954565","629398.448475","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-316","Nodes","-316","21.000000","26.323938","Default Known Flow Node","Known Flow","233057.704573","629446.823488","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-311","Nodes","-311","21.000000","23.437424","Default Known Flow Node","Known Flow","233069.954577","629328.823456","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-314","Nodes","-314","21.000000","25.562214","Default Known Flow Node","Known Flow","233062.454575","629426.948482","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000271","Nodes","271","21.000000","21.050725","DDS demands","Known Flow","233132.454594","629259.698437","","0.000000","","-70.929999","","","-5.820000","","","","","","","-68.631226","-76.750002","","","","","C2 PROFILE","","","D1 PROFILE","","","","","","",""
"625009-1462917","Nodes","-1462917","21.000000","23.524642","Default Known Flow Node","Known Flow","233176.829606","629373.073468","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-1462505","Nodes","-1462505","21.000000","21.050725","Default Known Flow Node","Known Flow","233139.704596","629268.073439","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-317","Nodes","-317","21.000000","27.025970","Default Known Flow Node","Known Flow","233895.581328","629448.949454","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-1462608","Nodes","-1462608","21.000000","27.025970","Default Known Flow Node","Known Flow","233912.579806","629458.823491","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000761","Nodes","761","21.000000","24.069023","Default Known Flow Node","Known Flow","234414.704943","629058.198382","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-301","Nodes","-301","21.000000","24.464467","PL demand","Known Flow","234121.697859","629121.943421","","0.000000","","","","","","","","","-15.689998","","","-14.030277","-15.689998","","","","","","","","","","","","PL-AF PROFILE","","",""
"62500900000740","Nodes","740","21.000000","24.600460","DDS","Known Flow","234115.829861","629130.198402","","0.000000","","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","C3 PROFILE","","","","","","","","",""
"62500900000580","Nodes","580","21.000000","24.600460","Default Known Flow Node","Known Flow","234118.329862","629131.823402","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000741","Nodes","741","21.000000","24.637216","Default Known Flow Node","Known Flow","234143.704869","629136.073403","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000742","Nodes","742","21.000000","24.644400","DDS demands","Known Flow","234330.454920","629233.948430","","0.000000","","","","-6.989999","","","","","","","","-6.250582","-6.989999","","","","","","","C4 PROFILE","","","","","","","",""
"62500900000758","Nodes","758","21.000000","25.159603","Default Known Flow Node","Known Flow","234049.079843","629225.448428","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000756","Nodes","756","21.000000","25.417871","DDS demands","Known Flow","234012.579833","629276.573441","","0.000000","","-21.270000","","","","","","","","","","-19.020016","-21.270000","","","","","C2 PROFILE","","","","","","","","","",""
"62500900000759","Nodes","759","21.000000","25.159603","Default Known Flow Node","Known Flow","234056.454845","629230.698429","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000757","Nodes","757","21.000000","24.932012","DDS demands","Known Flow","234264.704902","629440.198486","","0.000000","","","","","-5.570000","","","","","","","-4.980793","-5.570000","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000601","Nodes","601","21.000000","29.676098","DDS demands","Known Flow","232727.454484","629806.948586","","0.000000","-5.090000","","","-0.639999","-16.059999","","","","","","","-19.485008","-21.789998","","","","C1 PROFILE","","","C4 PROFILE","D1 PROFILE","","","","","","",""
"62500900000602","Nodes","602","21.000000","29.662736","DDS demands","Known Flow","232966.329549","629789.698581","","0.000000","","","-20.729999","-7.309999","-19.760000","","","","","","","-42.743617","-47.799997","","","","","","C3 PROFILE","C4 PROFILE","D1 PROFILE","","","","","","",""
"62500900000836","Nodes","836","21.000000","29.658238","PL demand","Known Flow","232788.835344","629801.400433","","0.000000","","","","","-4.159999","","","","","","","-3.719946","-4.159999","","","","","","","","D1 PROFILE","","","","","","",""
"625009-343","Nodes","-343","21.000000","29.655478","Default Known Flow Node","Known Flow","232783.044328","629824.158439","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-1462857","Nodes","-1462857","21.000000","29.681165","Default Known Flow Node","Known Flow","232972.079550","629790.573581","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000603","Nodes","603","21.000000","29.681165","DDS demands","Known Flow","232973.954551","629791.323581","","0.000000","","","","","-2.300000","","","","","","","-2.056701","-2.300000","","","","","","","","D1 PROFILE","","","","","","",""
"625009-1462837","Nodes","-1462837","21.000000","27.820891","Default Known Flow Node","Known Flow","232986.704554","629506.698504","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-324","Nodes","-324","21.000000","27.820891","Default Known Flow Node","Known Flow","232987.329554","629503.698503","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000616","Nodes","616","21.000000","28.069869","Daily Metered Site","Known Flow","232984.454553","629502.698503","","0.000000","","","-21.010000","0.000000","-19.639999","","","","","","","-36.349956","-40.650000","","","","","","C3 PROFILE","C4 PROFILE","D1 PROFILE","","","","","","",""
"62500900000267","Nodes","267","21.000000","29.538404","DDS demands","Known Flow","232962.440326","629781.735423","","0.000000","","","","","-0.839999","","","","","","","-0.751143","-0.839999","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000265","Nodes","265","21.000000","29.235621","DDS demands","Known Flow","232913.579534","629950.448625","","0.000000","","","-3.219999","","-15.380000","","","","","","","-16.632453","-18.600000","","","","","","C3 PROFILE","","D1 PROFILE","","","","","","",""
"625009-326930","Nodes","-326930","21.000000","29.662736","Default Known Flow Node","Known Flow","232969.329549","629790.073581","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-336","Nodes","-336","21.000000","29.663206","Default Known Flow Node","Known Flow","232974.579551","629788.698581","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000835","Nodes","835","21.000000","29.673221","Default Known Flow Node","Known Flow","232745.436429","629805.580269","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000838","Nodes","838","21.000000","29.649780","DDS demands","Known Flow","232858.313519","629794.267582","","0.000000","","","","","-3.110000","","","","","","","-2.781017","-3.110000","","","","","","","","D1 PROFILE","","","","","","",""
"625009-346","Nodes","-346","21.000000","29.640614","Default Known Flow Node","Known Flow","232761.116526","629843.365874","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000837","Nodes","837","21.000000","29.627626","DDS demands","Known Flow","232753.704491","629861.823601","","0.000000","","","","","-8.619999","","","","","","","-7.708158","-8.619999","","","","","","","","D1 PROFILE","","","","","","",""
"625009-347","Nodes","-347","21.000000","29.640614","Default Known Flow Node","Known Flow","232770.704495","629847.823597","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-344","Nodes","-344","21.000000","29.655478","Default Known Flow Node","Known Flow","232789.704500","629826.448591","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-1462613","Nodes","-1462613","21.000000","29.484536","Default Known Flow Node","Known Flow","232952.204545","629776.948578","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-327","Nodes","-327","21.000000","28.564122","Default Known Flow Node","Known Flow","232973.079550","629617.198534","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-1462564","Nodes","-1462564","21.000000","28.564122","Default Known Flow Node","Known Flow","232961.954547","629616.698534","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000615","Nodes","615","21.000000","24.790381","Daily Metered Site","Known Flow","232938.329541","629655.823545","","0.000000","","","-49.369998","-4.439999","","","","","","","","-48.117864","-53.809999","","","","","","C3 PROFILE","C4 PROFILE","","","","","","","",""
"62500900000420","Nodes","420","21.000000","32.420486","DDS demands","Known Flow","233227.829620","629872.198604","","0.000000","","","","","-7.580000","","","","","","","-6.778171","-7.580000","","","","","","","","D1 PROFILE","","","","","","",""
"62500900000840","Nodes","840","21.000000","30.923120","DDS demands","Known Flow","233103.652534","629832.682757","","0.000000","","","-39.999997","","","","","","","","","-35.768714","-39.999997","","","","","","C3 PROFILE","","","","","","","","",""
"625009-358","Nodes","-358","21.000000","35.940546","Default Known Flow Node","Known Flow","233453.954681","629953.948626","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-359","Nodes","-359","21.000000","35.940546","Default Known Flow Node","Known Flow","233453.079681","629956.323626","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"625009-1462948","Nodes","-1462948","21.000000","30.917058","Default Known Flow Node","Known Flow","233102.204585","629837.823594","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"62500900000331","Nodes","331","21.000000","32.581757","DDS demands","Known Flow","233245.329624","629878.448605","","0.000000","","","","","0.000000","","","","","","","0.000000","0.000000","","","","","","","","D1 PROFILE","","","","","","",""
"625009-352","Nodes","-352","21.000000","33.312786","Default Known Flow Node","Known Flow","233298.329639","629895.323610","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
