"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"80009100000030","Nodes","30",21.000000,21.554132,"DDS demands","Known Flow",431777.750000,227370.000000,,0.000000,-12.229999,,,,-15.189999,,,,,,,,-24.519454,-27.419999,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,,,
"80009100001017","Nodes","P14134961, LONDON ROAD CSEP, 238.75 SCMH",24.000000,22.911182,"CSEP Unmatched","Known Flow",431899.281250,227390.953125,,0.000000,,,,,,,,,,,-134.899990,-103.849997,-213.494516,-238.749987,,"",,,,,,,,,,,"CC PROFILE","DC PROFILE"
"80009100000372","Nodes","372",21.000000,28.380791,"DDS demands","Known Flow",431319.375000,227084.875000,,0.000000,-12.369999,,,,-1.460000,,,,,,,,-12.367033,-13.829999,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,,,
"800091-91020","Nodes","-91020",21.000000,31.905001,"Default Known Flow Node","Known Flow",431317.312500,227009.093750,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000042","Nodes","42",21.000000,34.333975,"DDS demands","Known Flow",431300.625000,226924.000000,,0.000000,-14.179999,-6.000000,-8.460000,,-30.020001,,,,,,,,-52.454821,-58.660000,,"","C1 PROFILE","C2 PROFILE","C3  PROFILE",,"D1 PROFILE",,,,,,,
"80009100008002","Nodes","8002",21.000000,31.787111,"DDS demands","Known Flow",431317.968750,227013.593750,,0.000000,,,,-4.920000,,,,,,,,,-4.399552,-4.920000,,"",,,,"C4 PROFILE",,,,,,,,
"80009100000289","Nodes","289",21.000000,40.107980,"DDS demands","Known Flow",431317.781250,226645.234375,,0.000000,,-24.999999,,,,,,,,,,,-22.355447,-24.999999,,"",,"C2 PROFILE",,,,,,,,,,
"80009100000290","Nodes","290",21.000000,41.808880,"DDS demands","Known Flow",431373.019813,226614.107331,,0.000000,,,,,-4.819999,,,,,,,,-4.310130,-4.819999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000309","Nodes","309",21.000000,42.602118,"DDS demands","Known Flow",431398.144746,226599.076742,,0.000000,,,,,-4.179999,,,,,,,,-3.737830,-4.179999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000314","Nodes","314",21.000000,38.901201,"DDS demands","Known Flow",431273.818782,226672.955651,,0.000000,,,,,-9.009999,,,,,,,,-8.056903,-9.009999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000210","Nodes","210",21.000000,24.466199,"Default Known Flow Node","Known Flow",430808.406250,226962.406250,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000095","Nodes","95",21.000000,23.590913,"Default Known Flow Node","Known Flow",430759.000000,227006.000000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100001019","Nodes","1019",21.000000,29.772111,"Default Known Flow Node","Known Flow",430825.843750,226799.781250,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100001018","Nodes","1018",21.000000,29.455799,"Default Known Flow Node","Known Flow",430846.156250,226823.125000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000205","Nodes","205",21.000000,29.452493,"DDS demands","Known Flow",430870.000000,226797.375000,,0.000000,,,,,-17.499999,,,,,,,,-15.648813,-17.499999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000299","Nodes","299",21.000000,29.312033,"DDS demands","Known Flow",430841.250000,226830.750000,,0.000000,,,,,-3.989999,,,,,,,,-3.567929,-3.989999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000172","Nodes","172",21.000000,21.750420,"DDS demands","Known Flow",431689.625000,227148.250000,,0.000000,,,,,-8.239999,,,,,,,,-7.368355,-8.239999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100008001","Nodes","8001 Logger 5196",21.000000,21.800523,"DDS demands","Known Flow",431741.125000,227187.500000,,0.000000,,,,,-20.860001,,,,,,,,-18.653386,-20.860001,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000375","Nodes","375",21.000000,23.453326,"DDS demands","Known Flow",431685.250000,227019.750000,,0.000000,,,,,-5.960000,,,,,,,,-5.329538,-5.960000,,"",,,,,"D1 PROFILE",,,,,,,
"800091-133562","Nodes","-133562",21.000000,23.788628,"Default Known Flow Node","Known Flow",431687.500000,226986.875000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000143","Nodes","143",21.000000,24.067472,"DDS demands","Known Flow",431673.000000,226965.906250,,0.000000,,,,,-5.070000,,,,,,,,-4.533684,-5.070000,,"",,,,,"D1 PROFILE",,,,,,,
"800091-133559","Nodes","-133559",21.000000,23.964264,"Default Known Flow Node","Known Flow",431677.625000,226972.000000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000242","Nodes","242, P07112809, THE OLD QUARRY WARD ROAD, 16.15",24.000000,24.992464,"CSEP Unmatched","Known Flow",431649.812500,226941.296875,,0.000000,,,,,-13.990000,-16.149999,,,,,,,-26.951727,-30.139998,,"",,,,,"D1 PROFILE","DC PROFILE",,,,,,
"800091-52214","Nodes","-52214",21.000000,22.033789,"Default Known Flow Node","Known Flow",431784.093732,227383.223056,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100001016","Nodes","1016",21.000000,21.703518,"DDS demands","Known Flow",431805.468750,227412.156250,,0.000000,,,,,-8.839999,,,,,,,,-7.904886,-8.839999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100001015","Nodes","1015",21.000000,23.271121,"DDS demands","Known Flow",431801.500000,227537.859375,,0.000000,,,,,-5.440000,,,,,,,,-4.864545,-5.440000,,"",,,,,"D1 PROFILE",,,,,,,
"800091-1015","Nodes","-1015",21.000000,23.577927,"Default Known Flow Node","Known Flow",431758.156250,227496.312500,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100001014","Nodes","1014",21.000000,23.823444,"Default Known Flow Node","Known Flow",431742.843750,227487.625000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000425","Nodes","425",21.000000,23.851252,"DDS demands","Known Flow",431742.125000,227490.875000,,0.000000,,,,,-13.810000,,,,,,,,-12.349149,-13.810000,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000427","Nodes","427",21.000000,23.825267,"Default Known Flow Node","Known Flow",431745.250000,227481.125000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000426","Nodes","426",21.000000,23.648754,"DDS demands","Known Flow",431786.750000,227494.000000,,0.000000,,,,,-6.749999,,,,,,,,-6.035970,-6.749999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000349","Nodes","349",21.000000,23.879883,"DDS demands","Known Flow",431731.406250,227534.203125,,0.000000,,,,,-3.079999,,,,,,,,-2.754191,-3.079999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000350","Nodes","350",21.000000,24.071617,"DDS demands","Known Flow",431925.750000,227659.250000,,0.000000,,,,,-2.549999,,,-107.999995,,,,,-2.280255,-2.549999,,"",,,,,"D1 PROFILE",,,"DM PROFILE",,,,
"800091-71013","Nodes","-71013",21.000000,23.431483,"Default Known Flow Node","Known Flow",431608.250000,227443.062500,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100001013","Nodes","1013",21.000000,23.433553,"Default Known Flow Node","Known Flow",431604.125000,227449.906250,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000424","Nodes","424",21.000000,23.745902,"DDS demands","Known Flow",431719.250000,227526.125000,,0.000000,,,,,-0.600000,,,,,,,,-0.536530,-0.600000,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000394","Nodes","394",21.000000,23.433285,"Default Known Flow Node","Known Flow",431594.125000,227430.625000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000395","Nodes","395",21.000000,23.457253,"DDS demands","Known Flow",431616.875000,227448.625000,,0.000000,,,,,-1.420000,,,,,,,,-1.269789,-1.420000,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000159","Nodes","159",21.000000,23.323235,"DDS demands","Known Flow",431478.406250,227348.593750,,0.000000,,,,,-2.419999,,,,,,,,-2.164007,-2.419999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000160","Nodes","160",21.000000,23.616748,"DDS demands","Known Flow",431444.500000,227323.875000,,0.000000,,,,,-2.650000,,,,,,,,-2.369677,-2.650000,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000026","Nodes","26",21.000000,23.398428,"DDS demands","Known Flow",431463.125000,227365.000000,,0.000000,,-44.950002,,-5.300000,-1.620000,,,,,,,,-46.383086,-51.870002,,"",,"C2 PROFILE",,"C4 PROFILE","D1 PROFILE",,,,,,,
"80009100003002","Nodes","3002",21.000000,23.315133,"Default Known Flow Node","Known Flow",431501.750000,227350.625000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000129","Nodes","129",21.000000,23.200317,"Default Known Flow Node","Known Flow",431507.968750,227351.390625,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000392","Nodes","392",21.000000,23.430115,"Default Known Flow Node","Known Flow",431461.625000,227418.000000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000371","Nodes","371",21.000000,24.326307,"DDS demands","Known Flow",431381.343750,227362.515625,,0.000000,,,,,-11.759999,,,,,,,,-10.516002,-11.759999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000358","Nodes","358",21.000000,25.560048,"DDS demands","Known Flow",431351.250000,227248.750000,,0.000000,-0.300000,,,-5.610000,-15.279999,,,,,,,,-18.948476,-21.189998,,"","C1 PROFILE",,,"C4 PROFILE","D1 PROFILE",,,,,,,
"80009100000236","Nodes","236",21.000000,24.650083,"DDS demands","Known Flow",431393.125000,227239.500000,,0.000000,-1.039999,,,-3.140000,-3.209999,,,,,,,,-6.608270,-7.389999,,"","C1 PROFILE",,,"C4 PROFILE","D1 PROFILE",,,,,,,
"80009100000179","Nodes","179",21.000000,25.996370,"DDS demands","Known Flow",431187.500000,227109.375000,,0.000000,,,,,-9.580000,,,,,,,,-8.566607,-9.580000,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000016","Nodes","16",21.000000,26.603497,"DDS demands","Known Flow",431222.437500,227093.031250,,0.000000,-7.259999,,,-4.159999,-0.509999,,,,,,,,-10.668019,-11.929999,,"","C1 PROFILE",,,"C4 PROFILE","D1 PROFILE",,,,,,,
"800091-31013","Nodes","-31013",21.000000,26.588888,"Default Known Flow Node","Known Flow",431222.281250,227096.390625,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000132","Nodes","132",21.000000,25.918662,"DDS demands","Known Flow",431228.500000,227180.625000,,0.000000,-3.469999,,,,-4.330000,,,,,,,,-6.974899,-7.799999,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,,,
"80009100001012","Nodes","1012",21.000000,26.674534,"Default Known Flow Node","Known Flow",431231.718750,227089.671875,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000238","Nodes","238",21.000000,26.866179,"DDS demands","Known Flow",431240.750000,227087.437500,,0.000000,-5.639999,,,-1.240000,-2.850000,,,,,,,,-8.700740,-9.729999,,"","C1 PROFILE",,,"C4 PROFILE","D1 PROFILE",,,,,,,
"800091-1013","Nodes","-1013",21.000000,26.703965,"Default Known Flow Node","Known Flow",431229.156250,227078.343750,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100001011","Nodes","1011",21.000000,26.229937,"Default Known Flow Node","Known Flow",431224.375000,227049.140625,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"800091-1012","Nodes","-1012",21.000000,26.306437,"Default Known Flow Node","Known Flow",431195.312500,227031.578125,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000137","Nodes","137",21.000000,26.047471,"DDS demands","Known Flow",431240.375000,227022.000000,,0.000000,,,,,-6.829999,,,,,,,,-6.107508,-6.829999,,"",,,,,"D1 PROFILE",,,,,,,
"800091-3336","Nodes","-3336",21.000000,26.852683,"Default Known Flow Node","Known Flow",431238.281250,227076.859375,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"800091-65465","Nodes","-65465",21.000000,27.323314,"Default Known Flow Node","Known Flow",431263.937500,227074.562500,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000263","Nodes","263",21.000000,27.336805,"DDS demands","Known Flow",431264.781250,227082.468750,,0.000000,,,,,-1.450000,,,,,,,,-1.296616,-1.450000,,"",,,,,"D1 PROFILE",,,,,,,
"800091-44654","Nodes","-44654",21.000000,27.548491,"Default Known Flow Node","Known Flow",431274.968750,227071.203125,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000138","Nodes","138",21.000000,27.521515,"DDS demands","Known Flow",431276.281250,227080.484375,,0.000000,,,,-7.580000,-0.930000,,,,,,,,-7.609794,-8.510000,,"",,,,"C4 PROFILE","D1 PROFILE",,,,,,,
"80009100008004","Nodes","8004",21.000000,25.085735,"Point Loads","Known Flow",431395.362038,227203.892923,,0.000000,,,,,,,,,,-19.849999,,,-17.750225,-19.849999,,"",,,,,,,,,,"PL-AF PROFILE",,
"80009100008003","Nodes","8003",21.000000,28.381004,"Default Known Flow Node","Known Flow",431319.250000,227082.500000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000239","Nodes","239",21.000000,27.968251,"DDS demands","Known Flow",431297.406250,227077.187500,,0.000000,,,,,-3.559999,,,,,,,,-3.183415,-3.559999,,"",,,,,"D1 PROFILE",,,,,,,
"800091-1011","Nodes","-1011",21.000000,31.630774,"Default Known Flow Node","Known Flow",431270.718750,227016.968750,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000043","Nodes","43",21.000000,31.476039,"DDS demands","Known Flow",431319.875000,227025.500000,,0.000000,-0.799999,,-6.269999,-3.700000,-10.260000,,,,,,,,-18.805404,-21.030000,,"","C1 PROFILE",,"C3  PROFILE","C4 PROFILE","D1 PROFILE",,,,,,,
"80009100000036","Nodes","36",21.000000,28.940125,"DDS demands","Known Flow",431442.000000,226977.500000,,0.000000,-6.000000,,,-1.299999,-14.210000,,,,,,,,-19.234628,-21.510001,,"","C1 PROFILE",,,"C4 PROFILE","D1 PROFILE",,,,,,,
"80009100000035","Nodes","35",21.000000,29.102016,"DDS demands","Known Flow",431340.750000,227022.500000,,0.000000,-24.899999,,,-6.000000,-6.049999,,,,,,,,-33.041351,-36.949999,,"","C1 PROFILE",,,"C4 PROFILE","D1 PROFILE",,,,,,,
"80009100000141","Nodes","141",21.000000,23.957127,"DDS demands","Known Flow",431488.500000,227066.250000,,0.000000,,,,,-23.329998,,,,,,,,-20.862101,-23.329998,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000039","Nodes","39",21.000000,28.290168,"DDS demands","Known Flow",431419.875000,226947.875000,,0.000000,,,,,-9.359999,,,,,,,,-8.369879,-9.359999,,"",,,,,"D1 PROFILE",,,,,,,
"800091-140394","Nodes","-140394",21.000000,35.661685,"Default Known Flow Node","Known Flow",431344.500000,226876.250000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100001009","Nodes","1009",21.000000,37.418895,"Default Known Flow Node","Known Flow",431344.718750,226834.250000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100001010","Nodes","1010",21.000000,37.285912,"Default Known Flow Node","Known Flow",431317.875000,226869.046875,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000301","Nodes","301",21.000000,36.086305,"DDS demands","Known Flow",431338.625000,226875.375000,,0.000000,-23.549999,,,,-22.819999,,,,,,,,-41.464883,-46.369999,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,,,
"80009100000246","Nodes","246",21.000000,38.231851,"DDS demands","Known Flow",431348.000000,226812.625000,,0.000000,,,,,-17.010000,,,,,,,,-15.210646,-17.010000,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000364","Nodes","364",21.000000,29.046944,"DDS demands","Known Flow",431144.000000,226752.937500,,0.000000,,,,,-4.900000,,,,,,,,-4.381668,-4.900000,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000323","Nodes","323",21.000000,29.065077,"DDS demands","Known Flow",431148.125000,226763.500000,,0.000000,,,,,-5.610000,,,,,,,,-5.016562,-5.610000,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000076","Nodes","76",21.000000,34.876810,"DDS demands","Known Flow",430988.125000,226434.875000,,0.000000,,,,,-5.700000,,,,,,,,-5.097042,-5.700000,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000319","Nodes","319",21.000000,35.286154,"DDS demands","Known Flow",431133.535157,226550.329088,,0.000000,,,,,-6.569999,,,,,,,,-5.875011,-6.569999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000078","Nodes","78",21.000000,35.115590,"DDS demands","Known Flow",431025.750000,226459.125000,,0.000000,,,,,-8.069999,,,,,,,,-7.216338,-8.069999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100001000","Nodes","1000",21.000000,34.982690,"Default Known Flow Node","Known Flow",431012.156250,226441.515625,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000434","Nodes","434",21.000000,34.961426,"DDS demands","Known Flow",430987.125000,226373.437500,,0.000000,,,,,-2.890000,,,,,,,,-2.584289,-2.890000,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000433","Nodes","P09121184, CHURCHILL RD, -13.38 scmh",22.999998,35.271758,"CSEP Unmatched","Known Flow",431131.350570,226546.724259,,0.000000,,,,,,,,,,,,-13.380000,-11.964636,-13.380000,,"",,,,,,,,,,,,"DC PROFILE"
"80009100000108","Nodes","108",21.000000,30.371265,"DDS demands","Known Flow",431064.750000,226775.500000,,0.000000,,,,,-4.889999,,,,,,,,-4.372725,-4.889999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000201","Nodes","201",21.000000,30.077904,"DDS demands","Known Flow",430986.375000,226824.250000,,0.000000,,,,,-12.979999,,,,,,,,-11.606948,-12.979999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000083","Nodes","83",21.000000,31.998359,"DDS demands","Known Flow",430973.500000,226585.375000,,0.000000,,,,-4.139999,-36.669998,,,,,,,,-36.493030,-40.809995,,"",,,,"C4 PROFILE","D1 PROFILE",,,,,,,
"80009100000144","Nodes","144",21.000000,32.380722,"DDS demands","Known Flow",431021.000000,226654.625000,,0.000000,,,,,-6.159999,,,,,,,,-5.508382,-6.159999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000209","Nodes","209",21.000000,21.272696,"Default Known Flow Node","Known Flow",430609.687500,227025.406250,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000097","Nodes","97",21.000000,21.381640,"DDS demands","Known Flow",430357.687500,226946.500000,,0.000000,,,,,-5.820000,,,,,,,,-5.204348,-5.820000,,"",,,,,"D1 PROFILE",,,,,,,
"800091-1312028","Nodes","-1312028",21.000000,21.327724,"Default Known Flow Node","Known Flow",431724.402046,227302.814024,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"800091-91017","Nodes","-91017",21.000000,21.323162,"Default Known Flow Node","Known Flow",431739.968750,227318.328125,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"800091-129712","Nodes","-129712",21.000000,21.706509,"Default Known Flow Node","Known Flow",431770.357782,227293.222017,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"800091-10089","Nodes","-10089",21.000000,21.394158,"Default Known Flow Node","Known Flow",431752.312500,227226.578125,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100001007","Nodes","1007",21.000000,21.335945,"DDS demands","Known Flow",431765.875000,227240.765625,,0.000000,,,,,-5.110000,,,,,,,,-4.569453,-5.110000,,"",,,,,"D1 PROFILE",,,,,,,
"80009100001006","Nodes","1006, P00090712, ROCK HILL, 33.6",24.000000,21.329616,"CSEP DDS Matched","Known Flow",431785.437500,227225.140625,,0.000000,,,,,,-33.599998,,,,,,,-30.045720,-33.599998,,"",,,,,,"DC PROFILE",,,,,,
"800091-12225","Nodes","-12225",21.000000,21.996154,"Default Known Flow Node","Known Flow",431777.000951,227382.209801,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100001003","Nodes","1003",21.000000,21.995346,"DDS demands","Known Flow",431774.510034,227382.420896,,0.000000,,,,,-2.769999,,,,,,,,-2.476983,-2.769999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100001002","Nodes","1002",21.000000,21.819131,"DDS demands","Known Flow",431752.667647,227380.724539,,0.000000,,,,,-3.660000,,,,,,,,-3.272837,-3.660000,,"",,,,,"D1 PROFILE",,,,,,,
"80009100008006","Nodes","8006",21.000000,23.494089,"DDS demands","Known Flow",431475.500000,227429.750000,,0.000000,,,,,-4.400000,,,,,,,,-3.934558,-4.400000,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000237","Nodes","237",21.000000,23.065721,"Default Known Flow Node","Known Flow",431487.875000,227550.625000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000060","Nodes","60",21.000000,34.757993,"DDS demands","Known Flow",430825.500000,226339.000000,,0.000000,,,,,-5.420000,,,,,,,,-4.846660,-5.420000,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000066","Nodes","66",21.000000,34.950400,"DDS demands","Known Flow",430864.000000,226295.125000,,0.000000,,,,,-4.119999,,,,,,,,-3.684177,-4.119999,,"",,,,,"D1 PROFILE",,,,,,,
"80009100000373","Nodes","373",21.000000,28.834658,"Default Known Flow Node","Known Flow",431322.375000,227060.250000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80009100000211","Nodes","211",21.000000,24.556604,"Default Known Flow Node","Known Flow",430815.625000,226962.500000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"800091-7001","Nodes","-7001",21.000000,23.243108,"Default Known Flow Node","Known Flow",432017.875000,227642.625000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"800091-7000","Nodes","-7000",21.000000,23.243108,"Default Known Flow Node","Known Flow",431991.687500,227677.750000,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
