"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"80018800000069","Nodes","69",21.000000,26.212673,"DDS demands","Known Flow",483800.794803,228495.445386,,0.000000,,,-4.419999,-3.440000,-6.000000,,,-12.393860,-13.860000,,"",,,"C4 PROFILE","D1 PROFILE","I2 PROFILE",,
"80018800000056","Nodes","56",21.000000,32.301164,"DDS demands","Known Flow",484081.623879,228678.317435,,0.000000,,,,-10.620000,,,,-9.496594,-10.620000,,"",,,,"D1 PROFILE",,,
"80018800000061","Nodes","61",21.000000,27.884709,"DDS demands","Known Flow",484060.222873,228549.711400,,0.000000,,,,-6.469999,,,,-5.785589,-6.469999,,"",,,,"D1 PROFILE",,,
"80018800002007","Nodes","2007",21.000000,29.468954,"Default Known Flow Node","Known Flow",481488.380173,229900.346768,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80018800000005","Nodes",,21.000000,64.653427,"Default Known Flow Node","Known Flow",481938.115743,228260.657375,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"80018800000065","Nodes","65",21.000000,23.719537,"DDS demands","Known Flow",484067.131875,228388.379356,,0.000000,,,,-16.549998,,,,-14.799305,-16.549998,,"",,,,"D1 PROFILE",,,
"80018800000067","Nodes","67",21.000000,23.423046,"DDS demands","Known Flow",484154.076899,228393.941358,,0.000000,,,,-4.760000,,,,-4.256477,-4.760000,,"",,,,"D1 PROFILE",,,
"80018800000074","Nodes","74",21.000000,44.128241,"DDS demands","Known Flow",484477.985541,228799.110771,,0.000000,,,,-2.660000,,,,-2.378619,-2.660000,,"",,,,"D1 PROFILE",,,
"80018800000050","Nodes","50",21.000000,48.513085,"DDS demands","Known Flow",484592.809083,228795.833791,,0.000000,,,,-4.980000,0.000000,,,-4.453205,-4.980000,,"",,,,"D1 PROFILE","I2 PROFILE",,
"80018800000068","Nodes","68",21.000000,28.665109,"DDS demands","Known Flow",483902.390830,228522.564393,,0.000000,,,-4.550000,-8.899999,,,,-12.027230,-13.449999,,"",,,"C4 PROFILE","D1 PROFILE",,,
"80018800000058","Nodes","58",21.000000,28.549272,"DDS demands","Known Flow",484010.375860,228532.351396,,0.000000,,,,-6.399999,,,,-5.722994,-6.399999,,"",,,,"D1 PROFILE",,,
"80018800000064","Nodes","64",21.000000,27.616118,"DDS demands","Known Flow",483998.153856,228422.904366,,0.000000,,,,-0.880000,,,,-0.786911,-0.880000,,"",,,,"D1 PROFILE",,,
"80018800000063","Nodes","63",21.000000,27.636426,"DDS demands","Known Flow",484094.387883,228509.173389,,0.000000,,,,-6.179999,,,,-5.526266,-6.179999,,"",,,,"D1 PROFILE",,,
"80018800000055","Nodes","55",21.000000,34.172764,"DDS demands","Known Flow",484237.679970,228858.753964,,0.000000,,,,-9.569999,-12.000000,,,-19.288279,-21.569999,,"",,,,"D1 PROFILE","I2 PROFILE",,
"80018800000066","Nodes","66",21.000000,21.786178,"DDS demands","Known Flow",484196.090910,228421.618365,,0.000000,,,,-13.850000,,,,-12.384918,-13.850000,,"",,,,"D1 PROFILE",,,
"80018800000059","Nodes","59",21.000000,28.483276,"DDS demands","Known Flow",483988.424854,228498.005386,,0.000000,,,,-6.910000,,,,-6.179045,-6.910000,,"",,,,"D1 PROFILE",,,
"80018800000001","Nodes","Drayton Parslow DG",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",484623.557027,228787.377465,,1870.000043,,,,,,,,253.564395,283.560001,,"",,,,,,,
"80018800000075","Nodes","75",21.000000,44.008557,"DDS demands","Known Flow",484520.515998,228860.787485,,0.000000,,,,-4.469999,,,,-3.997153,-4.469999,,"",,,,"D1 PROFILE",,,
"80018800000051","Nodes","51",21.000000,45.391465,"DDS demands","Known Flow",484422.985972,228913.599499,,0.000000,,,,-16.549998,,,,-14.799305,-16.549998,,"",,,,"D1 PROFILE",,,
