"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"80003700000010","Nodes","10","21.000000","33.700944","Default Known Flow Node","Known Flow","470701.847123","205738.133243","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700000484","Nodes","484","21.000000","33.741729","DDS demands","Known Flow","470678.769113","205738.751545","","0.000000","","","","","","-5.489999","","","","","-4.909256","-5.489999","","","","","","","","D1 PROFILE","","","",""
"80003700000098","Nodes","98","21.000000","34.221636","DDS demands","Known Flow","470622.042150","205644.418318","","0.000000","-9.140000","","","","","-21.680000","","","","","-27.559796","-30.820000","","","C1 PROFILE","","","","","D1 PROFILE","","","",""
"80003700000341","Nodes","341","21.000000","33.584013","DDS demands","Known Flow","470694.377199","205783.213175","","0.000000","","","","","","-2.630000","","","","","-2.351793","-2.630000","","","","","","","","D1 PROFILE","","","",""
"80003700000223","Nodes","223","21.000000","35.211257","DDS demands","Known Flow","469712.802969","205940.729248","","0.000000","","-45.049998","","","","","","","","","-40.284513","-45.049998","","","","C2 PROFILE","","","","","","","",""
"80003700000684","Nodes","684","21.000000","35.616767","DDS demands","Known Flow","469767.129768","205941.740320","","0.000000","","-95.209997","","","","","","","","","-85.138484","-95.209997","","","","C2 PROFILE","","","","","","","",""
"80003700000328","Nodes","328","21.000000","36.233729","DDS demands","Known Flow","469785.047579","205942.116850","","0.000000","","-51.580000","","","","","","","","","-46.123761","-51.580000","","","","C2 PROFILE","","","","","","","",""
"80003700000224","Nodes","224","21.000000","32.183210","DDS demands","Known Flow","469823.330999","205943.533249","","0.000000","","","","","","-2.949999","","-6.000000","","","-8.003250","-8.949999","","","","","","","","D1 PROFILE","","I2 PROFILE","",""
"80003700000701","Nodes","701","21.000000","28.358743","DDS demands","Known Flow","469885.674016","205532.846137","","0.000000","","","","","","-5.630000","","","","","-5.034446","-5.630000","","","","","","","","D1 PROFILE","","","",""
"80003700009165","Nodes","-80055","21.000000","34.104148","Default Known Flow Node","Known Flow","469681.020960","205910.335240","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700009166","Nodes","-80056","21.000000","35.206946","Default Known Flow Node","Known Flow","469710.119968","205940.583248","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700009112","Nodes","-171959","21.000000","35.211257","Default Known Flow Node","Known Flow","469717.943971","205914.227241","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80003700000226","Nodes","226","21.000000","31.516868","DDS demands","Known Flow","469840.637004","205895.725236","","0.000000","","","","","","-7.150000","","","","","-6.393657","-7.150000","","","","","","","","D1 PROFILE","","","",""
"80003700000018","Nodes","18","21.000000","30.125930","DDS demands","Known Flow","469815.908437","205623.160242","","0.000000","","","","","","-5.909999","","","","","-5.284827","-5.909999","","","","","","","","D1 PROFILE","","","",""
"80003700000227","Nodes","227","21.000000","31.490361","DDS demands","Known Flow","469848.771772","205879.208627","","0.000000","","","","","","-4.539999","","","","","-4.059749","-4.539999","","","","","","","","D1 PROFILE","","","",""
"80003700000025","Nodes","25","21.000000","30.893332","DDS demands","Known Flow","469913.157355","205905.498179","","0.000000","","","","","","-21.559998","","","","","-19.279336","-21.559998","","","","","","","","D1 PROFILE","","","",""
"80003700000016","Nodes","16","21.000000","30.626958","DDS demands","Known Flow","469899.828581","205779.599592","","0.000000","","","","","","-19.639999","","","","","-17.562439","-19.639999","","","","","","","","D1 PROFILE","","","",""
