"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-DC)"
"80060100000011","Nodes","11",21.000000,28.624307,"DDS demands","Known Flow",464919.812500,205285.796875,,0.000000,-7.610000,,-6.804998,-7.610000,,"","D1 PROFILE",
"80060100000010","Nodes","10",21.000000,28.834250,"DDS demands","Known Flow",464936.906250,205196.500000,,0.000000,-7.610000,,-6.804998,-7.610000,,"","D1 PROFILE",
"800601-122322","Nodes","-122322",21.000000,29.085231,"Default Known Flow Node","Known Flow",464947.500000,205136.750000,,0.000000,,,0.000000,0.000000,,"",,
"80060100000019","Nodes","19",21.000000,27.400364,"DDS demands","Known Flow",464950.406250,205440.093750,,0.000000,-1.440000,,-1.287673,-1.440000,,"","D1 PROFILE",
"80060100000028","Nodes","28",21.000000,29.227980,"Default Known Flow Node","Known Flow",464981.093750,205141.093750,,0.000000,,,0.000000,0.000000,,"",,
"80060100000009","Nodes","9",21.000000,29.768077,"DDS demands","Known Flow",464992.593750,205109.406250,,0.000000,-7.329999,,-6.554617,-7.329999,,"","D1 PROFILE",
"80060100000001","Nodes","1, ""ALBURY VIEW JCT OXFORD RD - 1/ OT13D""",21.000000,30.000000,"Default Known Pressure Node","Known Pressure",464990.625000,205110.125000,,999998.967025,,,138.979334,155.419991,,"",,
"80060100000029","Nodes","29",21.000000,29.297374,"DDS demands","Known Flow",465043.906250,205153.906250,,0.000000,-1.999999,,-1.788435,-1.999999,,"","D1 PROFILE",
"80060100000025","Nodes","25",21.000000,27.986894,"DDS demands","Known Flow",465004.593750,205000.796875,,0.000000,-3.209999,,-2.870439,-3.209999,,"","D1 PROFILE",
"80060100000002","Nodes",,21.000000,27.904988,"Default Known Flow Node","Known Flow",465047.000000,204995.296875,,0.000000,,,0.000000,0.000000,,"",,
