"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"80323100000018","Nodes","18",21.000000,46.618044,"DDS demands","Known Flow",446054.652059,188809.951767,,0.000000,,,-4.380000,,,-3.916674,-4.380000,,"",,,"D1 PROFILE",,
"80323100000014","Nodes","14",21.000000,48.999238,"DDS demands","Known Flow",446093.332299,188976.271109,,0.000000,,,-4.230000,,,-3.782541,-4.230000,,"",,,"D1 PROFILE",,
"80323100000020","Nodes","20",21.000000,46.588722,"DDS demands","Known Flow",445881.968768,189078.389839,,0.000000,,,-8.660000,,,-7.743927,-8.660000,,"",,,"D1 PROFILE",,
"80323100000043","Nodes","43",21.000000,50.602798,"DDS demands","Known Flow",446079.596698,189041.649524,,0.000000,,,-2.779999,,,-2.485925,-2.779999,,"",,,"D1 PROFILE",,
"80323100000040","Nodes","40",21.000000,49.772524,"DDS demands","Known Flow",445967.909905,189054.851662,,0.000000,,,-7.250000,,,-6.483080,-7.250000,,"",,,"D1 PROFILE",,
"80323100000044","Nodes","44",21.000000,29.049241,"DDS demands","Known Flow",444922.432349,188791.505905,,0.000000,,,-0.509999,,,-0.456051,-0.509999,,"",,,"D1 PROFILE",,
"80323100000045","Nodes","45",21.000000,28.897827,"DDS demands","Known Flow",444898.302217,188757.842573,,0.000000,,,-2.329999,,,-2.083527,-2.329999,,"",,,"D1 PROFILE",,
"80323100000039","Nodes","39",21.000000,39.744235,"DDS demands","Known Flow",445729.600443,188962.526628,,0.000000,,,-1.259999,,,-1.126714,-1.259999,,"",,,"D1 PROFILE",,
"80323100000037","Nodes","37",21.000000,38.750022,"DDS demands","Known Flow",445600.417408,188949.350625,,0.000000,,,-10.600000,,,-9.478710,-10.600000,,"",,,"D1 PROFILE",,
"80323100201354","Nodes","201354",21.000000,52.835245,"Default Known Flow Node","Known Flow",445937.465410,189147.382483,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100000012","Nodes","12",21.000000,52.680794,"DDS demands","Known Flow",445921.895495,189159.519682,,0.000000,,,-12.380000,,,-11.070417,-12.380000,,"",,,"D1 PROFILE",,
"80323100000010","Nodes","10",21.000000,53.529278,"DDS demands","Known Flow",445919.947045,189238.246693,,0.000000,,,-5.729999,,,-5.123868,-5.729999,,"",,,"D1 PROFILE",,
"80323100000026","Nodes","026",21.000000,39.125108,"Default Known Flow Node","Known Flow",445769.115636,188841.175241,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100000055","Nodes","55",21.000000,30.131178,"Default Known Flow Node","Known Flow",444906.771641,188830.894348,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100000383","Nodes","383",21.000000,47.041254,"DDS demands","Known Flow",446048.527530,188752.617571,,0.000000,,,-6.179999,,,-5.526266,-6.179999,,"",,,"D1 PROFILE",,
"80323100001508","Nodes","1508",21.000000,30.193628,"DDS demands","Known Flow",444905.721219,188833.475593,,0.000000,,,-0.730000,,,-0.652779,-0.730000,,"",,,"D1 PROFILE",,
"80323100001502","Nodes","1502",21.000000,29.002634,"DDS demands","Known Flow",444923.222378,188789.495841,,0.000000,,,-8.390000,,,-7.502488,-8.390000,,"",,,"D1 PROFILE",,
"80323100001503","Nodes","1503",21.000000,28.999875,"Default Known Flow Node","Known Flow",444916.544222,188786.665581,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001504","Nodes","1504",21.000000,28.612617,"Default Known Flow Node","Known Flow",444940.125228,188756.090572,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001510","Nodes","1510",21.000000,28.318444,"Default Known Flow Node","Known Flow",445047.905258,188807.480586,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001501","Nodes","1501",21.000000,28.612617,"DDS demands","Known Flow",444940.236228,188757.982573,,0.000000,,-5.820000,,,,-5.204348,-5.820000,,"",,"C4 PROFILE",,,
"80323100001509","Nodes","1509",21.000000,30.193628,"Default Known Flow Node","Known Flow",444894.618216,188829.692592,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001511","Nodes","1511",21.000000,28.318444,"Default Known Flow Node","Known Flow",445045.866257,188813.519588,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001514","Nodes","1514",21.000000,39.121673,"Default Known Flow Node","Known Flow",445729.554443,188811.942587,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001515","Nodes","1515",21.000000,45.722349,"Default Known Flow Node","Known Flow",445879.423484,188989.261636,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001517","Nodes","1517",21.000000,53.529278,"Default Known Flow Node","Known Flow",445919.887495,189238.569703,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001518","Nodes","1518",21.000000,53.529278,"Default Known Flow Node","Known Flow",445917.319494,189259.359709,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001522","Nodes","1522",21.000000,53.531830,"Default Known Flow Node","Known Flow",445920.177495,189236.996703,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001523","Nodes","1523",21.000000,40.269351,"Default Known Flow Node","Known Flow",445784.427458,188967.052630,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001533","Nodes","1533",21.000000,40.736029,"DDS demands","Known Flow",445794.082928,188974.744716,,0.000000,,,-7.499999,,,-6.706634,-7.499999,,"",,,"D1 PROFILE",,
"80323100001526","Nodes","1526",21.000000,39.107918,"Default Known Flow Node","Known Flow",445771.833455,188838.852595,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001529","Nodes","1529",21.000000,50.702628,"Default Known Flow Node","Known Flow",446079.051538,189046.550651,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001530","Nodes","1530",21.000000,50.344954,"Default Known Flow Node","Known Flow",445983.321512,189058.317654,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001531","Nodes","1531",21.000000,49.945423,"Default Known Flow Node","Known Flow",445971.444509,189060.676655,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001532","Nodes","1532",21.000000,40.779134,"Default Known Flow Node","Known Flow",445786.482459,189058.207654,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001534","Nodes","1534",21.000000,38.830635,"Default Known Flow Node","Known Flow",445858.167478,188812.217587,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001535","Nodes","1535",21.000000,38.873877,"Default Known Flow Node","Known Flow",445856.819478,188834.063593,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001537","Nodes","1537",21.000000,46.588722,"Default Known Flow Node","Known Flow",445880.038484,189077.552660,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001542","Nodes","1542",21.000000,39.131363,"Default Known Flow Node","Known Flow",445768.126454,188842.020596,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001547","Nodes","1547",21.000000,38.026535,"DDS demands","Known Flow",445516.288385,188957.705627,,0.000000,,,-1.539999,,,-1.377095,-1.539999,,"",,,"D1 PROFILE",,
"80323100001548","Nodes","1548",21.000000,47.024137,"Default Known Flow Node","Known Flow",446035.751526,188679.557551,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001551","Nodes","1551",21.000000,53.985073,"Default Known Flow Node","Known Flow",446054.120213,189168.606977,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001572","Nodes","1572",21.000000,58.606063,"Default Known Flow Node","Known Flow",446042.675652,189282.408981,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001562","Nodes","1562",21.000000,53.568886,"Default Known Flow Node","Known Flow",446050.897664,189157.212409,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001555","Nodes","1555",21.000000,46.610737,"Default Known Flow Node","Known Flow",446054.358531,188806.709586,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001560","Nodes","1560",21.000000,46.610737,"DDS demands","Known Flow",446054.517167,188808.461813,,0.000000,,-9.659999,,,,-8.638144,-9.659999,,"",,"C4 PROFILE",,,
"80323100001556","Nodes","1556",21.000000,53.741547,"Default Known Flow Node","Known Flow",446050.420499,189162.723837,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001557","Nodes","1557",21.000000,47.032048,"Default Known Flow Node","Known Flow",446074.238537,188711.538560,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001558","Nodes","1558",21.000000,47.032048,"DDS demands","Known Flow",446040.998528,188715.866561,,0.000000,,,-1.039999,,,-0.929986,-1.039999,,"",,,"D1 PROFILE",,
"80323100001561","Nodes","1561",21.000000,46.610737,"Default Known Flow Node","Known Flow",446065.892535,188807.488586,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001563","Nodes","1563",21.000000,47.024137,"Default Known Flow Node","Known Flow",446035.759526,188677.205551,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80323100001564","Nodes","1564",21.000000,47.041254,"Default Known Flow Node","Known Flow",446037.264527,188754.884572,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
