"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"80015300000031","Nodes",,21.000000,37.394143,"DDS demands","Known Flow",469204.985831,208761.556016,,0.000000,,,,,-3.170000,,,,-2.834670,-3.170000,,"",,,,,"D1 PROFILE",,,
"80015300000033","Nodes",,21.000000,37.391028,"DDS demands","Known Flow",469216.050834,208752.912013,,0.000000,,,,,-1.379999,,,,-1.234020,-1.379999,,"",,,,,"D1 PROFILE",,,
"80015300000032","Nodes",,21.000000,37.337997,"DDS demands","Known Flow",469211.329833,208771.357019,,0.000000,,,,,-7.159999,,,,-6.402599,-7.159999,,"",,,,,"D1 PROFILE",,,
"80015300000030","Nodes",,21.000000,37.364274,"DDS demands","Known Flow",469208.282942,208807.191573,,0.000000,,,,,-2.990000,,,,-2.673711,-2.990000,,"",,,,,"D1 PROFILE",,,
"80015300000099","Nodes",,21.000000,28.236515,"DDS demands","Known Flow",469260.322786,208971.933461,,0.000000,,,,,-6.190000,,,,-5.535208,-6.190000,,"",,,,,"D1 PROFILE",,,
"80015300000015","Nodes",,21.000000,29.183403,"DDS demands","Known Flow",469492.584050,208882.017941,,0.000000,,,,,-16.790000,,,,-15.013919,-16.790000,,"",,,,,"D1 PROFILE",,,
"80015300000013","Nodes",,21.000000,38.630724,"DDS demands","Known Flow",469249.863843,208662.722989,,0.000000,,,,,-8.949999,,,,-8.003250,-8.949999,,"",,,,,"D1 PROFILE",,,
"80015300000146","Nodes",,21.000000,31.254325,"DDS demands","Known Flow",469284.730853,208828.654034,,0.000000,,,,,-2.180000,,,,-1.949395,-2.180000,,"",,,,,"D1 PROFILE",,,
"80015300117979","Nodes",,21.000000,39.648946,"Default Known Flow Node","Known Flow",469385.952880,208646.337984,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80015300000065","Nodes",,21.000000,37.705025,"DDS demands","Known Flow",469375.775877,208574.608965,,0.000000,,,,-3.489999,-14.689999,,,,-16.256881,-18.180000,,"",,,,"C4 PROFILE","D1 PROFILE",,,
"80015300000076","Nodes",,21.000000,37.351370,"DDS demands","Known Flow",469319.524862,208537.259955,,0.000000,-3.700000,,,,-16.850000,,,,-18.376177,-20.549999,,"","C1 PROFILE",,,,"D1 PROFILE",,,
"80015300000154","Nodes",,21.000000,38.891848,"Default Known Flow Node","Known Flow",469392.890233,208588.213563,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80015300000051","Nodes",,21.000000,45.553441,"Default Known Flow Node","Known Flow",469652.902953,208505.989946,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80015300000145","Nodes",,21.000000,27.415917,"DDS demands","Known Flow",469525.732918,208924.440060,,0.000000,,,,,-2.990000,,,,-2.673711,-2.990000,,"",,,,,"D1 PROFILE",,,
"80015300000148","Nodes",,21.000000,32.589409,"DDS demands","Known Flow",469499.439911,208571.109964,,0.000000,,,,,-5.480000,,,,-4.900314,-5.480000,,"",,,,,"D1 PROFILE",,,
"80015300000055","Nodes",,21.000000,45.499223,"DDS demands","Known Flow",469637.150949,208569.260964,,0.000000,,,,,-3.769999,,,,-3.371201,-3.769999,,"",,,,,"D1 PROFILE",,,
"80015300000052","Nodes",,21.000000,45.538757,"DDS demands","Known Flow",469660.945955,208548.978958,,0.000000,,,,,-6.589999,,,,-5.892895,-6.589999,,"",,,,,"D1 PROFILE",,,
"80015300000060","Nodes",,21.000000,45.367210,"DDS demands","Known Flow",469713.050969,208540.255956,,0.000000,,,,,-5.440000,,,,-4.864545,-5.440000,,"",,,,,"D1 PROFILE",,,
"80015300000056","Nodes",,21.000000,45.538712,"DDS demands","Known Flow",469664.320956,208548.349958,,0.000000,,,,,-0.939999,,,,-0.840564,-0.939999,,"",,,,,"D1 PROFILE",,,
"80015300000080","Nodes",,21.000000,22.550382,"DDS demands","Known Flow",469668.936957,208941.509065,,0.000000,,,,,-21.090000,,,,-18.859055,-21.090000,,"",,,,,"D1 PROFILE",,,
"80015300000078","Nodes",,21.000000,23.107027,"DDS demands","Known Flow",469649.041952,208856.640042,,0.000000,,,,,-22.440000,,,,-20.066249,-22.440000,,"",,,,,"D1 PROFILE",,,
"80015300000086","Nodes",,21.000000,25.939124,"DDS demands","Known Flow",469585.596935,208881.318048,,0.000000,,,,,-14.089999,,,,-12.599530,-14.089999,,"",,,,,"D1 PROFILE",,,
"80015300000068","Nodes",,21.000000,26.148109,"DDS demands","Known Flow",469592.814244,208696.172022,,0.000000,-7.259999,,,,-18.280001,,,,-22.838325,-25.540000,,"","C1 PROFILE",,,,"D1 PROFILE",,,
"80015300118003","Nodes",,21.000000,45.542032,"Default Known Flow Node","Known Flow",469639.150949,208581.853967,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80015300000079","Nodes",,21.000000,22.751177,"Default Known Flow Node","Known Flow",469741.467736,208900.866226,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80015300000057","Nodes",,21.000000,45.355670,"DDS demands","Known Flow",469698.809965,208563.598962,,0.000000,,,,,-1.620000,,,,-1.448633,-1.620000,,"",,,,,"D1 PROFILE",,,
"80015300000118","Nodes",,21.000000,33.145090,"DDS demands","Known Flow",468684.506116,209177.760108,,0.000000,,,,,-8.260000,,,,-7.386240,-8.260000,,"",,,,,"D1 PROFILE",,,
"80015300000121","Nodes",,21.000000,32.740987,"DDS demands","Known Flow",468679.471587,209204.536437,,0.000000,,,,,-2.850000,,,,-2.548521,-2.850000,,"",,,,,"D1 PROFILE",,,
"80015300000122","Nodes",,21.000000,32.921614,"DDS demands","Known Flow",468765.642487,209250.612368,,0.000000,,,,,-3.010000,,,,-2.691595,-3.010000,,"",,,,,"D1 PROFILE",,,
"80015300000017","Nodes",,21.000000,36.710400,"DDS demands","Known Flow",468919.165753,209135.562118,,0.000000,,,,,-1.440000,,,,-1.287673,-1.440000,,"",,,,,"D1 PROFILE",,,
"80015300000018","Nodes",,21.000000,36.703825,"DDS demands","Known Flow",468923.595754,209144.268120,,0.000000,,,,,-4.239999,,,,-3.791483,-4.239999,,"",,,,,"D1 PROFILE",,,
"80015300000127","Nodes",,21.000000,36.689080,"DDS demands","Known Flow",468936.626758,209162.934125,,0.000000,,,,,-1.909999,,,,-1.707956,-1.909999,,"",,,,,"D1 PROFILE",,,
"80015300108763","Nodes",,21.000000,32.351505,"Default Known Flow Node","Known Flow",468621.340549,209187.096796,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"80015300000125","Nodes",,21.000000,32.322661,"DDS demands","Known Flow",468596.127665,209186.977132,,0.000000,,,,,-4.039999,,,,-3.612640,-4.039999,,"",,,,,"D1 PROFILE",,,
"80015300000123","Nodes","P08117497, Plots 1-5 Carters Lane, 10.15",22.999998,35.541299,"CSEP DDS Matched","Known Flow",468974.900769,209234.357513,,0.000000,,,,,,-10.150000,,,-9.076311,-10.150000,,"",,,,,,"DC PROFILE",,
"80015300000124","Nodes",,21.000000,32.406152,"DDS demands","Known Flow",468647.721679,209227.236143,,0.000000,,,,,-8.350000,,,,-7.466719,-8.350000,,"",,,,,"D1 PROFILE",,,
"80015300000028","Nodes",,21.000000,36.440532,"DDS demands","Known Flow",468898.931748,209162.340125,,0.000000,,,,-3.039999,-6.540000,,,,-8.566607,-9.580000,,"",,,,"C4 PROFILE","D1 PROFILE",,,
