"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"80061100000025","Nodes","25",21.000000,43.330232,"DDS demands","Known Flow",439199.739621,217095.626720,,0.000000,-3.059999,,-9.500000,,,,-11.231376,-12.560000,,"","C1 PROFILE",,"D1 PROFILE",,,
"80061100000083","Nodes","83",21.000000,44.112370,"DDS demands","Known Flow",439164.298750,217134.187500,,0.000000,,,-0.930000,,,,-0.831622,-0.930000,,"",,,"D1 PROFILE",,,
"80061100000011","Nodes","11",21.000000,54.909021,"DDS demands","Known Flow",439024.334780,217277.123854,,0.000000,,-3.079999,-2.390000,,,,-4.891372,-5.470000,,"",,"C4 PROFILE","D1 PROFILE",,,
"80061100000012","Nodes","12",21.000000,54.657070,"DDS demands","Known Flow",438974.579414,217232.394796,,0.000000,,,-1.840000,,,,-1.645360,-1.840000,,"",,,"D1 PROFILE",,,
"80061100000084","Nodes","84",21.000000,54.493130,"DDS demands","Known Flow",438945.690839,217225.946906,,0.000000,,,-6.659999,,,,-5.955491,-6.659999,,"",,,"D1 PROFILE",,,
"80061100000067","Nodes","67",21.000000,36.224071,"Default Known Flow Node","Known Flow",439420.549862,216963.469615,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80061100000064","Nodes","64",21.000000,36.486526,"DDS demands","Known Flow",439349.878892,216967.140835,,0.000000,,,-3.869999,,,,-3.460623,-3.869999,,"",,,"D1 PROFILE",,,
"80061100000065","Nodes","65",21.000000,36.418249,"DDS demands","Known Flow",439314.173750,216932.343750,,0.000000,,,-2.660000,,,,-2.378619,-2.660000,,"",,,"D1 PROFILE",,,
"80061100000031","Nodes","31",21.000000,36.247549,"DDS demands","Known Flow",439372.518077,216948.172868,,0.000000,,,-21.559998,,,,-19.279336,-21.559998,,"",,,"D1 PROFILE",,,
"80061100000061","Nodes","61",21.000000,40.255001,"Default Known Flow Node","Known Flow",439182.277552,216964.102041,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
