"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"80018700000014","Nodes",,21.000000,36.328730,"Default Known Flow Node","Known Flow",447817.918103,220449.078872,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80018700000015","Nodes",,21.000000,36.328730,"Default Known Flow Node","Known Flow",447861.841233,220430.772548,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80018700000064","Nodes","64",21.000000,38.889546,"Default Known Flow Node","Known Flow",448416.625000,220532.000000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80018700000068","Nodes",,21.000000,31.291886,"Default Known Flow Node","Known Flow",448317.750000,220681.000000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80018700000065","Nodes","65",21.000000,37.196294,"Default Known Flow Node","Known Flow",447799.250000,220431.875000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80018700000063","Nodes","63",21.000000,37.004832,"Default Known Flow Node","Known Flow",447688.812500,220501.109375,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80018700000071","Nodes","71",21.000000,37.005597,"Default Known Flow Node","Known Flow",447686.531250,220460.875000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80018700000062","Nodes",,21.000000,45.313498,"Default Known Flow Node","Known Flow",447738.500000,220283.625000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80018700000070","Nodes","70",21.000000,42.634843,"Default Known Flow Node","Known Flow",448323.812500,220409.296875,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80018700000066","Nodes","66",21.000000,32.154897,"Default Known Flow Node","Known Flow",447831.875000,220576.875000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80018700000067","Nodes",,21.000000,31.291886,"Default Known Flow Node","Known Flow",448317.000000,220682.000000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80018700000069","Nodes","69",21.000000,41.458225,"Default Known Flow Node","Known Flow",448340.500000,220509.500000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"80018700000016","Nodes",,21.000000,29.897098,"DDS demands","Known Flow",447894.334633,220688.237865,,0.000000,,,-12.270000,,-10.972053,-12.270000,,"",,,"D1 PROFILE",
