"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"80062000000027","Nodes","27",21.000000,23.092555,"DDS demands","Known Flow",458205.593750,209588.500000,,0.000000,,,-3.190000,,,-2.852555,-3.190000,,"",,,"D1 PROFILE",,
"80062000000025","Nodes","25",21.000000,23.652212,"DDS demands","Known Flow",458064.000000,209501.093750,,0.000000,,,-6.999999,,,-6.259525,-6.999999,,"",,,"D1 PROFILE",,
"80062000000026","Nodes","26",21.000000,23.483478,"DDS demands","Known Flow",458106.312500,209491.093750,,0.000000,,,-3.110000,,,-2.781017,-3.110000,,"",,,"D1 PROFILE",,
"80062000000002","Nodes",,21.000000,30.977149,"Default Known Flow Node","Known Flow",457707.253042,209437.561635,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000003","Nodes",,21.000000,30.977149,"Default Known Flow Node","Known Flow",457699.765391,209426.799847,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000004","Nodes",,21.000000,30.977149,"Default Known Flow Node","Known Flow",457666.889778,209452.440219,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000006","Nodes",,21.000000,30.977149,"Default Known Flow Node","Known Flow",457688.833935,209411.727618,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000007","Nodes",,21.000000,25.980715,"Default Known Flow Node","Known Flow",458725.177251,207750.064142,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000008","Nodes",,21.000000,25.980715,"Default Known Flow Node","Known Flow",458715.127572,207723.278768,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000071","Nodes",,21.000000,24.571276,"DDS demands","Known Flow",458180.500000,207463.875000,,0.000000,,,-2.059999,,,-1.842088,-2.059999,,"",,,"D1 PROFILE",,
"80062000000056","Nodes",,21.000000,44.883301,"Default Known Flow Node","Known Flow",457881.250000,209021.500000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000053","Nodes",,21.000000,51.136750,"Default Known Flow Node","Known Flow",457848.779494,208911.885759,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000070","Nodes",,21.000000,24.571276,"Default Known Flow Node","Known Flow",458179.500000,207466.875000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000057","Nodes",,21.000000,33.530301,"Default Known Flow Node","Known Flow",458256.875000,207933.750000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000072","Nodes",,21.000000,28.399502,"Default Known Flow Node","Known Flow",458347.593750,207716.296875,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000058","Nodes",,21.000000,30.951914,"Default Known Flow Node","Known Flow",458518.375000,207887.500000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000060","Nodes",,21.000000,29.445209,"Default Known Flow Node","Known Flow",458574.375000,207910.125000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000059","Nodes",,21.000000,29.445209,"Default Known Flow Node","Known Flow",458568.625000,207918.625000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000061","Nodes",,21.000000,27.174460,"Default Known Flow Node","Known Flow",458593.750000,207806.500000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000062","Nodes",,21.000000,27.174460,"Default Known Flow Node","Known Flow",458597.250000,207801.000000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000064","Nodes",,21.000000,26.449022,"Default Known Flow Node","Known Flow",458618.250000,207739.625000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000063","Nodes",,21.000000,26.449022,"Default Known Flow Node","Known Flow",458617.250000,207741.000000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000066","Nodes",,21.000000,27.117084,"Default Known Flow Node","Known Flow",458641.375000,207835.750000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000065","Nodes",,21.000000,27.249627,"Default Known Flow Node","Known Flow",458621.125000,207862.875000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000067","Nodes",,21.000000,27.180653,"Default Known Flow Node","Known Flow",458672.500000,207825.750000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000068","Nodes",,21.000000,25.636171,"Default Known Flow Node","Known Flow",458761.750000,207727.250000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000069","Nodes",,21.000000,25.636171,"Default Known Flow Node","Known Flow",458763.125000,207726.250000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000052","Nodes",,21.000000,51.366307,"Default Known Flow Node","Known Flow",457831.750000,208861.000000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000073","Nodes",,21.000000,55.412751,"Default Known Flow Node","Known Flow",458005.500000,208699.296875,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000054","Nodes",,21.000000,33.011136,"Default Known Flow Node","Known Flow",457776.750000,209387.375000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000055","Nodes",,21.000000,44.883301,"Default Known Flow Node","Known Flow",457873.875000,209022.000000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000009","Nodes",,21.000000,51.366307,"Default Known Flow Node","Known Flow",457833.008561,208862.647234,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000010","Nodes",,21.000000,51.366307,"Default Known Flow Node","Known Flow",457823.257130,208857.696704,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000074","Nodes",,21.000000,31.175180,"Default Known Flow Node","Known Flow",457805.636594,209423.075370,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"80062000000075","Nodes",,21.000000,31.175180,"Default Known Flow Node","Known Flow",457823.532820,209418.503749,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
