"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80123100000083","Nodes","83","21.000000","29.552410","DDS demands","Known Flow","440264.675956","198259.235158","","0.000000","","-22.790001","","","-2.099999","","","","","-22.257085","-24.890001","","","","C2 PROFILE","","","D1 PROFILE","","","",""
"80123100000067","Nodes","67","21.000000","30.218668","DDS demands","Known Flow","440315.542970","198171.116134","","0.000000","","","","","-5.359999","","","","","-4.793007","-5.359999","","","","","","","D1 PROFILE","","","",""
"80123100309619","Nodes","309619","21.000000","28.609313","Default Known Flow Node","Known Flow","440109.406914","198243.109154","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100000018","Nodes","18","21.000000","28.363508","DDS demands","Known Flow","440087.220908","198316.523174","","0.000000","","","","","-8.359999","","","","","-7.475661","-8.359999","","","","","","","D1 PROFILE","","","",""
"80123100309621","Nodes","309621","21.000000","28.363508","Default Known Flow Node","Known Flow","440113.260915","198279.841164","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100000017","Nodes","17","21.000000","28.610383","DDS demands","Known Flow","440112.171141","198243.428213","","0.000000","","","","","-11.479999","","","","","-10.265620","-11.479999","","","","","","","D1 PROFILE","","","",""
"80123100309623","Nodes","309623","21.000000","28.643868","Default Known Flow Node","Known Flow","440127.695919","198245.220154","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"80123100000027","Nodes","27","21.000000","28.222325","DDS demands","Known Flow","440206.784940","198444.239208","","0.000000","","","","","-15.739999","","","","","-14.074989","-15.739999","","","","","","","D1 PROFILE","","","",""
"80123100000014","Nodes","14","21.000000","29.020447","DDS demands","Known Flow","440203.239939","198252.105156","","0.000000","","","","","-6.679999","","","","","-5.973375","-6.679999","","","","","","","D1 PROFILE","","","",""
"80123100000029","Nodes","29","21.000000","28.582362","DDS demands","Known Flow","440151.241801","198348.098227","","0.000000","","","","","-9.069999","","","","","-8.110555","-9.069999","","","","","","","D1 PROFILE","","","",""
