"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"80000500009088","Nodes","9088, P09121711, DEV@LARA HOUSE OLD ROAD, -12.09SCMH",22.999998,38.338725,"CSEP Unmatched","Known Flow",491166.057282,225136.663340,,0.000000,,,,,,,,,,,,-12.090000,-10.811094,-12.090000,,"",,,,,,,,,,,,"DC PROFILE"
"80000500001086","Nodes","1086",21.000000,45.716452,"DDS demands","Known Flow",492372.439320,225859.066463,,0.000000,,,,,,,-25.860001,,,,,,-23.124477,-25.860001,,"",,,,,,,"D1 PROFILE",,,,,
"80000500006204","Nodes","6204",21.000000,44.422690,"DDS demands","Known Flow",493569.160221,225357.847584,,0.000000,,,,,,,-5.619999,,,,,,-5.025504,-5.619999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500006205","Nodes","6205",21.000000,44.371829,"DDS demands","Known Flow",493549.700782,225339.959326,,0.000000,,,,,,,-5.559999,,,,,,-4.971851,-5.559999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500006172","Nodes","6172",21.000000,37.317474,"DDS demands","Known Flow",493067.390324,225154.422476,,0.000000,,,,,,,-34.869999,,,,,,-31.181377,-34.869999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500006174","Nodes","6174",21.000000,37.707873,"DDS demands","Known Flow",493187.400574,225189.118426,,0.000000,,,,,,,-13.879999,,,,,,-12.411744,-13.879999,,"",,,,,,,"D1 PROFILE",,,,,
"800005-11223","Nodes","-11223",21.000000,37.854011,"Default Known Flow Node","Known Flow",493197.942079,225182.011374,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500006169","Nodes","6169",21.000000,39.578652,"DDS demands","Known Flow",493243.044872,225152.119274,,0.000000,,,,-8.159999,,,-12.859999,,,,,,-18.796459,-21.019999,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,
"80000500000103","Nodes","103",21.000000,46.728764,"DDS demands","Known Flow",492708.433433,227366.209750,,0.000000,,,,,,,-8.079999,,,,,,-7.225280,-8.079999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500000105","Nodes","105",21.000000,47.486364,"DDS demands","Known Flow",492712.448509,227392.429146,,0.000000,,,,,,,-4.699999,,,,,,-4.202823,-4.699999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500000106","Nodes","106",21.000000,46.602649,"DDS demands","Known Flow",492694.563358,227311.590943,,0.000000,,,,,,,-4.409999,,,,,,-3.943500,-4.409999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500000109","Nodes","109",21.000000,46.745836,"DDS demands","Known Flow",492815.114998,227329.791460,,0.000000,,,,,,,-9.359999,,,,,,-8.369879,-9.359999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500000108","Nodes","108",21.000000,47.211732,"DDS demands","Known Flow",492744.723840,227363.614050,,0.000000,,,,,,,-11.640000,,,,,,-10.408696,-11.640000,,"",,,,,,,"D1 PROFILE",,,,,
"80000500005081","Nodes","5081",21.000000,33.435117,"DDS demands","Known Flow",492146.775074,225212.588492,,0.000000,-9.200000,,,-4.019999,,,-2.700000,,,,,,-14.235949,-15.919999,,"","C1 PROFILE",,,"C4 PROFILE",,,"D1 PROFILE",,,,,
"80000500005080","Nodes","5080",21.000000,32.515307,"DDS demands","Known Flow",492140.275072,225254.213504,,0.000000,,,,,,,-9.639999,,,,,,-8.620260,-9.639999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500005075","Nodes","5075",21.000000,31.858939,"DDS demands","Known Flow",492057.035942,225304.710739,,0.000000,,,,,,,-4.539999,,,,,,-4.059749,-4.539999,,"",,,,,,,"D1 PROFILE",,,,,
"800005-2236","Nodes","-2236",21.000000,33.220478,"Default Known Flow Node","Known Flow",493571.675278,224926.827189,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"800005-152986","Nodes","-152986",21.000000,32.251744,"Default Known Flow Node","Known Flow",493589.233534,224947.361614,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500009044","Nodes","9044",21.000000,33.194454,"DDS demands","Known Flow",493461.150431,224814.338384,,0.000000,,,,,,,-8.020000,,,,,,-7.171628,-8.020000,,"",,,,,,,"D1 PROFILE",,,,,
"800005-22136","Nodes","-22136",21.000000,33.300061,"Default Known Flow Node","Known Flow",493477.775436,224819.213385,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"800005-23556","Nodes","-23556",21.000000,37.507826,"Default Known Flow Node","Known Flow",492721.680567,225071.482756,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500000364","Nodes","364",21.000000,37.344030,"DDS demands","Known Flow",492692.144214,225114.458937,,0.000000,,,,,,,-4.060000,,,,,,-3.630524,-4.060000,,"",,,,,,,"D1 PROFILE",,,,,
"80000500005173","Nodes","5173",21.000000,37.357847,"DDS demands","Known Flow",492724.400231,225072.588454,,0.000000,,,,,,,-8.609999,,,,,,-7.699215,-8.609999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500005227","Nodes","5227",21.000000,36.441169,"DDS demands","Known Flow",492646.529702,225028.335549,,0.000000,,,,,,,-3.950000,,,,,,-3.532160,-3.950000,,"",,,,,,,"D1 PROFILE",,,,,
"80000500000448","Nodes","448",21.000000,45.679778,"DDS demands","Known Flow",492439.525153,224138.713200,,0.000000,-14.959999,,,,,,-0.430000,,,,,,-13.762013,-15.389999,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,
"80000500000447","Nodes","447",21.000000,46.720007,"DDS demands","Known Flow",492388.872729,224004.552903,,0.000000,-4.510000,,,,,,,,,-21.459999,,,-23.222839,-25.969999,,"","C1 PROFILE",,,,,,,,,"I2 PROFILE",,
"800005-85532","Nodes","-85532",21.000000,47.005911,"Default Known Flow Node","Known Flow",491995.154489,224234.462364,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500000445","Nodes","445",21.000000,46.911522,"Default Known Flow Node","Known Flow",492206.025090,224196.213216,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500009079","Nodes","9079, ""SOP10289  C16"", ""OLD GOSSARD SITE,GROVEBURY ROAD"", 59.24",24.000000,32.589370,"CSEP Unmatched","Known Flow",492269.650107,225456.713559,,0.000000,,,,,-22.769999,-36.470001,,,,,,,-52.973471,-59.240000,,"",,,,,"CC PROFILE","CT PROFILE",,,,,,
"80000500000570","Nodes","570",21.000000,47.037527,"Default Known Flow Node","Known Flow",492230.594096,224243.193229,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500009081","Nodes","9081",21.000000,46.953522,"Default Known Flow Node","Known Flow",492175.150081,224184.088212,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500000396","Nodes","396",21.000000,46.881999,"DDS demands","Known Flow",492165.963897,224173.764950,,0.000000,,,,-21.990000,,,-0.779999,,,0.000000,,,-20.361342,-22.769999,,"",,,,"",,,"D1 PROFILE",,,"I2 PROFILE",,
"80000500000624","Nodes","624",21.000000,38.737331,"DDS demands","Known Flow",492836.938632,224872.585371,,0.000000,,-2.920000,,,,,-26.290000,,,,,,-26.120105,-29.210001,,"",,"C2 PROFILE",,,,,"D1 PROFILE",,,,,
"800005-1173858","Nodes","-1173858",21.000000,38.901999,"Default Known Flow Node","Known Flow",492894.921277,224768.186371,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500000626","Nodes","626",21.000000,41.950562,"DDS demands","Known Flow",492969.768298,224955.140422,,0.000000,,,,,,,-19.200001,,,,,,-17.168985,-19.200001,,"",,,,,,,"D1 PROFILE",,,,,
"800005-22556","Nodes","-22556",21.000000,43.501548,"Default Known Flow Node","Known Flow",493009.549618,224761.235259,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"800005-94758","Nodes","-94758",21.000000,42.881854,"Default Known Flow Node","Known Flow",492993.678511,224810.446086,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"800005-22335","Nodes","-22335",21.000000,43.331025,"Default Known Flow Node","Known Flow",493002.816026,224761.415605,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500009034","Nodes","9034",21.000000,43.353081,"DDS demands","Known Flow",493003.020681,224758.530496,,0.000000,,,,,,,-22.910000,,,,,,-20.486533,-22.910000,,"",,,,,,,"D1 PROFILE",,,,,
"800005-1173863","Nodes","-1173863",21.000000,43.522631,"Default Known Flow Node","Known Flow",493010.025886,224757.970589,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"800005-13225","Nodes","-13225",21.000000,38.089725,"Default Known Flow Node","Known Flow",492757.453338,225014.801143,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500000366","Nodes","366",21.000000,38.110901,"DDS demands","Known Flow",492761.980666,225005.691240,,0.000000,,,,,,,-2.509999,,,,,,-2.244486,-2.509999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500005099","Nodes","5099",21.000000,28.460256,"DDS demands","Known Flow",492508.275172,225008.338437,,0.000000,,,,,,,-36.230000,,,,,,-32.397514,-36.230000,,"",,,,,,,"D1 PROFILE",,,,,
"80000500005218","Nodes","5218",21.000000,36.382973,"DDS demands","Known Flow",492466.400161,225351.338530,,0.000000,,,,,,,-4.349999,,,,,,-3.889847,-4.349999,,"",,,,,,,"D1 PROFILE",,,,,
"80000500005215","Nodes","5215",21.000000,35.779943,"DDS demands","Known Flow",492778.900246,225275.838510,,0.000000,,,,,,,-16.280000,,,,,,-14.557867,-16.280000,,"",,,,,,,"D1 PROFILE",,,,,
"800005-21136","Nodes","-21136",21.000000,35.091503,"Default Known Flow Node","Known Flow",492635.603988,225263.002810,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"80000500005101","Nodes","5101",21.000000,37.051205,"DDS demands","Known Flow",492765.626926,225264.151103,,0.000000,,,,,,,-14.970000,,,,,,-13.386442,-14.970000,,"",,,,,,,"D1 PROFILE",,,,,
