"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-DC)"
"80014200000279","Nodes","279","21.000000","39.658965","DDS demands","Known Flow","453559.813574","252666.608963","","0.000000","","","","-0.529999","","","","-0.473935","-0.529999","","","","","","D1 PROFILE","","",""
"80014200000278","Nodes","278","21.000000","39.616674","DDS demands","Known Flow","453530.804354","252621.876401","","0.000000","","","","-10.880000","","","","-9.729090","-10.880000","","","","","","D1 PROFILE","","",""
"80014200000852","Nodes","852","21.000000","39.659672","Default Known Flow Node","Known Flow","453542.268020","252658.611529","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000310","Nodes","310","21.000000","39.614327","DDS demands","Known Flow","453426.256537","252716.325976","","0.000000","","","","-1.869999","","","","-1.672187","-1.869999","","","","","","D1 PROFILE","","",""
"80014200007000","Nodes","7000","21.000000","39.387449","DDS demands","Known Flow","453383.367526","252683.312967","","0.000000","","","","-5.260000","","","","-4.703586","-5.260000","","","","","","D1 PROFILE","","",""
"80014200000309","Nodes","309","21.000000","39.631365","DDS demands","Known Flow","453466.003548","252731.224980","","0.000000","","","","-19.570000","","","","-17.499843","-19.570000","","","","","","D1 PROFILE","","",""
"80014200000307","Nodes","307","21.000000","39.837642","Default Known Flow Node","Known Flow","453467.051548","252702.145972","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000276","Nodes","276","21.000000","40.534802","DDS demands","Known Flow","453511.266561","252616.585949","","0.000000","","","","-8.830000","","","","-7.895944","-8.830000","","","","","","D1 PROFILE","","",""
"80014200008002","Nodes","Logger 67, Hinton Road","21.000000","42.995152","Val Log Cath","Known Flow","453569.547134","252490.740163","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000031","Nodes","31","21.000000","40.862724","DDS demands","Known Flow","453669.281187","252906.012378","","0.000000","","","","-7.420000","","","","-6.635097","-7.420000","","","","","","D1 PROFILE","","",""
