"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80005800009428","Nodes","-280138",21.000000,38.788278,"Default Known Flow Node","Known Flow",478492.295358,133758.969607,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800000823","Nodes","823",21.000000,39.214344,"DDS demands","Known Flow",478646.497259,133887.002527,,0.000000,,,,,,,-20.260001,,,,,,,,,,,-18.116855,-20.260001,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000822","Nodes","822",21.000000,40.821418,"DDS demands","Known Flow",478771.146434,133994.188671,,0.000000,,,,,,,-17.580000,,,,,,,,,,,-15.720351,-17.580000,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000990","Nodes","990",21.000000,43.338360,"Default Known Flow Node","Known Flow",478719.407498,134117.811675,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800009002","Nodes","9002",21.000000,43.440250,"Default Known Flow Node","Known Flow",478711.020678,134119.309869,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800000003","Nodes","Hogmoor Road (Firgrove Road) DG, GCM, Tel, Clocked, Site ID 5656",21.000000,43.499999,"Default Known Pressure Node","Known Pressure",478710.074417,134114.401704,,1831.000019,,,,,,,,,,,,,,,,,,770.326690,861.452995,,"",,,,,,,,,,,,,,,,,
"80005800000957","Nodes","957",21.000000,40.557964,"DDS demands","Known Flow",478973.192137,134118.716334,,0.000000,,,,,,,-3.020000,,,,,,,,,,,-2.700538,-3.020000,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000960","Nodes","960",21.000000,40.268382,"DDS demands","Known Flow",478968.278998,134144.768046,,0.000000,,,,,,,-0.330000,,,,,,,,,,,-0.295091,-0.330000,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000204","Nodes","204",21.000000,38.219210,"DDS demands","Known Flow",478986.792493,134180.085722,,0.000000,,,,,,,-19.249999,,,,,,,,,,,-17.213693,-19.249999,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000238","Nodes","238,",21.000000,39.368470,"DDS demands","Known Flow",479222.521557,134045.938685,,0.000000,,,,-9.249999,,,-2.300000,,,,,,,,,,,-10.328216,-11.549999,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,,,,,,
"80005800001119","Nodes","1119",21.000000,39.734368,"Default Known Flow Node","Known Flow",479218.895560,134006.700549,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800000239","Nodes","239",21.000000,39.760193,"DDS demands","Known Flow",479218.521556,134003.938674,,0.000000,,,,,,,-8.890000,,,,,,,,,,,-7.949597,-8.890000,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800001069","Nodes","1069",21.000000,39.317512,"Default Known Flow Node","Known Flow",479219.146556,134001.938673,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800001121","Nodes","1121",21.000000,39.114259,"Default Known Flow Node","Known Flow",479238.271246,133998.928973,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800000226","Nodes","226",21.000000,38.461910,"DDS demands","Known Flow",479303.521334,133987.437343,,0.000000,,,,,,,-7.459999,,,,,,,,,,,-6.670865,-7.459999,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800000005","Nodes","Whitehill, Liphook Road DG, GCM, Tel, Clocked, Site ID 5657",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",479231.942559,133988.001669,,459.000013,,,,,,,,,,,,,,,,,,210.325870,235.206512,,"",,,,,,,,,,,,,,,,,
"80005800001120","Nodes","1120",21.000000,39.919082,"Default Known Flow Node","Known Flow",479237.646131,133994.059871,,0.000000,,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,,
"80005800001089","Nodes","1089",21.000000,31.242840,"DDS demands","Known Flow",479141.396535,134309.563757,,0.000000,,,,,,,-1.320000,,,,,,,,,,,-1.180367,-1.320000,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
"80005800001090","Nodes","1090",21.000000,31.063422,"DDS demands","Known Flow",479131.240814,134322.157191,,0.000000,,,,,,,-3.130000,,,,,,,,,,,-2.798902,-3.130000,,"",,,,,,,"D1 PROFILE",,,,,,,,,,
