"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"800044-3230","Nodes","-3230",21.000000,59.776993,"Default Known Flow Node","Known Flow",449095.405000,168204.445000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400009296","Nodes","Group Profile 3, VODAPHONE - RV02D DG, 3912",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",447460.030000,168531.570000,,2795.999970,,,,,,,,,,,,,,,1074.378966,1201.473468,,"",,,,,,,,,,,,,,
"80004400001001","Nodes","1001, 74774/01, ""297 Andover Road"", 7.75",22.999998,32.091938,"CSEP DDS Matched","Known Flow",445612.373750,164000.491875,,0.000000,,,,,,,,-7.750000,,,,,,,-6.930188,-7.750000,,"",,,,,,,,"DC PROFILE",,,,,,
"80004400003230","Nodes","3230, 35534/01, ""CAVENDISH COURT"", 13.75",22.999998,59.684355,"CSEP DDS Matched","Known Flow",449088.405000,168212.445000,,0.000000,,,,,,,,-13.749999,,,,,,,-12.295494,-13.749999,,"",,,,,,,,"DC PROFILE",,,,,,
"80004400009015","Nodes","9015",21.000000,27.795325,"DDS demands","Known Flow",446918.280000,166952.070000,,0.000000,,,,,,,-2.789999,,,,,,,,-2.494867,-2.789999,,"",,,,,,,"D1 PROFILE",,,,,,,
"80004400009013","Nodes",,21.000000,24.807830,"DDS demands","Known Flow",446420.461393,166141.540927,,0.000000,,-97.030001,,,,,,,,,,,,,-86.765951,-97.030001,,"",,"C2 PROFILE",,,,,,,,,,,,
"800044-1323","Nodes","-1323",21.000000,34.041941,"Default Known Flow Node","Known Flow",448151.030000,167012.195000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"80004400000221","Nodes","221, P93203/01, ""Behind West Berks Bowls Club"", 17.82",22.999998,35.016331,"CSEP DDS Matched","Known Flow",447992.358443,165706.960056,,0.000000,,,,,,,,-7.300000,,,,,,,-6.527789,-7.300000,,"",,,,,,,,"DC PROFILE",,,,,,
"80004400000210","Nodes","210",21.000000,35.060242,"DDS demands","Known Flow",448009.905000,165695.820000,,0.000000,,,,,,,-1.090000,,,,,,,,-0.974697,-1.090000,,"",,,,,,,"D1 PROFILE",,,,,,,
"800044-1462573","Nodes","-1462573",21.000000,35.060242,"Default Known Flow Node","Known Flow",448014.905000,165691.570000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
