"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"80006900000076","Nodes","76","21.000000","28.750603","DDS demands","Known Flow","460272.681882","181420.991800","","0.000000","-6.000000","-28.259999","","","","","","","","","-30.635905","-34.259998","","","C1 PROFILE","C2 PROFILE","","","","","","","",""
"80006900000326","Nodes","326","21.000000","28.794810","DDS demands","Known Flow","460219.712927","181264.461455","","0.000000","","","","","-8.699999","","","","","","-7.779695","-8.699999","","","","","","","D1 PROFILE","","","","",""
"80006900000407","Nodes","407","21.000000","26.231743","DDS demands","Known Flow","460331.262416","180634.423362","","0.000000","","","","","-3.829999","","","","","","-3.424854","-3.829999","","","","","","","D1 PROFILE","","","","",""
"80006900008003","Nodes","Logger 5678, BY MEDINA READING RD","21.000000","26.418286","Val Log Cath","Known Flow","460328.332240","180746.511144","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900000400","Nodes","400","21.000000","26.404745","DDS demands","Known Flow","460366.475426","180758.895396","","0.000000","","","","","-6.860000","","","","","","-6.134335","-6.860000","","","","","","","D1 PROFILE","","","","",""
"80006900000344","Nodes","344","21.000000","37.355615","DDS demands","Known Flow","459483.478761","180791.387370","","0.000000","","","","","-4.770000","","","","","","-4.265419","-4.770000","","","","","","","D1 PROFILE","","","","",""
"80006900000431","Nodes","431","21.000000","25.227541","DDS demands","Known Flow","460010.804976","180212.500254","","0.000000","","","","","-7.610000","","","","","","-6.804998","-7.610000","","","","","","","D1 PROFILE","","","","",""
"80006900001002","Nodes","1002","21.000000","25.297536","Default Known Flow Node","Known Flow","459974.510730","180554.084458","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900018105","Nodes","18105","21.000000","25.200962","Default Known Flow Node","Known Flow","460006.864915","180564.883987","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900000416","Nodes","416","21.000000","25.350878","DDS demands","Known Flow","459962.055894","180550.484217","","0.000000","","","","","-13.810000","","","","","","-12.349149","-13.810000","","","","","","","D1 PROFILE","","","","",""
