"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-DC)"
"80120800000148","Nodes","148",21.000000,24.253398,"DDS demands","Known Flow",464653.017592,181878.201701,,0.000000,,-33.009998,,,,,-29.518132,-33.009998,,"",,"C2 PROFILE",,,,
"80120800000149","Nodes","149",21.000000,23.605601,"DDS demands","Known Flow",464725.017612,181920.201712,,0.000000,,-10.770000,,,,,-9.630727,-10.770000,,"",,"C2 PROFILE",,,,
"80120800000040","Nodes","40",21.000000,24.998041,"Default Known Flow Node","Known Flow",464619.017583,181748.826665,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000041","Nodes","41",21.000000,24.204792,"DDS demands","Known Flow",464712.892609,181981.451729,,0.000000,,-12.830000,,,,,-11.472815,-12.830000,,"",,"C2 PROFILE",,,,
"80120800000031","Nodes","31",21.000000,33.294998,"DDS demands","Known Flow",464517.892556,181449.451584,,0.000000,,,,,-7.600000,,-6.796056,-7.600000,,"",,,,,"D1 PROFILE",
"80120800001234","Nodes","-1234",21.000000,39.507634,"Default Known Flow Node","Known Flow",464532.558896,181421.767582,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000002","Nodes","2, BRIDLE PATH DG, Site ID 4284",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",464533.017560,181418.076575,,999998.967025,,,,,,,455.331394,509.195173,,"",,,,,,
"80120800000094","Nodes","94",21.000000,37.880838,"DDS demands","Known Flow",463985.767411,181841.201691,,0.000000,,,,,-1.379999,,-1.234020,-1.379999,,"",,,,,"D1 PROFILE",
"80120800000093","Nodes","93",21.000000,39.414428,"Default Known Flow Node","Known Flow",463980.341367,181846.085130,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000001","Nodes","1, BEECH LANE/BEHOES LANE DG, Site ID 4283",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",463978.267409,181847.951692,,999998.967025,,,,,,,244.304611,273.204830,,"",,,,,,
"80120800000055","Nodes","55",21.000000,27.261413,"DDS demands","Known Flow",464391.392521,181923.576713,,0.000000,,,,,-10.090000,,-9.022658,-10.090000,,"",,,,,"D1 PROFILE",
"80120800000054","Nodes","54",21.000000,27.369575,"Default Known Flow Node","Known Flow",464414.767527,181926.701714,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000136","Nodes","136",21.000000,27.582072,"DDS demands","Known Flow",464431.286884,181888.706037,,0.000000,,,,,-11.270000,,-10.077835,-11.270000,,"",,,,,"D1 PROFILE",
"80120800000019","Nodes","19",21.000000,32.183687,"DDS demands","Known Flow",464116.590166,182029.719319,,0.000000,,,,,-12.570000,,-11.240319,-12.570000,,"",,,,,"D1 PROFILE",
"80120800000106","Nodes","106",21.000000,22.959318,"DDS demands","Known Flow",463916.142392,182276.701809,,0.000000,,,,,-7.150000,,-6.393657,-7.150000,,"",,,,,"D1 PROFILE",
"80120800000105","Nodes","105",21.000000,23.094462,"DDS demands","Known Flow",464141.005959,182245.790518,,0.000000,,,,,-10.660000,,-9.532363,-10.660000,,"",,,,,"D1 PROFILE",
"80120800000142","Nodes","142",21.000000,23.165480,"DDS demands","Known Flow",464163.892459,182231.576797,,0.000000,,,,,-17.260000,,-15.434201,-17.260000,,"",,,,,"D1 PROFILE",
"80120800000077","Nodes","77",21.000000,20.647304,"DDS demands","Known Flow",464849.142646,181754.701667,,0.000000,,,,,-6.630000,,-5.928664,-6.630000,,"",,,,,"D1 PROFILE",
"80120800000076","Nodes","76",21.000000,20.932140,"DDS demands","Known Flow",464869.502609,181760.003602,,0.000000,,,,,-4.179999,,-3.737830,-4.179999,,"",,,,,"D1 PROFILE",
"80120800000072","Nodes","72",21.000000,21.404111,"Default Known Flow Node","Known Flow",464876.642653,181735.451662,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000025","Nodes","25",21.000000,27.275507,"DDS demands","Known Flow",464244.767481,181987.326730,,0.000000,,,,,-1.190000,,-1.064119,-1.190000,,"",,,,,"D1 PROFILE",
"80120800000026","Nodes","26",21.000000,27.270024,"DDS demands","Known Flow",464249.576076,181983.469286,,0.000000,,,,,-0.739999,,-0.661721,-0.739999,,"",,,,,"D1 PROFILE",
"80120800000102","Nodes","102",21.000000,27.246121,"DDS demands","Known Flow",464257.876062,181959.210512,,0.000000,,,,,-1.570000,,-1.403922,-1.570000,,"",,,,,"D1 PROFILE",
"80120800000021","Nodes","21",21.000000,27.725456,"DDS demands","Known Flow",464212.767473,181993.701732,,0.000000,,,,,-13.390000,,-11.973577,-13.390000,,"",,,,,"D1 PROFILE",
"80120800000022","Nodes","22",21.000000,27.662033,"DDS demands","Known Flow",464185.522120,181943.015067,,0.000000,,,,,-13.899999,,-12.429627,-13.899999,,"",,,,,"D1 PROFILE",
"80120800000024","Nodes","24",21.000000,27.527546,"DDS demands","Known Flow",464105.392443,181939.201717,,0.000000,,,,,-12.669999,,-11.329740,-12.669999,,"",,,,,"D1 PROFILE",
"80120800000050","Nodes","50",21.000000,24.980433,"DDS demands","Known Flow",464704.892606,181433.576580,,0.000000,,,,-3.869999,-12.359999,,-14.513156,-16.230000,,"",,,,"C4 PROFILE","D1 PROFILE",
"80120800000113","Nodes","113",21.000000,24.713394,"Default Known Flow Node","Known Flow",464652.230092,181440.814082,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800278636","Nodes","-278636",21.000000,33.294998,"Default Known Flow Node","Known Flow",464513.017554,181447.826584,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000114","Nodes","114",21.000000,24.633633,"DDS demands","Known Flow",464638.517588,181466.201589,,0.000000,,,,,-5.150000,,-4.605222,-5.150000,,"",,,,,"D1 PROFILE",
"80120800000115","Nodes","115",21.000000,24.700997,"DDS demands","Known Flow",464634.017587,181442.701582,,0.000000,,,,,-3.000000,,-2.682653,-3.000000,,"",,,,,"D1 PROFILE",
"80120800000125","Nodes","125",21.000000,24.493335,"DDS demands","Known Flow",464818.142637,181307.576545,,0.000000,,,,,-2.580000,,-2.307082,-2.580000,,"",,,,,"D1 PROFILE",
"80120800263277","Nodes","-263277",21.000000,37.321432,"Default Known Flow Node","Known Flow",463997.892414,181845.701692,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000010","Nodes","10",21.000000,37.321432,"DDS demands","Known Flow",463992.767413,181846.951692,,0.000000,,,,,-6.619999,,-5.919722,-6.619999,,"",,,,,"D1 PROFILE",
"80120800000011","Nodes","11",21.000000,37.782849,"DDS demands","Known Flow",463904.142389,181760.326669,,0.000000,,,,,-6.370000,,-5.696168,-6.370000,,"",,,,,"D1 PROFILE",
"80120800265174","Nodes","-265174",21.000000,28.758510,"Default Known Flow Node","Known Flow",464387.142520,181694.701651,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"80120800000035","Nodes","35",21.000000,28.803173,"DDS demands","Known Flow",464401.017524,181667.826643,,0.000000,,,,,-19.080000,,-17.061678,-19.080000,,"",,,,,"D1 PROFILE",
"80120800000095","Nodes","95",21.000000,25.558497,"DDS demands","Known Flow",464211.017472,181896.951706,,0.000000,,,,,-6.820000,,-6.098566,-6.820000,,"",,,,,"D1 PROFILE",
"80120800000058","Nodes","58",21.000000,25.697348,"DDS demands","Known Flow",464194.033873,181875.817354,,0.000000,,,,,-4.199999,,-3.755715,-4.199999,,"",,,,,"D1 PROFILE",
