"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"80011200008036","Nodes","8036",21.000000,36.590367,"Default Known Flow Node","Known Flow",483975.981473,132370.581043,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008039","Nodes","8039",21.000000,32.208998,"Default Known Flow Node","Known Flow",483993.917350,132033.878816,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008040","Nodes","8040",21.000000,32.192097,"Default Known Flow Node","Known Flow",483993.757312,132053.191556,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008038","Nodes","8038",21.000000,32.177323,"Default Known Flow Node","Known Flow",483993.329430,132070.795434,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008045","Nodes","P07111033, BRANSHOTT PLACE,122.2",30.000000,30.733004,"CSEP DDS Matched","Known Flow",484255.769926,132306.819212,,0.000000,,,,,,-109.200000,,,,,-85.930766,-96.095996,,"",,,,,,"DC PROFILE",,,,
"80011200008052","Nodes","8052",21.000000,31.097942,"Default Known Flow Node","Known Flow",484447.533979,132468.663256,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008035","Nodes","8035",21.000000,33.461079,"Default Known Flow Node","Known Flow",483974.659359,132768.632651,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008046","Nodes","8046",21.000000,29.115562,"Default Known Flow Node","Known Flow",484255.827926,132998.568400,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008047","Nodes","8047",21.000000,30.060278,"Default Known Flow Node","Known Flow",484282.259934,132943.947385,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008048","Nodes","8048,",21.000000,30.051927,"DDS demands","Known Flow",484282.746157,132938.679575,,0.000000,-5.330000,,,,,,,,,,-3.860607,-4.317300,,"","C1 PROFILE",,,,,,,,,
"80011200008049","Nodes","8049",21.000000,30.060278,"Default Known Flow Node","Known Flow",484284.025934,132941.588385,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008051","Nodes","8051",21.000000,31.139924,"Point Loads","Known Flow",484445.621978,132685.113315,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008044","Nodes","8044",21.000000,30.788175,"Default Known Flow Node","Known Flow",484230.794920,132545.321277,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200007001","Nodes","7001",21.000000,27.426840,"DDS demands","Known Flow",484265.907789,133107.307936,,0.000000,,,,,-13.879999,,,,,,-10.922335,-12.214400,,"",,,,,"D1 PROFILE",,,,,
"80011200007002","Nodes","7002",21.000000,27.383123,"Default Known Flow Node","Known Flow",484256.741927,133120.436433,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000319","Nodes","319",21.000000,49.389012,"Default Known Flow Node","Known Flow",481876.223739,131580.688002,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200001008","Nodes","1008",21.000000,28.846969,"Default Known Flow Node","Known Flow",483790.697800,131263.628928,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200001009","Nodes","1009",21.000000,29.133463,"Default Known Flow Node","Known Flow",483792.347800,131200.861911,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000135","Nodes","135",21.000000,33.461079,"DDS demands","Known Flow",483891.735827,132801.303346,,0.000000,,,,,-1.129999,,,,,,-0.889210,-0.994399,,"",,,,,"D1 PROFILE",,,,,
"80011200000086","Nodes","86",21.000000,35.944146,"Default Known Flow Node","Known Flow",484042.904126,131331.699298,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008008","Nodes","8008",21.000000,29.597969,"Default Known Flow Node","Known Flow",484020.772862,130788.562799,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008010","Nodes","8010",21.000000,29.686206,"Default Known Flow Node","Known Flow",484079.383878,130854.169817,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008109","Nodes","8109",21.000000,26.498555,"Default Known Flow Node","Known Flow",483980.549852,133154.539443,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008107","Nodes","8107",21.000000,26.810792,"Default Known Flow Node","Known Flow",484100.682884,133080.072422,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000153","Nodes","153",21.000000,27.116194,"DDS demands","Known Flow",484454.699981,131122.502890,,0.000000,,,,,-23.970000,,,,,,-18.862275,-21.093599,,"",,,,,"D1 PROFILE",,,,,
"80011200008090","Nodes","8090",21.000000,27.069102,"Default Known Flow Node","Known Flow",484499.071397,131176.650912,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008097","Nodes","8097",21.000000,28.956621,"Default Known Flow Node","Known Flow",484537.898241,130500.523776,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000155","Nodes","155",21.000000,29.051390,"DDS demands","Known Flow",484595.362295,130585.687088,,0.000000,,-11.060000,,,-8.270000,,,,,,-11.749486,-13.139400,,"",,"C2 PROFILE",,,"D1 PROFILE",,,,,
"80011200008112","Nodes","8112",21.000000,32.209029,"Default Known Flow Node","Known Flow",483886.384671,132916.424021,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000383","Nodes","383",21.000000,31.912618,"DDS demands","Known Flow",483884.906202,132943.442088,,0.000000,,,,,-4.719999,,,,,,-3.714223,-4.153599,,"",,,,,"D1 PROFILE",,,,,
"80011200008012","Nodes","8012",21.000000,34.513534,"Default Known Flow Node","Known Flow",484067.635955,131222.396464,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008013","Nodes","8013",21.000000,34.261852,"Default Known Flow Node","Known Flow",484077.078878,131204.180912,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200001002","Nodes","P09120806, LONGMOOR ROAD, 57.32",28.000000,35.480748,"CSEP DDS Matched","Known Flow",483807.581804,131624.271026,,0.000000,,,,,,-57.320001,,,,,-45.105781,-50.441602,,"",,,,,,"DC PROFILE",,,,
"80011200008111","Nodes","8111",21.000000,28.182435,"Point Loads","Known Flow",483760.357050,130674.053289,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008014","Nodes","8014",21.000000,28.183680,"Default Known Flow Node","Known Flow",483735.558722,130701.042734,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000354","Nodes","354",21.000000,29.154917,"Default Known Flow Node","Known Flow",484166.837902,130958.864845,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008018","Nodes","8018",21.000000,29.154917,"Default Known Flow Node","Known Flow",484141.728526,130968.843307,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200007004","Nodes","7004",21.000000,29.063713,"Default Known Flow Node","Known Flow",483894.134828,130857.589818,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200007003","Nodes","7003",21.000000,29.279557,"Default Known Flow Node","Known Flow",483924.838836,131059.311872,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008009","Nodes","8009",21.000000,28.051715,"Default Known Flow Node","Known Flow",484557.792810,131547.400875,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008017","Nodes","8017",21.000000,30.421910,"Default Known Flow Node","Known Flow",483990.179141,130956.589396,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008019","Nodes","8019",21.000000,30.534061,"Default Known Flow Node","Known Flow",484045.183531,130986.754240,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008007","Nodes","8007",21.000000,29.597969,"Default Known Flow Node","Known Flow",484012.744860,130787.028798,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000299","Nodes","299",21.000000,29.138280,"DDS demands","Known Flow",484139.748900,130975.009653,,0.000000,-2.230000,,-3.349999,,-10.699999,,,,,,-11.622864,-12.997799,,"","C1 PROFILE",,"C3  PROFILE",,"D1 PROFILE",,,,,
"80011200000225","Nodes","225",21.000000,37.757028,"DDS demands","Known Flow",483426.305876,131988.352379,,0.000000,,,,,-5.260000,,,,,,-4.139156,-4.628800,,"",,,,,"D1 PROFILE",,,,,
"80011200008025","Nodes","8025",21.000000,37.748427,"Default Known Flow Node","Known Flow",483426.577839,132000.286734,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008119","Nodes","8119",21.000000,28.939355,"Default Known Flow Node","Known Flow",484498.125138,130653.204691,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200008071","Nodes","8071",21.000000,30.930797,"Default Known Flow Node","Known Flow",483997.862856,131043.768868,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"80011200000398","Nodes","398",21.000000,29.597969,"Default Known Flow Node","Known Flow",484040.608744,130880.775314,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
