"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"80019800000020","Nodes",,0.000000,61.389467,"Default Known Flow Node","Known Flow",473873.645101,211009.334627,0.000000,,,,,,,,,,,0.000000,0.000000,"",,,,,,,,,,
"80019800000021","Nodes",,0.000000,61.148587,"DDS demands","Known Flow",473916.520113,211043.584637,0.000000,,,,,-7.489999,,,,,,-6.697671,-7.489999,"",,,,,"D1 PROFILE",,,,,
"80019800000022","Nodes",,0.000000,41.459835,"DDS demands","Known Flow",473867.770100,211301.959707,0.000000,,,,,-9.469999,,,,,,-8.468217,-9.469999,"",,,,,"D1 PROFILE",,,,,
"80019800000023","Nodes",,0.000000,32.928438,"DDS demands","Known Flow",473963.895126,211383.459729,0.000000,,,,,-7.929999,,-1.049999,,,,-8.030052,-8.979999,"",,,,,"D1 PROFILE",,"I2 PROFILE",,,
"80019800000024","Nodes",,0.000000,57.516350,"Default Known Flow Node","Known Flow",473823.145088,211086.959649,0.000000,,,,,,,,,,,0.000000,0.000000,"",,,,,,,,,,
"80019800000035","Nodes",,0.000000,54.011646,"DDS demands","Known Flow",474020.451152,211115.066502,0.000000,,,,,-6.079999,,,,,,-5.436828,-6.079999,"",,,,,"D1 PROFILE",,,,,
"80019800000026","Nodes",,0.000000,69.879563,"DDS demands","Known Flow",473930.020117,210877.209592,0.000000,,,,,-1.580000,,,,,,-1.412860,-1.580000,"",,,,,"D1 PROFILE",,,,,
"80019800000027","Nodes",,0.000000,69.763853,"DDS demands","Known Flow",473959.395125,210890.209595,0.000000,,,,,-7.829999,,,,,,-7.001704,-7.829999,"",,,,,"D1 PROFILE",,,,,
"80019800000028","Nodes",,0.000000,49.380658,"Default Known Flow Node","Known Flow",473710.531057,211194.311678,0.000000,,,,,,,,,,,0.000000,0.000000,"",,,,,,,,,,
"80019800000029","Nodes",,0.000000,49.380658,"Default Known Flow Node","Known Flow",473709.977057,211192.875677,0.000000,,,,,,,,,,,0.000000,0.000000,"",,,,,,,,,,
"80019800000015","Nodes",,0.000000,64.155792,"Default Known Flow Node","Known Flow",473918.395114,210882.459593,0.000000,,,,,,,,,,,0.000000,0.000000,"",,,,,,,,,,
"80019800000030","Nodes",,0.000000,64.233928,"DDS demands","Known Flow",473905.020110,210954.459613,0.000000,,,,-3.859999,-5.980000,,,,,,-8.799077,-9.840000,"",,,,"C4 PROFILE","D1 PROFILE",,,,,
"80019800000032","Nodes",,0.000000,63.733490,"Default Known Flow Node","Known Flow",473901.395109,210962.084615,0.000000,,,,,,,,,,,0.000000,0.000000,"",,,,,,,,,,
"80019800000033","Nodes",,0.000000,57.020729,"DDS demands","Known Flow",473999.145135,211005.459626,0.000000,,,,,-36.889999,,,,,,-32.987599,-36.889999,"",,,,,"D1 PROFILE",,,,,
"80019800000017","Nodes",,0.000000,56.916497,"DDS demands","Known Flow",473811.895085,211107.334654,0.000000,-5.039999,-2.380000,,-12.229999,-7.949999,,,,,,-24.680341,-27.599999,"","C1 PROFILE","C2 PROFILE",,"C4 PROFILE","D1 PROFILE",,,,,
"80019800000039","Nodes",,0.000000,51.996078,"DDS demands","Known Flow",473903.290343,211148.920142,0.000000,,,,-12.539999,-22.609999,,,,,,-31.431664,-35.149999,"",,,,"C4 PROFILE","D1 PROFILE",,,,,
"80019800000034","Nodes",,0.000000,32.815398,"Default Known Flow Node","Known Flow",473969.204127,211383.715729,0.000000,,,,,,,,,,,0.000000,0.000000,"",,,,,,,,,,
"80019800000025","Nodes",,0.000000,54.022245,"DDS demands","Known Flow",474036.395146,211116.209657,0.000000,,,,,-6.730000,,,,,,-6.018068,-6.730000,"",,,,,"D1 PROFILE",,,,,
"80019800000036","Nodes",,0.000000,53.137642,"Default Known Flow Node","Known Flow",473771.983716,211159.798960,0.000000,,,,,,,,,,,0.000000,0.000000,"",,,,,,,,,,
"80019800000037","Nodes",,0.000000,53.182564,"Default Known Flow Node","Known Flow",473789.020078,211170.459671,0.000000,,,,,,,,,,,0.000000,0.000000,"",,,,,,,,,,
"80019800000038","Nodes",,0.000000,51.996078,"Default Known Flow Node","Known Flow",473900.480109,211152.589666,0.000000,,,,,,,,,,,0.000000,0.000000,"",,,,,,,,,,
"80019800000040","Nodes",,0.000000,32.535830,"DDS demands","Known Flow",473979.715130,211394.708732,0.000000,,,,-5.130000,-3.769999,,-12.430000,,,,-19.073611,-21.330001,"",,,,"C4 PROFILE","D1 PROFILE",,"I2 PROFILE",,,
"80019800000041","Nodes",,0.000000,50.844409,"DDS demands","Known Flow",474037.770146,211250.709693,0.000000,,,,,-2.509999,,,,,,-2.244480,-2.509999,"",,,,,"D1 PROFILE",,,,,
"80019800000042","Nodes","Playing Fields Sports Pavilion Bernard Close(REF:6142)",0.000000,56.979818,"Point Loads","Known Flow",474047.270149,211028.459633,0.000000,,,,,,,,-2.949999,,,-2.637934,-2.949999,"",,,,,,,,"PL-AF PROFILE",,
"80019800000044","Nodes",,0.000000,58.107988,"DDS demands","Known Flow",473829.895089,211074.959645,0.000000,,,,,-11.910000,,,,,,-10.650103,-11.910000,"",,,,,"D1 PROFILE",,,,,
"80019800000047","Nodes",,0.000000,57.507806,"DDS demands","Known Flow",473649.145040,211024.209632,0.000000,,,,,-7.340000,,,,,,-6.563539,-7.340000,"",,,,,"D1 PROFILE",,,,,
"80019800000045","Nodes",,0.000000,54.694020,"DDS demands","Known Flow",473931.131707,211096.897302,0.000000,,,,,-10.909999,,,,,,-9.755887,-10.909999,"",,,,,"D1 PROFILE",,,,,
"80019800000043","Nodes",,0.000000,57.065441,"Default Known Flow Node","Known Flow",474050.520149,211001.959625,0.000000,,,,,,,,,,,0.000000,0.000000,"",,,,,,,,,,
"80019800000001","Nodes","DADBROOK DADFIELD CLOSE 'DG'",0.000000,74.999996,"Default Known Pressure Node","Known Pressure",473941.895120,210807.959573,1870.000043,,,,,,,,,,,246.991191,276.210004,"",,,,,,,,,,
"80019800000263","Nodes","263",0.000000,41.440266,"Point Loads","Known Flow",473811.365873,211281.270392,0.000000,,,,,,,,-5.539999,,,-4.953951,-5.539999,"",,,,,,,,"PL-AF PROFILE",,
