"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-PL)"
"60208000000035","Nodes","35","21.000000","39.847933","DDS demands","Known Flow","345227.098772","721439.061131","","0.000000","","","","-14.919999","","","","","-13.341730","-14.919999","","","","","","D1 PROFILE","","","",""
"60208000000031","Nodes","31","21.000000","42.412916","Default Known Flow Node","Known Flow","345255.478103","721498.081536","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000000033","Nodes","33","21.000000","42.361818","DDS demands","Known Flow","345191.471221","721450.034496","","0.000000","","","","-3.000000","","","","","-2.682653","-3.000000","","","","","","D1 PROFILE","","","",""
"60208000001172","Nodes","-76706","21.000000","39.884282","Default Known Flow Node","Known Flow","345222.203184","721426.895235","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000000034","Nodes","34","21.000000","40.595760","DDS demands","Known Flow","345288.639396","721412.679860","","0.000000","","","","-3.619999","","","","","-3.237068","-3.619999","","","","","","D1 PROFILE","","","",""
"60208000001174","Nodes","-76710","21.000000","40.494475","Default Known Flow Node","Known Flow","345273.396381","721380.230702","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000000026","Nodes","26","21.000000","44.692435","DDS demands","Known Flow","345397.687639","721421.446384","","0.000000","","","-9.500000","-25.010000","","","","","-30.859460","-34.510000","","","","","C4 PROFILE","D1 PROFILE","","","",""
"60208000000018","Nodes","18","21.000000","44.835523","DDS demands","Known Flow","345442.899154","721352.804496","","0.000000","-1.090000","","","-10.280000","","","","","-10.167257","-11.369999","","","C1 PROFILE","","","D1 PROFILE","","","",""
"60208000000019","Nodes","19","21.000000","43.039075","DDS demands","Known Flow","345417.287882","721268.133569","","0.000000","","","","-17.639999","","","","","-15.774003","-17.639999","","","","","","D1 PROFILE","","","",""
"60208000000021","Nodes","21","21.000000","39.679250","DDS demands","Known Flow","345334.162140","721316.368576","","0.000000","","","","-3.380000","","","","","-3.022456","-3.380000","","","","","","D1 PROFILE","","","",""
"60208000000022","Nodes","22","21.000000","38.172048","DDS demands","Known Flow","345280.665356","721316.932984","","0.000000","","","","-25.400000","","","","","-22.713134","-25.400000","","","","","","D1 PROFILE","","","",""
"60208000000007","Nodes","7","21.000000","43.673223","DDS demands","Known Flow","345203.112089","721005.722402","","0.000000","","","","-18.969999","","","","","-16.963314","-18.969999","","","","","","D1 PROFILE","","","",""
"60208000000008","Nodes","8","21.000000","43.591240","DDS demands","Known Flow","345150.778074","721060.931417","","0.000000","","","","-6.959999","","","","","-6.223756","-6.959999","","","","","","D1 PROFILE","","","",""
"60208000000036","Nodes","36","21.000000","40.405778","DDS demands","Known Flow","345240.550099","721382.758504","","0.000000","","","","-5.889999","","","","","-5.266943","-5.889999","","","","","","D1 PROFILE","","","",""
"60208000000020","Nodes","20","21.000000","42.151768","DDS demands","Known Flow","345541.384181","721259.799471","","0.000000","","","","-11.050000","","","","","-9.881108","-11.050000","","","","","","D1 PROFILE","","","",""
"60208000000010","Nodes","10","21.000000","49.968749","DDS demands","Known Flow","345670.843372","721209.571528","","0.000000","","","","-3.010000","","","","","-2.691595","-3.010000","","","","","","D1 PROFILE","","","",""
"60208000000014","Nodes","14","21.000000","47.159236","DDS demands","Known Flow","345739.857063","721103.226455","","0.000000","","","","-2.650000","","","","","-2.369677","-2.650000","","","","","","D1 PROFILE","","","",""
"60208000000012","Nodes","12","21.000000","47.142938","DDS demands","Known Flow","345737.939567","721132.786858","","0.000000","-15.999999","","","-9.260000","","","","","-22.587943","-25.259999","","","C1 PROFILE","","","D1 PROFILE","","","",""
"60208000000011","Nodes","11","21.000000","48.942760","DDS demands","Known Flow","345678.881218","721121.891433","","0.000000","","","","-9.479999","","","","","-8.477185","-9.479999","","","","","","D1 PROFILE","","","",""
"60208000000053","Nodes","53","21.000000","49.235885","DDS demands","Known Flow","345652.999334","721289.550866","","0.000000","","","","-17.979999","","","","","-16.078037","-17.979999","","","","","","D1 PROFILE","","","",""
"60208000000054","Nodes","54","21.000000","48.756953","DDS demands","Known Flow","345783.817247","721356.280497","","0.000000","","","","-9.260000","","","","","-8.280457","-9.260000","","","","","","D1 PROFILE","","","",""
"60208000000016","Nodes","16","21.000000","49.190404","DDS demands","Known Flow","345646.939209","721297.575481","","0.000000","-3.280000","","","-1.039999","","","","","-3.863021","-4.320000","","","C1 PROFILE","","","D1 PROFILE","","","",""
"60208000000017","Nodes","17","21.000000","46.666804","DDS demands","Known Flow","345590.662194","721363.164499","","0.000000","-1.109999","-5.650000","","-6.939999","","","","","-12.250785","-13.699999","","","C1 PROFILE","C2 PROFILE","","D1 PROFILE","","","",""
"60208000000024","Nodes","24","21.000000","45.283892","DDS demands","Known Flow","345572.443189","721431.431518","","0.000000","","","","-20.850000","","","","","-18.644443","-20.850000","","","","","","D1 PROFILE","","","",""
"60208000000025","Nodes","25","21.000000","45.137163","DDS demands","Known Flow","345542.070100","721428.492740","","0.000000","","","","-14.250000","","","","","-12.742605","-14.250000","","","","","","D1 PROFILE","","","",""
"60208000000055","Nodes","55","21.000000","48.246705","DDS demands","Known Flow","345857.476267","721402.678510","","0.000000","","","","-6.480000","","","","","-5.794532","-6.480000","","","","","","D1 PROFILE","","","",""
"60208000001168","Nodes","-69217","21.000000","47.252019","Default Known Flow Node","Known Flow","345888.041169","721496.462106","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000000069","Nodes","69","21.000000","48.033582","DDS demands","Known Flow","345957.463294","721361.832499","","0.000000","","","","-5.659999","","","","","-5.061273","-5.659999","","","","","","D1 PROFILE","","","",""
"60208000000056","Nodes","56","21.000000","47.232589","DDS demands","Known Flow","345890.364711","721496.875993","","0.000000","","","","-1.059999","","","","","-0.947870","-1.059999","","","","","","D1 PROFILE","","","",""
"60208000000057","Nodes","57","21.000000","46.789512","DDS demands","Known Flow","345945.631291","721473.906529","","0.000000","","","","-7.159999","","","","","-6.402599","-7.159999","","","","","","D1 PROFILE","","","",""
"60208000000058","Nodes","58","21.000000","46.635505","DDS demands","Known Flow","345955.295293","721499.295536","","0.000000","","","","-1.659999","","","","","-1.484401","-1.659999","","","","","","D1 PROFILE","","","",""
"60208000000068","Nodes","68","21.000000","48.033582","Default Known Flow Node","Known Flow","345982.075301","721350.505496","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000000067","Nodes","67","21.000000","46.600874","DDS demands","Known Flow","346023.483312","721471.049528","","0.000000","","","","-2.619999","","","","","-2.342850","-2.619999","","","","","","D1 PROFILE","","","",""
"60208000000066","Nodes","66","21.000000","45.605994","DDS demands","Known Flow","346133.363342","721491.256534","","0.000000","","","","-28.049999","","","","","-25.082812","-28.049999","","","","","","D1 PROFILE","","","",""
"60208000000032","Nodes","32","21.000000","38.308598","DDS demands","Known Flow","345138.229071","721535.883546","","0.000000","","","","-28.639999","","","","","-25.610399","-28.639999","","","","","","D1 PROFILE","","","",""
"60208000000029","Nodes","29","21.000000","42.192946","DDS demands","Known Flow","345235.645299","721571.027351","","0.000000","","","","-25.759999","","","-1.830000","","-24.671472","-27.590000","","","","","","D1 PROFILE","","","I2 PROFILE",""
"60208000000030","Nodes","30","21.000000","42.117741","DDS demands","Known Flow","345290.859113","721621.974569","","0.000000","","","","-3.800000","","","","","-3.398028","-3.800000","","","","","","D1 PROFILE","","","",""
"60208000000028","Nodes","28","21.000000","42.639310","DDS demands","Known Flow","345289.934112","721523.053543","","0.000000","","","","-10.699999","","","","","-9.568131","-10.699999","","","","","","D1 PROFILE","","","",""
"60208000000027","Nodes","27","21.000000","42.899197","DDS demands","Known Flow","345316.334119","721501.398537","","0.000000","","","-1.479999","-9.029999","","","","","-9.398230","-10.509999","","","","","C4 PROFILE","D1 PROFILE","","","",""
"60208000001175","Nodes","-76711","21.000000","42.920328","Default Known Flow Node","Known Flow","345317.230120","721500.326536","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001169","Nodes","-69219","21.000000","46.598067","Default Known Flow Node","Known Flow","345958.775930","721506.765196","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000000050","Nodes","50","21.000000","41.370431","DDS demands","Known Flow","345563.980187","721570.902556","","0.000000","","","","-21.969998","","","","","-19.645966","-21.969998","","","","","","D1 PROFILE","","","",""
"60208000000040","Nodes","40","21.000000","42.146516","DDS demands","Known Flow","345776.317894","721705.278243","","0.000000","","","","-19.429999","","","","","-17.374652","-19.429999","","","","","","D1 PROFILE","","","",""
"60208000001160","Nodes","-41","21.000000","41.997646","Default Known Flow Node","Known Flow","345782.681246","721715.795595","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000000070","Nodes","70","21.000000","46.500378","DDS demands","Known Flow","345933.179287","721517.077541","","0.000000","","","","-1.290000","","","","","-1.153541","-1.290000","","","","","","D1 PROFILE","","","",""
"60208000001162","Nodes","-69205","21.000000","42.814371","Default Known Flow Node","Known Flow","345691.539222","721717.845596","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001161","Nodes","-69204","21.000000","42.814371","Default Known Flow Node","Known Flow","345691.013221","721677.835585","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001167","Nodes","-69216","21.000000","40.859674","Default Known Flow Node","Known Flow","345871.684689","721675.439009","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001166","Nodes","-69214","21.000000","41.512747","Default Known Flow Node","Known Flow","345849.738265","721539.763547","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000000045","Nodes","45","21.000000","41.964276","DDS demands","Known Flow","345837.305497","721582.298541","","0.000000","","","","-23.409999","","","","","-20.933639","-23.409999","","","","","","D1 PROFILE","","","",""
"60208000000047","Nodes","47","21.000000","40.843454","DDS demands","Known Flow","345954.537293","721607.466565","","0.000000","","","","-13.399999","","","","","-11.982519","-13.399999","","","","","","D1 PROFILE","","","",""
"60208000000037","Nodes","37","21.000000","44.225889","DDS demands","Known Flow","345689.277221","721588.508560","","0.000000","","-5.229999","","-2.069999","","","","","-6.527790","-7.300000","","","","C2 PROFILE","","D1 PROFILE","","","",""
"60208000000048","Nodes","48","21.000000","44.106337","DDS demands","Known Flow","345635.284932","721596.232286","","0.000000","","","","-4.510000","","","","","-4.032922","-4.510000","","","","","","D1 PROFILE","","","",""
"60208000000038","Nodes","38","21.000000","43.877708","DDS demands","Known Flow","345734.386233","721633.258572","","0.000000","","","","-20.679999","","","","","-18.492425","-20.679999","","","","","","D1 PROFILE","","","",""
"60208000001163","Nodes","-69208","21.000000","43.996779","Default Known Flow Node","Known Flow","345724.569231","721620.610569","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001164","Nodes","-69210","21.000000","43.531113","Default Known Flow Node","Known Flow","345754.532785","721617.133863","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000000039","Nodes","39","21.000000","43.190419","DDS demands","Known Flow","345748.646237","721658.151579","","0.000000","","","","-9.960000","","","","","-8.906410","-9.960000","","","","","","D1 PROFILE","","","",""
"60208000000041","Nodes","P00069992, Pitlethie Cottages, -83.54","30.000000","41.586037","CSEP DDS Matched","Known Flow","345804.910252","721754.154605","","0.000000","","","","","-83.540005","","","","-74.702966","-83.540005","","","","","","","DC PROFILE","","",""
"60208000000042","Nodes","42","21.000000","41.840150","DDS demands","Known Flow","345732.486233","721735.497600","","0.000000","","","","-6.500000","","","","","-5.812416","-6.500000","","","","","","D1 PROFILE","","","",""
"60208000000043","Nodes","43","21.000000","42.350446","DDS demands","Known Flow","345630.162205","721648.096577","","0.000000","","","","-10.189999","","","","","-9.112080","-10.189999","","","","","","D1 PROFILE","","","",""
"60208000001165","Nodes","-69211","21.000000","43.455578","Default Known Flow Node","Known Flow","345759.042443","721614.921825","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000000046","Nodes","46","21.000000","41.229747","DDS demands","Known Flow","345849.060264","721504.738538","","0.000000","","","","-13.000000","","","","","-11.624833","-13.000000","","","","","","D1 PROFILE","","","",""
"60208000000044","Nodes","44","21.000000","40.224290","DDS demands","Known Flow","345910.730281","721630.233572","","0.000000","","","","-13.680000","","","","","-12.232901","-13.680000","","","","","","D1 PROFILE","","","",""
"60208000000065","Nodes","65","21.000000","45.633713","DDS demands","Known Flow","346111.353412","721513.583167","","0.000000","","","","-1.590000","","","","","-1.421806","-1.590000","","","","","","D1 PROFILE","","","",""
"60208000000064","Nodes","64","21.000000","46.311850","DDS demands","Known Flow","346045.115318","721523.005542","","0.000000","","","","-3.739999","","","","","-3.344374","-3.739999","","","","","","D1 PROFILE","","","",""
"60208000001170","Nodes","-69220","21.000000","46.135458","Default Known Flow Node","Known Flow","346025.923847","721607.958759","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000000071","Nodes","71","21.000000","46.262868","DDS demands","Known Flow","346055.493321","721522.137542","","0.000000","","","","-1.510000","","","","","-1.350269","-1.510000","","","","","","D1 PROFILE","","","",""
"60208000000063","Nodes","63","21.000000","45.567121","DDS demands","Known Flow","346099.942633","721526.749942","","0.000000","","","","-0.910000","","","","","-0.813738","-0.910000","","","","","","D1 PROFILE","","","",""
"60208000000060","Nodes","60","21.000000","45.931770","DDS demands","Known Flow","346032.027250","721614.160094","","0.000000","","","","-5.619999","","","","","-5.025504","-5.619999","","","","","","D1 PROFILE","","","",""
"60208000000061","Nodes","61","21.000000","45.200065","DDS demands","Known Flow","346063.259338","721644.219614","","0.000000","","","","-15.699999","","","","","-14.039220","-15.699999","","","","","","D1 PROFILE","","","",""
"60208000000062","Nodes","62","21.000000","44.857542","DDS demands","Known Flow","346106.012334","721556.146552","","0.000000","","","","-7.309999","","","","","-6.536732","-7.309999","","","","","","D1 PROFILE","","","",""
"60208000001159","Nodes","-383945","21.000000","48.485530","Default Known Flow Node","Known Flow","345834.467933","721370.926244","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001010","Nodes","1010","21.000000","44.286267","DDS demands","Known Flow","345403.081143","721460.064525","","0.000000","","","","-7.010000","","","","","-6.268468","-7.010000","","","","","","D1 PROFILE","","","",""
"60208000001001","Nodes","1001","21.000000","44.248295","Default Known Flow Node","Known Flow","345377.730240","721441.431573","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001005","Nodes","1005","21.000000","44.374961","Default Known Flow Node","Known Flow","345383.796711","721435.310508","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000000001","Nodes","Leuchars DG, Tel, Constant, Site ID 1797","21.000000","49.999998","Default Known Pressure Node","Known Pressure","345674.011217","721210.374457","","3171.899981","","","","","","","","","685.659476","766.770029","","","","","","","","","",""
"60208000001011","Nodes","","21.000000","49.938737","Default Known Flow Node","Known Flow","345300.784115","720678.070313","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001013","Nodes","","21.000000","46.666705","Default Known Flow Node","Known Flow","345097.243060","720866.565364","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001014","Nodes","","21.000000","46.666705","Default Known Flow Node","Known Flow","345111.812064","720858.246362","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001017","Nodes","","21.000000","48.708254","Default Known Flow Node","Known Flow","345178.158082","720830.914354","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001019","Nodes","","21.000000","43.023385","Default Known Flow Node","Known Flow","345416.741147","721266.696473","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001024","Nodes","","21.000000","47.188271","Default Known Flow Node","Known Flow","345099.962061","720837.299356","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001026","Nodes","","21.000000","42.444786","Default Known Flow Node","Known Flow","345191.503085","721108.790430","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001018","Nodes","","21.000000","49.645081","Default Known Flow Node","Known Flow","345336.522125","720733.417328","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001028","Nodes","","21.000000","39.680368","Default Known Flow Node","Known Flow","345333.006124","721315.535486","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001029","Nodes","","21.000000","45.342010","Default Known Flow Node","Known Flow","345111.507064","720925.823380","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001030","Nodes","","21.000000","45.384064","Default Known Flow Node","Known Flow","345148.413074","720904.370374","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001027","Nodes","","21.000000","43.293479","Default Known Flow Node","Known Flow","345235.473097","721044.658412","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001033","Nodes","","21.000000","42.075449","Default Known Flow Node","Known Flow","345275.365108","721641.568575","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001034","Nodes","","21.000000","42.229822","DDS demands","Known Flow","345234.912097","721570.354555","","0.000000","","","","","","-26.399998","","","0.000000","0.000000","","","","","","","","DM PROFILE","",""
"60208000001036","Nodes","","21.000000","44.413381","Default Known Flow Node","Known Flow","345385.637138","721433.453518","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001040","Nodes","","21.000000","42.361818","Default Known Flow Node","Known Flow","345180.154082","721452.382523","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001041","Nodes","","21.000000","42.361818","Default Known Flow Node","Known Flow","345179.643082","721456.361524","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001042","Nodes","","21.000000","42.652995","Default Known Flow Node","Known Flow","344991.416031","721787.331614","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001045","Nodes","","21.000000","38.172048","Default Known Flow Node","Known Flow","345288.682112","721342.322493","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001046","Nodes","","21.000000","38.257203","Default Known Flow Node","Known Flow","345347.463128","721410.048512","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001048","Nodes","","21.000000","38.181015","Default Known Flow Node","Known Flow","345280.361110","721314.129486","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001049","Nodes","","21.000000","42.404093","Default Known Flow Node","Known Flow","345131.360069","721477.223530","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001050","Nodes","","21.000000","42.361818","Default Known Flow Node","Known Flow","345145.985073","721464.348527","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001051","Nodes","","21.000000","42.404093","Default Known Flow Node","Known Flow","345118.307066","721482.153531","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001052","Nodes","","21.000000","42.361818","Default Known Flow Node","Known Flow","345156.025076","721454.388524","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001053","Nodes","","21.000000","40.445739","Default Known Flow Node","Known Flow","345256.485103","721372.841502","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001054","Nodes","","21.000000","40.403337","Default Known Flow Node","Known Flow","345224.324094","721346.729495","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001055","Nodes","","21.000000","40.489609","Default Known Flow Node","Known Flow","345272.470108","721378.115503","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001057","Nodes","","21.000000","39.847933","Default Known Flow Node","Known Flow","345225.224095","721455.128524","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001059","Nodes","","21.000000","45.188566","Default Known Flow Node","Known Flow","345542.518181","721427.506517","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001063","Nodes","","21.000000","44.729483","Default Known Flow Node","Known Flow","345398.697142","721420.440515","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001069","Nodes","","21.000000","45.384466","Default Known Flow Node","Known Flow","345497.993169","721356.874497","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001064","Nodes","","21.000000","42.361818","Default Known Flow Node","Known Flow","345190.262085","721449.204522","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001066","Nodes","","21.000000","39.884282","Default Known Flow Node","Known Flow","345226.915095","721435.517519","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001056","Nodes","","21.000000","40.566705","Default Known Flow Node","Known Flow","345287.949112","721411.237512","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001070","Nodes","","21.000000","45.225565","DDS demands","Known Flow","345502.621170","721345.632494","","0.000000","-15.999999","","","","","","","","-14.307486","-15.999999","","","C1 PROFILE","","","","","","",""
"60208000001071","Nodes","","21.000000","38.138448","Default Known Flow Node","Known Flow","345271.087107","721322.617488","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001072","Nodes","","21.000000","49.240726","Default Known Flow Node","Known Flow","345651.920211","721288.941479","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001093","Nodes","","21.000000","49.603887","Default Known Flow Node","Known Flow","345664.766214","721249.159468","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001074","Nodes","","21.000000","48.528011","Default Known Flow Node","Known Flow","345800.941251","721254.046469","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001075","Nodes","","21.000000","48.486163","DDS demands","Known Flow","345744.990236","721308.463484","","0.000000","","","","-12.040000","","","","","-10.766383","-12.040000","","","","","","D1 PROFILE","","","",""
"60208000001077","Nodes","","21.000000","49.955220","Default Known Flow Node","Known Flow","345669.462216","721209.221457","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001076","Nodes","","21.000000","49.152267","Default Known Flow Node","Known Flow","345655.847212","721122.191433","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001078","Nodes","","21.000000","48.249783","DDS demands","Known Flow","345853.699266","721230.329463","","0.000000","","","","-8.619999","","","","","-7.708158","-8.619999","","","","","","D1 PROFILE","","","",""
"60208000001079","Nodes","","21.000000","48.107521","DDS demands","Known Flow","345883.994274","721170.101446","","0.000000","","","","-3.950000","","","","","-3.532160","-3.950000","","","","","","D1 PROFILE","","","",""
"60208000001080","Nodes","","21.000000","48.290624","Default Known Flow Node","Known Flow","345874.521271","721250.063468","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001081","Nodes","","21.000000","47.162861","Default Known Flow Node","Known Flow","345739.115234","721110.743430","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001082","Nodes","","21.000000","47.162861","Default Known Flow Node","Known Flow","345789.726248","721104.000428","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001083","Nodes","","21.000000","47.162861","Default Known Flow Node","Known Flow","345805.805253","721066.646418","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001084","Nodes","","21.000000","47.554452","Default Known Flow Node","Known Flow","346015.101310","721120.464433","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60208000001098","Nodes","","21.000000","47.522525","DDS demands","Known Flow","346022.411312","721125.328434","","0.000000","","","","-14.720000","","","","","-13.162887","-14.720000","","","","","","D1 PROFILE","","","",""
"60208000001086","Nodes","","21.000000","48.301100","DDS demands","Known Flow","345880.743273","721254.236469","","0.000000","","","","-11.239999","","","","","-10.051008","-11.239999","","","","","","D1 PROFILE","","","",""
"60208000001087","Nodes","","21.000000","47.173472","Default Known Flow Node","Known Flow","345736.732234","721132.746436","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
