"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C3)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"60605400000058","Nodes","58","21.000000","45.800197","Default Known Flow Node","Known Flow","382583.876771","812888.646460","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000066","Nodes","66","21.000000","24.539015","Default Known Flow Node","Known Flow","382490.153441","813151.303431","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000060","Nodes","P00047319, Meadowlands, 54.83","25.000000","40.521056","CSEP DDS Matched","Known Flow","382997.065698","812410.713187","","","","","","-54.830002","","-49.029970","-54.830002","","","","","","DC PROFILE",""
"60605400000068","Nodes","68","21.000000","30.627624","Default Known Flow Node","Known Flow","382594.612187","813192.547879","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000047","Nodes","47","21.000000","32.217881","Default Known Flow Node","Known Flow","382610.788654","813187.091890","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000022","Nodes","22","21.000000","32.205897","Default Known Flow Node","Known Flow","382611.704503","813188.979290","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000059","Nodes","59","21.000000","45.800197","Default Known Flow Node","Known Flow","382581.221548","812887.990098","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000064","Nodes","64","21.000000","26.608860","DDS demands","Known Flow","382434.330455","812924.610217","","0.000000","","","-17.920000","","","-16.024385","-17.920000","","","","","D1 PROFILE","",""
"60605400000062","Nodes","62","21.000000","38.524376","DDS demands","Known Flow","382532.344880","812961.619450","","0.000000","","","-9.580000","","","-8.566607","-9.580000","","","","","D1 PROFILE","",""
"60605400000061","Nodes","61","21.000000","38.524376","Default Known Flow Node","Known Flow","382527.159538","813009.571575","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000063","Nodes","63","21.000000","38.524376","Default Known Flow Node","Known Flow","382508.724808","812947.279057","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000065","Nodes","65","21.000000","26.608860","Default Known Flow Node","Known Flow","382362.258297","812952.425667","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000067","Nodes","67","21.000000","24.539015","Default Known Flow Node","Known Flow","382416.933896","813122.818152","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000069","Nodes","69","21.000000","31.053070","Default Known Flow Node","Known Flow","382587.334781","813198.093763","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000070","Nodes","70","21.000000","65.626949","Default Known Flow Node","Known Flow","382602.187199","812823.048976","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60605400000071","Nodes","P00074485, Nether Balborgie Kinellar, 9.3","22.999998","65.622745","CSEP DDS Matched","Known Flow","382601.263623","812822.903126","","","","","","-9.300000","","-8.316226","-9.300000","","","","","","DC PROFILE",""
"60605400000072","Nodes","72","21.000000","68.441225","Default Known Flow Node","Known Flow","382568.063222","812827.465754","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
