"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"60207000000264","Nodes","264","21.000000","38.722861","DDS demands","Known Flow","348816.355000","732232.470000","","0.000000","","","","","","-8.930000","","","","-7.985365","-8.930000","","","","","","","","D1 PROFILE","","",""
"60207000000262","Nodes","262","21.000000","38.837720","DDS demands","Known Flow","348884.230000","732158.220000","","0.000000","","","","","","-1.309999","","","","-1.171425","-1.309999","","","","","","","","D1 PROFILE","","",""
"60207000002853","Nodes","","21.000000","38.802645","Default Known Flow Node","Known Flow","348869.605000","732153.595000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000052","Nodes","52","21.000000","39.113228","DDS demands","Known Flow","348867.980000","732199.720000","","0.000000","","","","","","-7.150000","","","","-6.393657","-7.150000","","","","","","","","D1 PROFILE","","",""
"60207000000051","Nodes","51","21.000000","38.652291","DDS demands","Known Flow","348891.230000","732119.220000","","0.000000","","","","","","-44.060002","","","","-39.399244","-44.060002","","","","","","","","D1 PROFILE","","",""
"60207000000053","Nodes","53","21.000000","39.151825","DDS demands","Known Flow","348863.105000","732210.470000","","0.000000","","","","","","-6.239999","","","","-5.579919","-6.239999","","","","","","","","D1 PROFILE","","",""
"60207000000054","Nodes","54","21.000000","39.129292","DDS demands","Known Flow","348967.230000","732222.095000","","0.000000","","","","","","-6.229999","","","","-5.570977","-6.229999","","","","","","","","D1 PROFILE","","",""
"60207000000055","Nodes","55","21.000000","39.837729","DDS demands","Known Flow","348846.355000","732249.845000","","0.000000","","","","","","-3.010000","","","","-2.691595","-3.010000","","","","","","","","D1 PROFILE","","",""
"60207000000265","Nodes","265","21.000000","38.694238","DDS demands","Known Flow","348801.355000","732270.470000","","0.000000","","","","","","-3.190000","","","","-2.852555","-3.190000","","","","","","","","D1 PROFILE","","",""
"60207000000056","Nodes","56","21.000000","40.633305","DDS demands","Known Flow","348828.730000","732292.720000","","0.000000","","","","","","-6.399999","","","","-5.722994","-6.399999","","","","","","","","D1 PROFILE","","",""
"60207000000078","Nodes","78","21.000000","40.539089","DDS demands","Known Flow","348942.480000","732301.220000","","0.000000","","","","","","-9.450000","","","","-8.450359","-9.450000","","","","","","","","D1 PROFILE","","",""
"60207000002938","Nodes","","21.000000","40.482117","Default Known Flow Node","Known Flow","348994.480000","732280.095000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000077","Nodes","77","21.000000","40.789984","DDS demands","Known Flow","348949.355000","732330.220000","","0.000000","","","","","","-0.799999","","","","-0.715374","-0.799999","","","","","","","","D1 PROFILE","","",""
"60207000002958","Nodes","","21.000000","40.963363","Default Known Flow Node","Known Flow","348979.480000","732373.470000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000057","Nodes","57","21.000000","41.286028","DDS demands","Known Flow","348815.230000","732324.595000","","0.000000","","","","","","-1.019999","","","","-0.912102","-1.019999","","","","","","","","D1 PROFILE","","",""
"60207000000058","Nodes","58","21.000000","41.115809","DDS demands","Known Flow","348771.230000","732322.845000","","0.000000","","","-1.009999","","","","","","","-0.903160","-1.009999","","","","","C3 PROFILE","","","","","",""
"60207000002947","Nodes","","21.000000","41.115809","Default Known Flow Node","Known Flow","348771.105000","732320.845000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000260","Nodes","260","21.000000","41.992529","DDS demands","Known Flow","348802.355000","732356.845000","","0.000000","","","","","","-6.210000","","","","-5.553093","-6.210000","","","","","","","","D1 PROFILE","","",""
"60207000000261","Nodes","261","21.000000","41.989213","DDS demands","Known Flow","348845.355000","732367.345000","","0.000000","","","","","","-1.039999","","","","-0.929986","-1.039999","","","","","","","","D1 PROFILE","","",""
"60207000000066","Nodes","66","21.000000","41.118008","DDS demands","Known Flow","348862.105000","732382.595000","","0.000000","","","","","","-6.030000","","","","-5.392134","-6.030000","","","","","","","","D1 PROFILE","","",""
"60207000000067","Nodes","67","21.000000","41.117288","DDS demands","Known Flow","348850.855000","732408.095000","","0.000000","","","","","","-3.450000","","","","-3.085051","-3.450000","","","","","","","","D1 PROFILE","","",""
"60207000000064","Nodes","64","21.000000","41.084301","DDS demands","Known Flow","348906.480000","732397.595000","","0.000000","","","","","","-6.260000","","","","-5.597804","-6.260000","","","","","","","","D1 PROFILE","","",""
"60207000000065","Nodes","65","21.000000","40.912080","DDS demands","Known Flow","348922.230000","732349.345000","","0.000000","","","","","","-4.590000","","","","-4.104460","-4.590000","","","","","","","","D1 PROFILE","","",""
"60207000000063","Nodes","Logger 9711","21.000000","41.088834","Val Log Cath","Known Flow","348971.980000","732420.345000","","0.000000","","","","","","-2.929999","","","","-2.620058","-2.929999","","","","","","","","D1 PROFILE","","",""
"60207000000062","Nodes","62","21.000000","41.290721","DDS demands","Known Flow","348962.605000","732452.345000","","0.000000","","","","","","-11.799999","","","","-10.551771","-11.799999","","","","","","","","D1 PROFILE","","",""
"60207000000344","Nodes","344","21.000000","41.203725","Default Known Flow Node","Known Flow","348977.480000","732395.220000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000076","Nodes","76","21.000000","41.137273","DDS demands","Known Flow","348980.355000","732375.845000","","0.000000","","","","","","-5.870000","","","","-5.249059","-5.870000","","","","","","","","D1 PROFILE","","",""
"60207000002927","Nodes","","21.000000","41.132732","Default Known Flow Node","Known Flow","348997.980000","732379.720000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000002912","Nodes","","21.000000","41.177284","Default Known Flow Node","Known Flow","348996.230000","732489.220000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000061","Nodes","61","21.000000","41.772761","DDS demands","Known Flow","348919.855000","732462.720000","","0.000000","","","","","","-13.170000","","","","-11.776849","-13.170000","","","","","","","","D1 PROFILE","","",""
"60207000000060","Nodes","60","21.000000","42.927249","DDS demands","Known Flow","348859.355000","732477.220000","","0.000000","","","","","","-12.989999","","","","-11.615890","-12.989999","","","","","","","","D1 PROFILE","","",""
"60207000000059","Nodes","59","21.000000","44.029849","DDS demands","Known Flow","348766.105000","732446.345000","","0.000000","","","","0.000000","","-10.849999","","","","-9.702263","-10.849999","","","","","","C4 PROFILE","","D1 PROFILE","","",""
"60207000002918","Nodes","","21.000000","38.749331","DDS demands","Known Flow","348979.174251","732157.459662","","0.000000","","","","","","-9.430000","","","","-8.432475","-9.430000","","","","","","","","D1 PROFILE","","",""
"60207000002932","Nodes","","21.000000","39.046899","DDS demands","Known Flow","349251.732052","732274.906051","","0.000000","","","","","","-10.679999","","","","-9.550247","-10.679999","","","","","","","","D1 PROFILE","","",""
"60207000000079","Nodes","79","21.000000","40.278968","DDS demands","Known Flow","349030.730000","732261.720000","","0.000000","","","","","","-13.609999","","","","-12.170305","-13.609999","","","","","","","","D1 PROFILE","","",""
"60207000000074","Nodes","74","21.000000","41.162584","DDS demands","Known Flow","349034.980000","732413.220000","","0.000000","","","","","","-9.800000","","","","-8.763336","-9.800000","","","","","","","","D1 PROFILE","","",""
"60207000000073","Nodes","73","21.000000","41.137060","DDS demands","Known Flow","349066.355000","732384.345000","","0.000000","","","","","","-2.949999","","","","-2.637942","-2.949999","","","","","","","","D1 PROFILE","","",""
"60207000000082","Nodes","82","21.000000","39.326031","DDS demands","Known Flow","349227.532021","732346.567786","","0.000000","","","","","","-10.750000","","","","-9.612842","-10.750000","","","","","","","","D1 PROFILE","","",""
"60207000000080","Nodes","80","21.000000","40.173027","DDS demands","Known Flow","349034.855000","732249.595000","","0.000000","","","","","","-9.379999","","","","-8.387763","-9.379999","","","","","","","","D1 PROFILE","","",""
"60207000002767","Nodes","","21.000000","41.120079","Default Known Flow Node","Known Flow","349023.105000","732425.095000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000072","Nodes","72","21.000000","39.479232","DDS demands","Known Flow","349129.480000","732373.095000","","0.000000","","","","","","-5.039999","","","","-4.506857","-5.039999","","","","","","","","D1 PROFILE","","",""
"60207000000075","Nodes","75","21.000000","39.335454","DDS demands","Known Flow","349029.355000","732343.720000","","0.000000","","","","","","-5.199999","","","","-4.649932","-5.199999","","","","","","","","D1 PROFILE","","",""
"60207000000071","Nodes","71","21.000000","39.763399","DDS demands","Known Flow","349159.355000","732386.345000","","0.000000","","","","","","-4.530000","","","","-4.050807","-4.530000","","","","","","","","D1 PROFILE","","",""
"60207000000081","Nodes","81","21.000000","39.372297","DDS demands","Known Flow","349210.605000","732339.345000","","0.000000","","","","","","-0.699999","","","","-0.625952","-0.699999","","","","","","","","D1 PROFILE","","",""
"60207000002726","Nodes","","21.000000","39.376402","Default Known Flow Node","Known Flow","349209.355000","732338.845000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000361","Nodes","361","21.000000","39.274463","Default Known Flow Node","Known Flow","349258.355000","732359.720000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000002953","Nodes","","21.000000","39.263409","Default Known Flow Node","Known Flow","349264.855000","732362.845000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000095","Nodes","95","21.000000","39.215935","DDS demands","Known Flow","349308.855000","732498.345000","","0.000000","","","","","","-7.550000","","","","-6.751345","-7.550000","","","","","","","","D1 PROFILE","","",""
"60207000002716","Nodes","","21.000000","39.215935","Default Known Flow Node","Known Flow","349296.480000","732485.970000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000089","Nodes","89","21.000000","39.082377","DDS demands","Known Flow","349316.105000","732302.470000","","0.000000","","","","","","-29.910000","","","","-26.746058","-29.910000","","","","","","","","D1 PROFILE","","",""
"60207000002944","Nodes","","21.000000","39.082439","Default Known Flow Node","Known Flow","349313.730000","732304.720000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000090","Nodes","90","21.000000","39.114152","DDS demands","Known Flow","349343.980000","732283.845000","","0.000000","","","","","","-13.049999","","","","-11.669543","-13.049999","","","","","","","","D1 PROFILE","","",""
"60207000002865","Nodes","","21.000000","39.008626","Default Known Flow Node","Known Flow","349352.105000","732186.970000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000608","Nodes","","21.000000","38.790123","DDS demands","Known Flow","349428.855000","732364.845000","","0.000000","","","","","","-6.780000","","","","-6.062797","-6.780000","","","","","","","","D1 PROFILE","","",""
"60207000000609","Nodes","609","21.000000","39.003127","Default Known Flow Node","Known Flow","349389.855000","732404.220000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60207000000093","Nodes","93","21.000000","38.823185","DDS demands","Known Flow","349459.355000","732396.095000","","0.000000","","","","","","-8.899999","","","","-7.958538","-8.899999","","","","","","","","D1 PROFILE","","",""
"60207000000039","Nodes","39","21.000000","38.932566","DDS demands","Known Flow","349354.230000","732185.970000","","0.000000","","-6.000000","-3.920000","","","-15.769999","","","","-22.972457","-25.690000","","","","C2 PROFILE","C3 PROFILE","","","D1 PROFILE","","",""
"60207000000347","Nodes","347","21.000000","38.125589","DDS demands","Known Flow","349491.355000","732241.345000","","0.000000","","","","","","-10.379999","","","-3.899999","-12.769430","-14.279999","","","","","","","","D1 PROFILE","","","I2 PROFILE"
"60207000002758","Nodes","","21.000000","39.073266","Default Known Flow Node","Known Flow","349358.105000","732131.345000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
