"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"60212200000052","Nodes","52","21.000000","33.078367","DDS demands","Known Flow","319648.579979","720667.666826","","0.000000","-1.929999","","","-1.725840","-1.929999","","","D1 PROFILE","",""
"60212200000058","Nodes","58","21.000000","46.972122","DDS demands","Known Flow","319469.275000","721099.615000","","0.000000","-8.800000","","","-7.869117","-8.800000","","","D1 PROFILE","",""
"60212200000002","Nodes","2","21.000000","45.648212","Default Known Flow Node","Known Flow","319432.900000","721110.490000","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000083","Nodes","-49","21.000000","42.874979","Default Known Flow Node","Known Flow","319362.150000","721151.865000","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000030","Nodes","P07112928, CSEP, ST MADOES, 8.22","22.999998","47.175317","CSEP DDS Matched","Known Flow","319495.675827","721101.067507","","0.000000","","-8.220000","","-7.350471","-8.220000","","","","DC PROFILE",""
"60212200000034","Nodes","34","21.000000","44.901585","DDS demands","Known Flow","319414.275000","721170.615000","","0.000000","-4.990000","","","-4.462147","-4.990000","","","D1 PROFILE","",""
"60212200000069","Nodes","-1462474","21.000000","44.901585","Default Known Flow Node","Known Flow","319418.775000","721161.740000","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000075","Nodes","-1462488","21.000000","44.901585","Default Known Flow Node","Known Flow","319412.275000","721174.365000","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000059","Nodes","59","21.000000","40.313016","Default Known Flow Node","Known Flow","319368.900000","721083.490000","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000003","Nodes","3","21.000000","40.277895","DDS demands","Known Flow","319394.900000","721050.490000","","0.000000","-1.720000","","","-1.538054","-1.720000","","","D1 PROFILE","",""
"60212200000031","Nodes","31","21.000000","45.338410","DDS demands","Known Flow","319554.275000","721193.740000","","0.000000","-5.030000","","","-4.497916","-5.030000","","","D1 PROFILE","",""
"60212200000037","Nodes","37","21.000000","46.853404","DDS demands","Known Flow","319696.150000","721077.865000","","0.000000","-0.939999","","","-0.840564","-0.939999","","","D1 PROFILE","",""
"60212200000038","Nodes","38","21.000000","46.868955","DDS demands","Known Flow","319702.775000","721034.240000","","0.000000","-4.920000","","","-4.399552","-4.920000","","","D1 PROFILE","",""
"60212200000035","Nodes","35","21.000000","46.991869","DDS demands","Known Flow","319592.524697","721057.465733","","0.000000","-12.270000","","","-10.972053","-12.270000","","","D1 PROFILE","",""
"60212200000056","Nodes","56","21.000000","46.988499","DDS demands","Known Flow","319594.900000","721045.865000","","0.000000","-6.380000","","","-5.705110","-6.380000","","","D1 PROFILE","",""
"60212200000036","Nodes","36","21.000000","46.422863","DDS demands","Known Flow","319615.400000","720917.740000","","0.000000","-9.079999","","","-8.119498","-9.079999","","","D1 PROFILE","",""
"60212200000057","Nodes","57","21.000000","47.391535","DDS demands","Known Flow","319525.576738","721088.732238","","0.000000","-4.079999","","","-3.648408","-4.079999","","","D1 PROFILE","",""
"60212200000029","Nodes","29","21.000000","47.403831","DDS demands","Known Flow","319525.672217","721098.184658","","0.000000","-2.039999","","","-1.824204","-2.039999","","","D1 PROFILE","",""
"60212200000032","Nodes","32","21.000000","45.222413","DDS demands","Known Flow","319545.988367","721209.231266","","0.000000","-6.589999","","","-5.892895","-6.589999","","","D1 PROFILE","",""
"60212200000033","Nodes","33","21.000000","45.180339","Default Known Flow Node","Known Flow","319595.546584","721236.100890","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000027","Nodes","27","21.000000","48.043268","DDS demands","Known Flow","319588.640611","721098.280137","","0.000000","-6.229999","","","-5.570977","-6.229999","","","D1 PROFILE","",""
"60212200000028","Nodes","28","21.000000","47.953966","DDS demands","Known Flow","319595.897014","721124.584599","","0.000000","-1.700000","","","-1.520170","-1.700000","","","D1 PROFILE","",""
"60212200000025","Nodes","25","21.000000","49.540599","DDS demands","Known Flow","319731.906836","721119.380994","","0.000000","-11.069999","","","-9.898992","-11.069999","","","D1 PROFILE","",""
"60212200000026","Nodes","26","21.000000","49.281477","DDS demands","Known Flow","319647.556896","721196.858485","","0.000000","-1.019999","","","-0.912102","-1.019999","","","D1 PROFILE","",""
"60212200000013","Nodes","13","21.000000","32.147352","DDS demands","Known Flow","319399.903171","720759.600561","","0.000000","-19.899999","","","-17.794935","-19.899999","","","D1 PROFILE","",""
"60212200000015","Nodes","15","21.000000","31.100451","DDS demands","Known Flow","319417.759886","720698.026490","","0.000000","-5.090000","","","-4.551569","-5.090000","","","D1 PROFILE","",""
"60212200000010","Nodes","10","21.000000","32.893046","DDS demands","Known Flow","319450.351123","720819.308273","","0.000000","-7.600000","","","-6.796056","-7.600000","","","D1 PROFILE","",""
"60212200000011","Nodes","11","21.000000","32.929700","DDS demands","Known Flow","319488.332170","720781.006815","","0.000000","-1.139999","","","-1.019408","-1.139999","","","D1 PROFILE","",""
"60212200000018","Nodes","18","21.000000","29.519295","DDS demands","Known Flow","319420.218350","720613.685616","","0.000000","-1.290000","","","-1.153541","-1.290000","","","D1 PROFILE","",""
"60212200000019","Nodes","19","21.000000","29.024925","DDS demands","Known Flow","319463.029150","720631.111470","","0.000000","-11.609999","","","-10.381868","-11.609999","","","D1 PROFILE","",""
"60212200000020","Nodes","20","21.000000","29.023225","DDS demands","Known Flow","319460.715052","720643.348136","","0.000000","-1.370000","","","-1.225078","-1.370000","","","D1 PROFILE","",""
"60212200000021","Nodes","21","21.000000","29.023225","Default Known Flow Node","Known Flow","319453.352016","720643.383198","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000016","Nodes","16","21.000000","30.791751","DDS demands","Known Flow","319376.102019","720637.926827","","0.000000","-9.840000","","","-8.799104","-9.840000","","","D1 PROFILE","",""
"60212200000014","Nodes","14","21.000000","29.341727","DDS demands","Known Flow","319461.298697","720709.581515","","0.000000","-9.529999","","","-8.521896","-9.529999","","","D1 PROFILE","",""
"60212200000005","Nodes","5","21.000000","36.148689","DDS demands","Known Flow","319361.101897","720866.244864","","0.000000","-24.760001","","","-22.140835","-24.760001","","","D1 PROFILE","",""
"60212200000006","Nodes","P08118318, 9 HOUSES @ST MADOES GLENCARSE PERTH,19.02","24.000000","49.757656","CSEP DDS Matched","Known Flow","319754.933105","721123.092131","","0.000000","","-19.019999","","-17.008024","-19.019999","","","","DC PROFILE",""
"60212200000007","Nodes","7","21.000000","34.491108","DDS demands","Known Flow","319369.226066","720826.606587","","0.000000","-6.999999","","","-6.259525","-6.999999","","","D1 PROFILE","",""
"60212200000009","Nodes","9","21.000000","33.282671","DDS demands","Known Flow","319390.322065","720802.041081","","0.000000","-11.729999","","","-10.489175","-11.729999","","","D1 PROFILE","",""
"60212200000008","Nodes","8","21.000000","34.533979","Default Known Flow Node","Known Flow","319347.202139","720803.432335","","0.000000","","","","0.000000","0.000000","","","","",""
"60212200000017","Nodes","17","21.000000","29.634314","DDS demands","Known Flow","319408.227118","720613.194747","","0.000000","-2.669999","","","-2.387561","-2.669999","","","D1 PROFILE","",""
"60212200000022","Nodes","22","21.000000","28.429802","DDS demands","Known Flow","319489.267102","720667.309633","","0.000000","-10.100000","","","-9.031600","-10.100000","","","D1 PROFILE","",""
"60212200000012","Nodes","12","21.000000","29.384976","Default Known Flow Node","Known Flow","319480.375315","720769.798092","","0.000000","","","","0.000000","0.000000","","","","",""
