"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60201600002477","Nodes","2477,","21.000000","27.535104","Default Known Flow Node","Known Flow","313216.476385","680396.588352","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000286","Nodes","286,","21.000000","27.296558","DDS demands","Known Flow","313132.238579","680411.480698","","0.000000","","","-6.000000","","-7.170000","","","","","","-11.776849","-13.170000","","","","","C3 PROFILE","","D1 PROFILE","","","","",""
"60201600002417","Nodes","2417,","21.000000","27.283831","Default Known Flow Node","Known Flow","313124.616360","680395.986351","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000165","Nodes","165,","21.000000","27.491538","DDS demands","Known Flow","313268.231399","680275.463319","","0.000000","","","","","-2.390000","","","","","","-2.137181","-2.390000","","","","","","","D1 PROFILE","","","","",""
"60201600000360","Nodes","360,","21.000000","27.696368","DDS demands","Known Flow","313418.484440","680243.568310","","0.000000","","","","","-2.900000","","","","","","-2.593232","-2.900000","","","","","","","D1 PROFILE","","","","",""
"60201600002206","Nodes","2206,","21.000000","27.491659","Default Known Flow Node","Known Flow","313266.855393","680275.484627","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000633","Nodes","633,","21.000000","27.224248","DDS demands","Known Flow","313119.006358","680382.073348","","0.000000","","","","","-3.569999","","","","","","-3.192357","-3.569999","","","","","","","D1 PROFILE","","","","",""
"60201600000634","Nodes","634,","21.000000","27.107178","DDS demands","Known Flow","313096.769352","680371.756345","","0.000000","","","","","-4.940000","","","","","","-4.417436","-4.940000","","","","","","","D1 PROFILE","","","","",""
"60201600002245","Nodes","2245,","21.000000","27.224248","Default Known Flow Node","Known Flow","313100.104353","680374.479346","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002183","Nodes","2183,","21.000000","28.525845","Default Known Flow Node","Known Flow","313147.025366","680494.087378","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000157","Nodes","157,","21.000000","28.422604","DDS demands","Known Flow","313147.904366","680490.097377","","0.000000","","","-7.880000","","-13.810000","","","","","","-19.395586","-21.690001","","","","","C3 PROFILE","","D1 PROFILE","","","","",""
"60201600002268","Nodes","2268,","21.000000","27.535104","Default Known Flow Node","Known Flow","313218.472385","680394.705351","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
