"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)"
"60200700002374","Nodes","2374","21.000000","31.425278","DDS demands","Known Flow","359513.393983","760254.894082","","0.000000","","","","","","","-26.279999","","","","-23.500045","-26.279999","","","","","","","","","D1 PROFILE","","",""
"60200700002433","Nodes","2433","21.000000","34.500860","DDS demands","Known Flow","359682.901029","760427.172129","","0.000000","","-49.330003","","","","","","","","","-44.111772","-49.330003","","","","C2 PROFILE","","","","","","","",""
"60200700002401","Nodes","2401","21.000000","34.500860","Default Known Flow Node","Known Flow","359677.229027","760426.301128","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700002379","Nodes","2379","21.000000","33.549715","Default Known Flow Node","Known Flow","359691.221351","760319.592911","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700002425","Nodes","2425","21.000000","32.635110","Default Known Flow Node","Known Flow","359695.855628","760246.955944","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700002406","Nodes","2406","21.000000","32.475413","Default Known Flow Node","Known Flow","359705.078059","760208.482842","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700002507","Nodes","2507","21.000000","32.136971","Default Known Flow Node","Known Flow","359738.820044","760144.139052","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700002420","Nodes","2420","21.000000","32.136971","Default Known Flow Node","Known Flow","359737.911044","760145.228052","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700002509","Nodes","2509","21.000000","32.136988","Default Known Flow Node","Known Flow","359739.320306","760146.266320","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000062","Nodes","62","21.000000","32.137212","DDS demands","Known Flow","359742.383103","760143.577834","","0.000000","-5.769999","","","-6.220000","","","-13.170000","","","","-22.498522","-25.159999","","","C1 PROFILE","","","C4 PROFILE","","","D1 PROFILE","","",""
"60200700002417","Nodes","2417","21.000000","33.559311","Default Known Flow Node","Known Flow","359691.140031","760320.730100","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000387","Nodes","387","21.000000","25.138219","DDS demands","Known Flow","358617.147739","760827.392238","","0.000000","","","","","","","-7.139999","","","","-6.384715","-7.139999","","","","","","","","","D1 PROFILE","","",""
"60200700002457","Nodes","2457","21.000000","25.487074","Default Known Flow Node","Known Flow","358752.361027","760830.826996","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700002454","Nodes","2454","21.000000","25.229818","Default Known Flow Node","Known Flow","358758.226059","760819.990505","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000021","Nodes","21","21.000000","25.123963","DDS demands","Known Flow","358760.454778","760702.345204","","0.000000","","","","","","","-8.100000","","","","-7.243165","-8.100000","","","","","","","","","D1 PROFILE","","",""
"60200700000022","Nodes","22","21.000000","24.929606","DDS demands","Known Flow","358822.445795","760768.573222","","0.000000","","","","","","","-7.289999","","","","-6.518848","-7.289999","","","","","","","","","D1 PROFILE","","",""
"60200700000385","Nodes","385","21.000000","25.670993","DDS demands","Known Flow","358792.018786","760631.761184","","0.000000","","","-8.529999","","","","-7.489999","","","","-14.325370","-16.019999","","","","","C3 PROFILE","","","","D1 PROFILE","","",""
"60200700002439","Nodes","2439","21.000000","26.071629","DDS demands","Known Flow","358877.819199","760511.731434","","0.000000","","","","","","","-26.840000","","","","-24.000809","-26.840000","","","","","","","","","D1 PROFILE","","",""
"60200700000024","Nodes","24","21.000000","30.961859","DDS demands","Known Flow","358985.576765","760701.541330","","0.000000","","","","","","","-17.600000","","","","-15.738235","-17.600000","","","","","","","","","D1 PROFILE","","",""
"60200700000026","Nodes","26","21.000000","29.221236","DDS demands","Known Flow","358997.340950","760515.061476","","0.000000","","","","","","","-19.500000","","","","-17.437249","-19.500000","","","","","","","","","D1 PROFILE","","",""
"60200700002451","Nodes","2451","21.000000","25.110572","Default Known Flow Node","Known Flow","358697.372761","760753.723218","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700002441","Nodes","2441","21.000000","25.373161","DDS demands","Known Flow","358896.758815","760531.195157","","0.000000","","","","","","","-3.999999","","","","-3.576871","-3.999999","","","","","","","","","D1 PROFILE","","",""
"60200700000444","Nodes","444","21.000000","35.246082","DDS demands","Known Flow","359486.814975","760859.995246","","0.000000","","","","","","","-7.799999","","","","-6.974899","-7.799999","","","","","","","","","D1 PROFILE","","",""
"60200700002456","Nodes","2456","21.000000","35.387444","Default Known Flow Node","Known Flow","359424.894959","760827.995238","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000462","Nodes","462","21.000000","32.840450","DDS demands","Known Flow","359079.571865","760906.046259","","0.000000","","","","","","","-1.109999","","","","-0.992581","-1.109999","","","","","","","","","D1 PROFILE","","",""
"60200700000464","Nodes","464","21.000000","32.128323","DDS demands","Known Flow","358970.455835","760875.787251","","0.000000","","","","","","","-11.890000","","","","-10.632251","-11.890000","","","","","","","","","D1 PROFILE","","",""
"60200700000463","Nodes","463","21.000000","32.971488","Default Known Flow Node","Known Flow","359051.056857","760936.786267","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000027","Nodes","27","21.000000","29.626117","DDS demands","Known Flow","359099.579235","760559.300882","","0.000000","","","","","","","-20.510000","","","","-18.340410","-20.510000","","","","","","","","","D1 PROFILE","","",""
"60200700000433","Nodes","433","21.000000","32.689268","DDS demands","Known Flow","359188.037894","760906.632259","","0.000000","","","","","","","-3.219999","","","","-2.879381","-3.219999","","","","","","","","","D1 PROFILE","","",""
"60200700002392","Nodes","2392","21.000000","34.722392","Default Known Flow Node","Known Flow","359294.765923","760815.653234","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700002455","Nodes","2455","21.000000","34.809273","Default Known Flow Node","Known Flow","359308.045927","760825.983237","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000391","Nodes","391","21.000000","31.137255","Default Known Flow Node","Known Flow","359349.776938","760541.020160","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700002426","Nodes","2426","21.000000","31.868606","Default Known Flow Node","Known Flow","359421.969038","760550.829994","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700002429","Nodes","2429","21.000000","33.016640","Default Known Flow Node","Known Flow","359489.309555","760574.787077","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000396","Nodes","396","21.000000","33.014173","DDS demands","Known Flow","359490.445182","760573.099834","","0.000000","","","","","","","-6.599999","","","","-5.901837","-6.599999","","","","","","","","","D1 PROFILE","","",""
"60200700000031","Nodes","31","21.000000","30.713268","DDS demands","Known Flow","359316.581929","760520.326154","","0.000000","","","","","","","-12.430000","","","","-11.115128","-12.430000","","","","","","","","","D1 PROFILE","","",""
"60200700002447","Nodes","2447","21.000000","31.602656","Default Known Flow Node","Known Flow","359324.793397","760632.394086","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000032","Nodes","32","21.000000","31.889315","DDS demands","Known Flow","359419.993617","760556.814597","","0.000000","","","","","","","-5.310000","","","","-4.748297","-5.310000","","","","","","","","","D1 PROFILE","","",""
"60200700000395","Nodes","395","21.000000","31.840651","DDS demands","Known Flow","359423.328617","760548.943878","","0.000000","-0.099999","","","","","","-13.910000","","","","-12.527993","-14.009999","","","C1 PROFILE","","","","","","D1 PROFILE","","",""
"60200700000033","Nodes","33","21.000000","33.064986","DDS demands","Known Flow","359482.441673","760581.218121","","0.000000","","","","","","","-8.449999","","","","-7.556141","-8.449999","","","","","","","","","D1 PROFILE","","",""
"60200700000440","Nodes","440","21.000000","35.570571","DDS demands","Known Flow","359417.751070","760685.204233","","0.000000","","","","","","","-10.939999","","","","-9.782743","-10.939999","","","","","","","","","D1 PROFILE","","",""
"60200700002448","Nodes","2448","21.000000","35.156702","Default Known Flow Node","Known Flow","359371.301944","760656.917191","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000439","Nodes","439","21.000000","35.979086","DDS demands","Known Flow","359462.568969","760655.388191","","0.000000","","","","","","","-1.570000","","","","-1.403922","-1.570000","","","","","","","","","D1 PROFILE","","",""
"60200700000442","Nodes","442","21.000000","35.304680","DDS demands","Known Flow","359390.760949","760729.518211","","0.000000","","","","","","","-16.159999","","","","-14.450561","-16.159999","","","","","","","","","D1 PROFILE","","",""
"60200700000192","Nodes","192","21.000000","34.590363","DDS demands","Known Flow","359439.182623","760972.969641","","0.000000","","","","","","","-6.650000","","","","-5.946549","-6.650000","","","","","","","","","D1 PROFILE","","",""
"60200700000191","Nodes","191","21.000000","35.226800","DDS demands","Known Flow","359456.632967","760977.095278","","0.000000","","","","","","","-9.249999","","","","-8.271515","-9.249999","","","","","","","","","D1 PROFILE","","",""
"60200700000199","Nodes","199","21.000000","33.980565","DDS demands","Known Flow","359410.007513","760972.416512","","0.000000","","","","","","","-11.740000","","","","-10.498118","-11.740000","","","","","","","","","D1 PROFILE","","",""
"60200700000201","Nodes","201","21.000000","33.767536","DDS demands","Known Flow","359394.251362","760997.523228","","0.000000","","","","","","","-12.930000","","","","-11.562238","-12.930000","","","","","","","","","D1 PROFILE","","",""
"60200700002463","Nodes","2463","21.000000","34.435207","Default Known Flow Node","Known Flow","359432.873959","760971.907347","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000445","Nodes","445","21.000000","35.230416","DDS demands","Known Flow","359340.889936","760769.959222","","0.000000","","","","","","","-15.899999","","","","-14.218064","-15.899999","","","","","","","","","D1 PROFILE","","",""
"60200700002427","Nodes","2427","21.000000","35.230416","Default Known Flow Node","Known Flow","359325.318931","760759.236219","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000196","Nodes","196","21.000000","32.928260","DDS demands","Known Flow","359297.275467","760992.432683","","0.000000","","","","","","","-8.460000","","","","-7.565083","-8.460000","","","","","","","","","D1 PROFILE","","",""
"60200700002464","Nodes","2464","21.000000","33.296118","Default Known Flow Node","Known Flow","359333.419888","760977.377778","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700002465","Nodes","2465","21.000000","32.909415","Default Known Flow Node","Known Flow","359295.493018","760993.632675","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000459","Nodes","459","21.000000","32.564801","DDS demands","Known Flow","359242.449374","760924.722461","","0.000000","","","","","","","-2.640000","","","","-2.360735","-2.640000","","","","","","","","","D1 PROFILE","","",""
"60200700000465","Nodes","465","21.000000","32.689691","Default Known Flow Node","Known Flow","359187.845894","760908.502260","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000460","Nodes","460","21.000000","32.767036","Default Known Flow Node","Known Flow","359142.341882","760902.913258","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000461","Nodes","461","21.000000","32.941716","Default Known Flow Node","Known Flow","359107.946872","760949.564271","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60200700000446","Nodes","446","21.000000","33.871449","DDS demands","Known Flow","359383.232947","760859.125246","","0.000000","","","","","","","-14.819999","","","","-13.252309","-14.819999","","","","","","","","","D1 PROFILE","","",""
"60200700000388","Nodes","388","21.000000","30.537245","DDS demands","Known Flow","359143.570631","760649.105789","","0.000000","","","","","","","-6.119999","","","","-5.472613","-6.119999","","","","","","","","","D1 PROFILE","","",""
