"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"60605200000036","Nodes","36","21.000000","28.970916","Default Known Flow Node","Known Flow","291942.050000","855516.705000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000038","Nodes","38","21.000000","29.028564","Default Known Flow Node","Known Flow","291989.675000","855519.955000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000001","Nodes","AULDEARN DG, Tel, Site I.D. 1111","21.000000","49.999998","Default Known Pressure Node","Known Pressure","291949.595536","855645.779054","","999998.967025","","","","","","","288.465762","322.589982","","","","","","","",""
"60605200000002","Nodes","2","21.000000","48.029686","DDS demands","Known Flow","291930.171626","855647.717982","","0.000000","","","","-6.090000","","","-5.445787","-6.090000","","","","","","D1 PROFILE","",""
"60605200000041","Nodes","41","21.000000","45.084458","DDS demands","Known Flow","291810.425000","855553.330000","","0.000000","","","","-5.110000","","","-4.569453","-5.110000","","","","","","D1 PROFILE","",""
"60605200000016","Nodes","16","21.000000","45.053052","DDS demands","Known Flow","291815.300000","855536.455000","","0.000000","","","","-5.339999","","","-4.775123","-5.339999","","","","","","D1 PROFILE","",""
"60605200000047","Nodes","47","21.000000","45.077303","DDS demands","Known Flow","291790.925000","855539.205000","","0.000000","","","","-2.089999","","","-1.868915","-2.089999","","","","","","D1 PROFILE","",""
"60605200000015","Nodes","15","21.000000","28.807825","DDS demands","Known Flow","291988.925000","855557.455000","","0.000000","","","","-6.690000","","","-5.982318","-6.690000","","","","","","D1 PROFILE","",""
"60605200000014","Nodes","14","21.000000","28.720303","DDS demands","Known Flow","292032.175000","855513.455000","","0.000000","","","","-11.279999","","","-10.086777","-11.279999","","","","","","D1 PROFILE","",""
"60605200000049","Nodes","49","21.000000","22.895736","DDS demands","Known Flow","292216.612500","855327.830000","","0.000000","","","","-6.579999","","-18.729999","-5.883953","-6.579999","","","","","","D1 PROFILE","","DM PROFILE"
"60605200000010","Nodes","10","21.000000","22.884363","DDS demands","Known Flow","292209.050742","855358.979570","","0.000000","","","","-1.770000","","","-1.582765","-1.770000","","","","","","D1 PROFILE","",""
"60605200000044","Nodes","44","21.000000","30.473715","Default Known Flow Node","Known Flow","291821.050000","855383.330000","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000046","Nodes","46","21.000000","33.433319","DDS demands","Known Flow","291729.725805","855475.207323","","0.000000","","","","-5.239999","","","-4.685701","-5.239999","","","","","","D1 PROFILE","",""
"60605200000034","Nodes","34","21.000000","42.775909","DDS demands","Known Flow","291886.206250","855549.955000","","0.000000","","","","-2.240000","","","-2.003048","-2.240000","","","","","","D1 PROFILE","",""
"60605200000035","Nodes","35","21.000000","42.733309","DDS demands","Known Flow","291903.550000","855519.455000","","0.000000","","","","-0.239999","","","-0.214612","-0.239999","","","","","","D1 PROFILE","",""
"60605200000050","Nodes","50","21.000000","24.137999","DDS demands","Known Flow","292079.425000","855341.455000","","0.000000","","","","-14.649999","","","-13.100292","-14.649999","","","","","","D1 PROFILE","",""
"60605200001415","Nodes","","21.000000","31.255270","Default Known Flow Node","Known Flow","291970.473987","855437.471813","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200001416","Nodes","","21.000000","28.239642","Default Known Flow Node","Known Flow","292282.532498","855349.346411","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000061","Nodes","","21.000000","33.390215","Default Known Flow Node","Known Flow","291707.544532","855475.414992","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000069","Nodes","","21.000000","30.245170","Default Known Flow Node","Known Flow","292012.559615","855420.718977","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000075","Nodes","","21.000000","29.028564","Default Known Flow Node","Known Flow","291956.483600","855498.630998","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000078","Nodes","","21.000000","30.126602","Default Known Flow Node","Known Flow","292013.566672","855422.049298","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000079","Nodes","","21.000000","30.169963","Default Known Flow Node","Known Flow","292026.079619","855432.699981","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000081","Nodes","","21.000000","34.372008","DDS demands","Known Flow","291775.621550","855469.357990","","0.000000","","","","-1.190000","","","-1.064119","-1.190000","","","","","","D1 PROFILE","",""
"60605200000083","Nodes","","21.000000","31.026240","DDS demands","Known Flow","291974.927605","855435.687981","","0.000000","","","","-1.019999","","","-0.912102","-1.019999","","","","","","D1 PROFILE","",""
"60605200000063","Nodes","","21.000000","30.473715","Default Known Flow Node","Known Flow","291772.504550","855362.542961","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000088","Nodes","","21.000000","33.390215","Default Known Flow Node","Known Flow","291691.459528","855506.116001","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000090","Nodes","","21.000000","33.516437","DDS demands","Known Flow","291927.470592","855457.303987","","0.000000","","","","-3.530000","","","-3.156589","-3.530000","","","","","","D1 PROFILE","",""
"60605200000091","Nodes","","21.000000","33.492667","DDS demands","Known Flow","291929.636592","855465.269989","","0.000000","","-6.610000","","","","","-5.910780","-6.610000","","","","C4 PROFILE","","","",""
"60605200000093","Nodes","","21.000000","28.447171","Default Known Flow Node","Known Flow","292270.059685","855353.010959","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000084","Nodes","","21.000000","28.635933","Default Known Flow Node","Known Flow","292269.284017","855353.238088","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000103","Nodes","","21.000000","23.734017","DDS demands","Known Flow","292547.779844","855320.419787","","0.000000","","","","-5.949999","","","-5.320596","-5.949999","","","","","","D1 PROFILE","",""
"60605200000094","Nodes","FORRES ROAD CSEP, P07112896, -35.63","21.000000","27.908886","CSEP Unmatched","Known Flow","292269.037685","855349.617958","","0.000000","","","-33.869998","","-35.630000","","-62.148144","-69.499997","","","","","CT PROFILE","","DC PROFILE",""
"60605200000076","Nodes","","21.000000","29.028564","Default Known Flow Node","Known Flow","291990.955609","855519.587004","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000087","Nodes","","21.000000","28.807825","Default Known Flow Node","Known Flow","291990.002609","855557.768015","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000114","Nodes","","21.000000","28.779553","Default Known Flow Node","Known Flow","292269.055516","855352.525271","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000119","Nodes","","21.000000","35.277043","Default Known Flow Node","Known Flow","291882.990955","855422.132017","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000125","Nodes","","21.000000","29.193593","DDS demands","Known Flow","291872.950423","855220.154012","","0.000000","","","","-3.540000","","","-3.165531","-3.540000","","","","","","D1 PROFILE","",""
"60605200000118","Nodes","","21.000000","29.497680","DDS demands","Known Flow","292086.130189","855399.944802","","0.000000","","","","-5.420000","","","-4.846660","-5.420000","","","","","","D1 PROFILE","",""
"60605200000117","Nodes","","21.000000","26.377256","DDS demands","Known Flow","292025.326714","855364.087757","","0.000000","","","","-5.729999","","","-5.123868","-5.729999","","","","","","D1 PROFILE","",""
"60605200000126","Nodes","","21.000000","31.151784","Default Known Flow Node","Known Flow","291797.850797","855237.354839","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000123","Nodes","","21.000000","45.277892","DDS demands","Known Flow","291894.377056","855601.961280","","0.000000","","","","-2.609999","","","-2.333908","-2.609999","","","","","","D1 PROFILE","",""
"60605200000122","Nodes","","21.000000","45.693368","DDS demands","Known Flow","291804.243804","855631.934106","","0.000000","","","","-1.469999","","","-1.314500","-1.469999","","","","","","D1 PROFILE","",""
"60605200000120","Nodes","","21.000000","34.961710","DDS demands","Known Flow","291830.639818","855467.717383","","0.000000","","","","-3.280000","","","-2.933034","-3.280000","","","","","","D1 PROFILE","",""
"60605200000121","Nodes","","21.000000","46.251032","DDS demands","Known Flow","291855.987770","855667.005109","","0.000000","","","","-9.489999","","","-8.486127","-9.489999","","","","","","D1 PROFILE","",""
"60605200000124","Nodes","","21.000000","29.586127","Default Known Flow Node","Known Flow","291916.743247","855304.977953","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000129","Nodes","","21.000000","30.972620","Default Known Flow Node","Known Flow","291982.713963","855432.156732","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000132","Nodes","","21.000000","29.360054","Default Known Flow Node","Known Flow","292118.133187","855394.289823","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60605200000131","Nodes","","21.000000","29.104096","Default Known Flow Node","Known Flow","292171.629466","855380.440004","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
