"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60203400000342","Nodes","342","21.000000","30.198613","DDS demands","Known Flow","321712.568697","695960.352587","","0.000000","","","","","","","-0.300000","","","","","","","-0.268265","-0.300000","","","","","","","","","D1 PROFILE","","","","","",""
"60203400000322","Nodes","322","21.000000","31.821511","DDS demands","Known Flow","321475.103632","695555.216476","","0.000000","","","-19.379999","","","","-1.220000","","","","","","","-18.420888","-20.599999","","","","","C3 PROFILE","","","","D1 PROFILE","","","","","",""
"60203400002791","Nodes","-235","21.000000","31.897298","Default Known Flow Node","Known Flow","321504.194669","695572.252278","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002659","Nodes","-1462489","21.000000","43.903524","Default Known Flow Node","Known Flow","321807.978723","695139.716363","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002794","Nodes","-241","21.000000","31.690038","Default Known Flow Node","Known Flow","321579.118660","695604.661490","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002790","Nodes","-234","21.000000","31.897298","Default Known Flow Node","Known Flow","321508.289641","695565.224479","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400000064","Nodes","64","21.000000","37.393424","DDS demands","Known Flow","322321.390862","695127.184360","","0.000000","","","","","","","-9.379999","","","","","","","-8.387763","-9.379999","","","","","","","","","D1 PROFILE","","","","","",""
"60203400002810","Nodes","-264","21.000000","32.275458","Default Known Flow Node","Known Flow","321554.205653","695700.609516","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002671","Nodes","-1462513","21.000000","32.275458","Default Known Flow Node","Known Flow","321573.189659","695684.452512","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002763","Nodes","-185","21.000000","42.281389","Default Known Flow Node","Known Flow","322268.632989","695130.143979","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60203400002839","Nodes","-326860","21.000000","37.524244","Default Known Flow Node","Known Flow","322268.140848","695121.096358","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
