"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"60206100000289","Nodes","289","21.000000","25.941271","DDS demands","Known Flow","340966.434676","726934.291741","","0.000000","","","","","","-13.950000","","-12.474339","-13.950000","","","","","","","","D1 PROFILE",""
"60206100000153","Nodes","153","21.000000","27.910326","Default Known Flow Node","Known Flow","340580.904831","726825.769985","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009052","Nodes","9052","21.000000","28.084209","Default Known Flow Node","Known Flow","340566.264163","726818.811854","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000042","Nodes","42","21.000000","27.621644","Default Known Flow Node","Known Flow","340567.038827","726919.142011","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009004","Nodes","9004","21.000000","27.433161","Default Known Flow Node","Known Flow","340631.332845","726946.787018","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100009027","Nodes","9027","21.000000","26.634155","Default Known Flow Node","Known Flow","340572.509829","726923.961012","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000043","Nodes","43","21.000000","26.526605","DDS demands","Known Flow","340574.813141","726881.517956","","0.000000","","","","","","-13.480000","","-12.054057","-13.480000","","","","","","","","D1 PROFILE",""
"60206100000230","Nodes","230","21.000000","27.615697","DDS demands","Known Flow","340517.077557","726890.310020","","0.000000","","","","","","-0.939999","","-0.840564","-0.939999","","","","","","","","D1 PROFILE",""
"60206100000290","Nodes","290","21.000000","27.431601","DDS demands","Known Flow","340633.022845","726947.678019","","0.000000","","","","","","-10.119999","","-9.049484","-10.119999","","","","","","","","D1 PROFILE",""
"60206100000292","Nodes","292","21.000000","27.272642","Default Known Flow Node","Known Flow","340714.521380","726926.717774","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60206100000293","Nodes","293","21.000000","27.474736","DDS demands","Known Flow","340688.940860","726908.634008","","0.000000","","","","","","-4.719999","","-4.220708","-4.719999","","","","","","","","D1 PROFILE",""
