"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60207400000147","Nodes","147","21.000000","36.758121","DDS demands","Known Flow","306757.510000","725836.730000","","0.000000","","","","","-11.600000","","","","","","","-10.372928","-11.600000","","","","","","","D1 PROFILE","","","","","",""
"60207400000121","Nodes","121","21.000000","37.154430","Default Known Flow Node","Known Flow","306731.416250","725812.230000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000141","Nodes","141","21.000000","45.786163","DDS demands","Known Flow","306896.760000","725628.105000","","0.000000","","","","","-3.609999","","","","","","","-3.228126","-3.609999","","","","","","","D1 PROFILE","","","","","",""
"60207400000098","Nodes","-98","21.000000","46.174762","Default Known Flow Node","Known Flow","306905.135000","725620.855000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000140","Nodes","140","21.000000","46.191969","DDS demands","Known Flow","306903.135000","725619.605000","","0.000000","","","","","-2.009999","","","","","","","-1.797377","-2.009999","","","","","","","D1 PROFILE","","","","","",""
"60207404904548","Nodes","-4904548","21.000000","47.147195","Default Known Flow Node","Known Flow","306998.385000","725537.980000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207401462496","Nodes","-1462496","21.000000","46.191969","Default Known Flow Node","Known Flow","306901.260000","725621.105000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000102","Nodes","102","21.000000","38.557203","DDS demands","Known Flow","306532.885000","725877.605000","","0.000000","","","","-1.190000","-21.090000","","","","0.000000","","","-19.923175","-22.280000","","","","","","C4 PROFILE","D1 PROFILE","","","","I2 PROFILE","",""
"60207401462493","Nodes","-1462493","21.000000","38.557203","Default Known Flow Node","Known Flow","306533.885000","725874.355000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000236","Nodes","-136","21.000000","38.590331","Default Known Flow Node","Known Flow","306529.885000","725876.730000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207401462478","Nodes","-1462478","21.000000","38.590331","Default Known Flow Node","Known Flow","306528.635000","725879.855000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000205","Nodes","-105","21.000000","39.366465","Default Known Flow Node","Known Flow","306609.760000","725672.730000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207401462575","Nodes","-1462575","21.000000","39.366465","Default Known Flow Node","Known Flow","306610.885000","725670.105000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000120","Nodes","120","21.000000","38.024218","Default Known Flow Node","Known Flow","306693.603750","725789.355000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000327","Nodes","-127","21.000000","37.791586","Default Known Flow Node","Known Flow","306696.510000","725806.855000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000331","Nodes","-131","21.000000","37.480551","Default Known Flow Node","Known Flow","306712.635000","725825.230000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000321","Nodes","-121","21.000000","38.040101","Default Known Flow Node","Known Flow","306710.760000","725780.730000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207401462554","Nodes","-1462554","21.000000","38.035848","Default Known Flow Node","Known Flow","306709.010000","725787.105000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000119","Nodes","119","21.000000","38.042255","Default Known Flow Node","Known Flow","306712.822500","725779.042500","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000222","Nodes","-122","21.000000","38.040101","Default Known Flow Node","Known Flow","306712.885000","725783.855000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000310","Nodes","-110","21.000000","42.077635","Default Known Flow Node","Known Flow","306811.010000","725705.230000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207401462527","Nodes","-1462527","21.000000","37.154430","Default Known Flow Node","Known Flow","306729.760000","725810.605000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207401462481","Nodes","-1462481","21.000000","42.077635","Default Known Flow Node","Known Flow","306800.010000","725698.230000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000143","Nodes","-143","21.000000","35.098317","Default Known Flow Node","Known Flow","306704.635000","725947.605000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207401462582","Nodes","-1462582","21.000000","35.098317","Default Known Flow Node","Known Flow","306705.385000","725941.855000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000118","Nodes","118","21.000000","35.144957","DDS demands","Known Flow","306706.260000","725954.980000","","0.000000","","","","","-2.349999","","","","","","","-2.101411","-2.349999","","","","","","","D1 PROFILE","","","","","",""
"60207400000226","Nodes","-126","21.000000","38.843967","Default Known Flow Node","Known Flow","306501.885000","725791.355000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000136","Nodes","136","21.000000","49.463581","Default Known Flow Node","Known Flow","307346.135000","725602.230000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000095","Nodes","-95","21.000000","49.465582","Default Known Flow Node","Known Flow","307342.760000","725604.980000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000157","Nodes","157","21.000000","49.000224","DDS demands","Known Flow","307234.635000","725807.105000","","0.000000","","","","","-31.589999","","","","","","","-28.248343","-31.589999","","","","","","","D1 PROFILE","","","","","",""
"60207400000228","Nodes","-128","21.000000","49.000039","Default Known Flow Node","Known Flow","307233.385000","725809.230000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000093","Nodes","-93","21.000000","49.299403","Default Known Flow Node","Known Flow","307355.260000","725595.355000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000127","Nodes","127","21.000000","48.551317","Default Known Flow Node","Known Flow","307393.010000","725564.105000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207401462536","Nodes","-1462536","21.000000","48.551317","Default Known Flow Node","Known Flow","307396.760000","725560.230000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60207400000125","Nodes","125","21.000000","48.221324","DDS demands","Known Flow","307420.510000","725577.355000","","0.000000","","","","","-2.259999","","","","","","","-2.020932","-2.259999","","","","","","","D1 PROFILE","","","","","",""
"60207400000090","Nodes","-90","21.000000","48.020460","Default Known Flow Node","Known Flow","307431.010000","725582.230000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
