"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"60204400000066","Nodes","","21.000000","40.493735","Default Known Flow Node","Known Flow","334175.556457","697493.110479","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000080","Nodes","","21.000000","40.493735","Default Known Flow Node","Known Flow","334174.293789","697493.741813","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000083","Nodes","","21.000000","40.448785","Default Known Flow Node","Known Flow","334331.141099","697333.732517","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000084","Nodes","","21.000000","29.389460","Default Known Flow Node","Known Flow","333974.759878","696680.226464","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000095","Nodes","","21.000000","33.499313","Default Known Flow Node","Known Flow","333913.168911","696952.342901","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000088","Nodes","","21.000000","29.715008","Default Known Flow Node","Known Flow","333926.186972","696889.493061","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000092","Nodes","","21.000000","30.173316","Default Known Flow Node","Known Flow","333912.614617","696953.166851","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000086","Nodes","","21.000000","25.626141","Default Known Flow Node","Known Flow","333649.919597","696619.414167","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000085","Nodes","","21.000000","29.389460","Default Known Flow Node","Known Flow","333960.689278","696685.924697","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000087","Nodes","","21.000000","25.626141","Default Known Flow Node","Known Flow","333628.863037","696635.584850","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000089","Nodes","","21.000000","29.887970","Default Known Flow Node","Known Flow","333877.173506","696848.102110","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"60204400000020","Nodes","","21.000000","24.835773","Default Known Flow Node","Known Flow","333498.481904","696533.341743","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
