"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)"
"60207600000016","Nodes","16","21.000000","26.704055","DDS demands","Known Flow","301879.806879","689192.883070","","0.000000","","","","-12.470000","","","","","-11.150897","-12.470000","","","","","","D1 PROFILE","","","",""
"60207600003005","Nodes","3005","21.000000","26.263617","DDS demands","Known Flow","301991.425877","689203.605962","","0.000000","","","","-1.150000","","","","","-1.028350","-1.150000","","","","","","D1 PROFILE","","","",""
"60207600000014","Nodes","14","21.000000","27.009712","DDS demands","Known Flow","301810.788310","689184.401433","","0.000000","","","","-11.620000","","","","","-10.390811","-11.620000","","","","","","D1 PROFILE","","","",""
"60207600003004","Nodes","3004","21.000000","26.829644","DDS demands","Known Flow","301812.769803","689202.987861","","0.000000","","","","-1.580000","","","","","-1.412864","-1.580000","","","","","","D1 PROFILE","","","",""
"60207600000011","Nodes","11","21.000000","29.336857","DDS demands","Known Flow","301774.714271","689426.353809","","0.000000","","","","-5.260000","","","","","-4.703586","-5.260000","","","","","","D1 PROFILE","","","",""
"60207600003010","Nodes","3010","21.000000","26.440833","Default Known Flow Node","Known Flow","301945.554318","689219.219752","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600003102","Nodes","3102","21.000000","24.822727","DDS demands","Known Flow","301973.403325","689081.583715","","0.000000","","","","-15.279999","","","","","-13.663649","-15.279999","","","","","","D1 PROFILE","","","",""
"60207600003033","Nodes","3033","21.000000","24.830390","Default Known Flow Node","Known Flow","301971.519325","689087.044716","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60207600000020","Nodes","20","21.000000","26.262074","DDS demands","Known Flow","301996.113998","689203.484718","","0.000000","","","","-11.360000","","","","","-10.158315","-11.360000","","","","","","D1 PROFILE","","","",""
"60207600003009","Nodes","3009","21.000000","26.189367","DDS demands","Known Flow","301998.401332","689217.519752","","0.000000","","","","-9.819999","","","","","-8.781219","-9.819999","","","","","","D1 PROFILE","","","",""
"60207600000023","Nodes","23","21.000000","24.165677","DDS demands","Known Flow","302129.095368","689035.029702","","0.000000","","","","-5.349999","","","","","-4.784065","-5.349999","","","","","","D1 PROFILE","","","",""
"60207600000114","Nodes","114","21.000000","35.455149","DDS demands","Known Flow","302333.075423","689348.840788","","0.000000","","","","-6.210000","","","","","-5.553093","-6.210000","","","","","","D1 PROFILE","","","",""
