"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)"
"60203800000214","Nodes","214","21.000000","24.567180","Default Known Flow Node","Known Flow","361613.854405","708214.847602","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000138","Nodes","138","21.000000","24.523432","Default Known Flow Node","Known Flow","361629.263558","708240.022928","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000105","Nodes","105","21.000000","24.455831","DDS demands","Known Flow","361580.200545","708156.313905","","0.000000","","","","","-12.340000","","","","-11.034649","-12.340000","","","","","","","D1 PROFILE","","",""
"60203800009829","Nodes","-127","21.000000","24.543341","Default Known Flow Node","Known Flow","361544.850536","708175.545179","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000140","Nodes","140","21.000000","24.329617","DDS demands","Known Flow","361659.765567","708158.424906","","0.000000","","","","","-14.880000","","","","-13.305963","-14.880000","","","","","","","D1 PROFILE","","",""
"60203800000144","Nodes","144","21.000000","24.258172","DDS demands","Known Flow","361634.643560","708121.556896","","0.000000","","","","","-13.630000","","","","-12.188190","-13.630000","","","","","","","D1 PROFILE","","",""
"60203800009826","Nodes","-119","21.000000","24.258172","Default Known Flow Node","Known Flow","361662.338567","708105.400891","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000145","Nodes","145","21.000000","23.996214","DDS demands","Known Flow","361624.158898","708039.560016","","0.000000","","","","","-14.590000","","","","-13.046639","-14.590000","","","","","","","D1 PROFILE","","",""
"60203800000160","Nodes","160","21.000000","23.731944","DDS demands","Known Flow","361781.882600","708097.084889","","0.000000","","","","","-15.869999","","","","-14.191237","-15.869999","","","","","","","D1 PROFILE","","",""
"60203800000161","Nodes","161","21.000000","23.652972","DDS demands","Known Flow","361786.845601","708052.081877","","0.000000","","","","","-13.139999","","","","-11.750022","-13.139999","","","","","","","D1 PROFILE","","",""
"60203800009825","Nodes","-116","21.000000","23.541493","DDS demands","Known Flow","361854.279620","708074.725883","","0.000000","","","","","-1.770000","","","","-1.582765","-1.770000","","","","","","","D1 PROFILE","","",""
"60203800000169","Nodes","169","21.000000","25.092243","Default Known Flow Node","Known Flow","361513.393527","708024.149869","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000054","Nodes","54","21.000000","25.150297","DDS demands","Known Flow","361508.022525","708016.565867","","0.000000","","","","","-4.460000","","","","-3.988211","-4.460000","","","","","","","D1 PROFILE","","",""
"60203800009830","Nodes","-128","21.000000","24.543341","Default Known Flow Node","Known Flow","361531.761532","708183.043913","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000143","Nodes","143","21.000000","24.543341","Default Known Flow Node","Known Flow","361530.495532","708183.756913","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009831","Nodes","-130","21.000000","24.543341","Default Known Flow Node","Known Flow","361543.906535","708196.673916","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000139","Nodes","","21.000000","24.567180","DDS demands","Known Flow","361605.035552","708200.593917","","0.000000","","","","","-6.170000","","","","-5.517324","-6.170000","","","","","","","D1 PROFILE","","",""
"60203800000171","Nodes","171","21.000000","49.186853","DDS demands","Known Flow","360825.127340","707221.648651","","0.000000","","","","","-14.300000","","","","-12.787315","-14.300000","","","","","","","D1 PROFILE","","",""
"60203800009818","Nodes","-10","21.000000","49.226092","Default Known Flow Node","Known Flow","360827.127340","707221.024651","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000215","Nodes","215","21.000000","41.590467","Default Known Flow Node","Known Flow","361079.135099","707449.502008","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009924","Nodes","-78","21.000000","39.220274","Default Known Flow Node","Known Flow","360998.610387","707777.051802","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009923","Nodes","9923","21.000000","27.041173","DDS demands","Known Flow","361122.627421","707776.610802","","","","-15.999999","","","","","","","-14.307486","-15.999999","","","","C2 PROFILE","","","","","",""
"60203800009921","Nodes","-73","21.000000","27.320799","Default Known Flow Node","Known Flow","361149.033428","707759.834797","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000220","Nodes","220","21.000000","27.351018","Default Known Flow Node","Known Flow","361151.323428","707758.650797","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009914","Nodes","-56","21.000000","36.660592","Default Known Flow Node","Known Flow","361114.640418","707708.320783","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009846","Nodes","-1462507","21.000000","36.617700","Default Known Flow Node","Known Flow","361149.577428","707687.357778","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009844","Nodes","-1462504","21.000000","27.320799","Default Known Flow Node","Known Flow","361152.168429","707765.433799","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800000057","Nodes","57","21.000000","23.604861","DDS demands","Known Flow","361776.071598","707934.545845","","0.000000","","","","","-9.809999","","","","-8.772278","-9.809999","","","","","","","D1 PROFILE","","",""
"60203800009822","Nodes","-105","21.000000","23.604861","Default Known Flow Node","Known Flow","361777.554599","707960.418852","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009850","Nodes","-1462520","21.000000","23.604861","Default Known Flow Node","Known Flow","361777.301599","707986.034859","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009854","Nodes","","21.000000","37.814476","DDS demands","Known Flow","360858.965496","707385.214094","","0.000000","","","","","-12.180000","","","","-10.891574","-12.180000","","","","","","","D1 PROFILE","","",""
"60203800009851","Nodes","-1462522","21.000000","42.468207","DDS demands","Known Flow","360922.811366","707416.286704","","0.000000","","","","","-6.550000","","","","-5.857127","-6.550000","","","","","","","D1 PROFILE","","",""
"60203800009904","Nodes","-25","21.000000","38.399855","Default Known Flow Node","Known Flow","361142.126426","707466.009717","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009834","Nodes","-1462476","21.000000","38.613180","Default Known Flow Node","Known Flow","361158.952430","707476.643720","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009919","Nodes","Crail District DG, Tel, Clocked, Site ID 1880","21.000000","49.999998","Default Known Pressure Node","Known Pressure","360823.380339","707215.398649","","999998.967025","","","","","","","","","996.567427","1114.456979","","","","","","","","","",""
"60203800009843","Nodes","-1462497","21.000000","29.003696","Default Known Flow Node","Known Flow","361221.575447","707767.366799","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009918","Nodes","","21.000000","32.960567","DDS demands","Known Flow","361164.349217","707612.942463","","0.000000","","","","","-3.010000","","","","-2.691595","-3.010000","","","","","","","D1 PROFILE","","",""
"60203800009920","Nodes","-70","21.000000","39.177526","Default Known Flow Node","Known Flow","361000.734387","707757.092797","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60203800009836","Nodes","-1462480","21.000000","24.567180","Default Known Flow Node","Known Flow","361624.656557","708240.876928","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
