"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"60602500000032","Nodes","32","21.000000","29.752060","DDS demands","Known Flow","346032.814314","867924.172380","","0.000000","","","-4.309999","-3.520000","","","-7.001726","-7.829999","","","","","C4 PROFILE","D1 PROFILE","",""
"60602510000049","Nodes","10000049","21.000000","22.449245","Default Known Flow Node","Known Flow","346659.418703","867959.894309","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500001058","Nodes","1058","21.000000","29.752060","Default Known Flow Node","Known Flow","345993.325304","867963.856390","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500001059","Nodes","1059","21.000000","36.994180","Default Known Flow Node","Known Flow","346511.055445","867746.628331","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500001024","Nodes","1024","21.000000","35.256997","Default Known Flow Node","Known Flow","346409.731417","867864.417363","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500001080","Nodes","1080","21.000000","36.869828","Default Known Flow Node","Known Flow","346511.895445","867762.131335","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500001054","Nodes","1054","21.000000","30.581202","Default Known Flow Node","Known Flow","346395.271413","868117.863432","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500001081","Nodes","1081","21.000000","36.869828","Default Known Flow Node","Known Flow","346510.587444","867764.286336","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500001087","Nodes","1087","21.000000","22.449245","Default Known Flow Node","Known Flow","346660.551485","867961.136390","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500001032","Nodes","1032","21.000000","29.208204","Default Known Flow Node","Known Flow","346409.556417","868224.140461","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500001093","Nodes","1093","21.000000","28.898065","Default Known Flow Node","Known Flow","346407.054416","868234.352464","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500001055","Nodes","1055","21.000000","30.283846","Default Known Flow Node","Known Flow","346077.151326","867774.819339","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500000048","Nodes","48","21.000000","34.756049","DDS demands","Known Flow","346390.824412","867895.029372","","0.000000","-1.100000","","","-7.159999","","","-7.386239","-8.259999","","","C1 PROFILE","","","D1 PROFILE","",""
"60602510000044","Nodes","10000044","21.000000","34.386184","Default Known Flow Node","Known Flow","346363.001404","867937.477383","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602501462487","Nodes","1462487","21.000000","30.164201","Default Known Flow Node","Known Flow","346343.223399","868096.482426","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500000045","Nodes","45","21.000000","30.164201","DDS demands","Known Flow","346344.729399","868094.859426","","0.000000","","","","-10.350000","","","-9.255155","-10.350000","","","","","","D1 PROFILE","",""
"60602500000030","Nodes","30","21.000000","30.394357","DDS demands","Known Flow","345925.201285","867781.645341","","0.000000","","","","-3.810000","","","-3.406970","-3.810000","","","","","","D1 PROFILE","",""
"60602501462484","Nodes","1462484","21.000000","34.315499","Default Known Flow Node","Known Flow","346354.988402","867949.163386","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500000023","Nodes","23","21.000000","29.140601","DDS demands","Known Flow","345920.702284","867721.207324","","0.000000","","","","-16.659999","","","-14.897669","-16.659999","","","","","","D1 PROFILE","",""
"60602501462481","Nodes","1462481","21.000000","26.302774","Default Known Flow Node","Known Flow","346181.083355","867597.213291","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500000126","Nodes","126","21.000000","29.881001","DDS demands","Known Flow","346293.565385","868071.532420","","0.000000","","","","-4.630000","","","-4.140228","-4.630000","","","","","","D1 PROFILE","",""
"60602500000036","Nodes","36","21.000000","29.420042","DDS demands","Known Flow","346304.943388","868146.934440","","0.000000","","","","-9.489999","","","-8.486127","-9.489999","","","","","","D1 PROFILE","",""
"60602500000021","Nodes","21","21.000000","30.602765","DDS demands","Known Flow","345765.269242","867690.647316","","0.000000","","","","-5.919999","","","-5.293770","-5.919999","","","","","","D1 PROFILE","",""
"60602510000024","Nodes","10000024","21.000000","30.479487","Default Known Flow Node","Known Flow","345924.915285","867780.665341","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602501462495","Nodes","1462495","21.000000","32.960452","Default Known Flow Node","Known Flow","346320.491393","867841.689357","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500000074","Nodes","74","21.000000","32.998458","DDS demands","Known Flow","346387.303411","867770.631338","","0.000000","","","","-1.599999","","","-1.430748","-1.599999","","","","","","D1 PROFILE","",""
"60602500000047","Nodes","47","21.000000","34.271921","DDS demands","Known Flow","346363.309404","867939.870384","","0.000000","","-2.730000","","-2.089999","","","-4.310130","-4.819999","","","","C3 PROFILE","","D1 PROFILE","",""
"60602500000042","Nodes","42","21.000000","31.340302","DDS demands","Known Flow","346425.421421","868015.233404","","0.000000","","","","-17.909999","","","-16.015442","-17.909999","","","","","","D1 PROFILE","",""
"60602500000053","Nodes","53","21.000000","29.487984","Default Known Flow Node","Known Flow","345903.539279","867749.072332","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602501462488","Nodes","1462488","21.000000","34.016593","DDS demands","Known Flow","346349.655401","867998.856400","","0.000000","","","","-4.460000","","","-3.988211","-4.460000","","","","","","D1 PROFILE","",""
"60602501462496","Nodes","1462496","21.000000","30.121017","Default Known Flow Node","Known Flow","346363.745404","868056.777416","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60602500000001","Nodes","FINDOCHTY DISTRICT D.G, Clocked, Site ID 1005","21.000000","37.000000","Default Known Pressure Node","Known Pressure","346511.429445","867745.706331","","5657.999959","","","","","","","515.972676","577.010002","","","","","","","",""
"60602500000067","Nodes","67","21.000000","26.793603","DDS demands","Known Flow","346526.636449","867854.543361","","0.000000","","","","-11.199999","","","-10.015240","-11.199999","","","","","","D1 PROFILE","",""
"60602500000077","Nodes","77","21.000000","26.787539","DDS demands","Known Flow","346546.947454","867831.350354","","0.000000","","","","-4.119999","","","-3.684177","-4.119999","","","","","","D1 PROFILE","",""
