"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"60210600000109","Nodes","-103486","21.000000","48.071875","Default Known Flow Node","Known Flow","325069.361628","722931.233788","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60210600000046","Nodes","MAXIMO 391629-DIVERSIFIED LOAD","21.000000","40.981857","DDS demands","Known Flow","325420.157057","722807.042972","","0.000000","","","","-13.910000","","","-30.200001","-39.443950","-44.110002","","","","","","D1 PROFILE","","","PL-AF PROFILE"
"60210600000048","Nodes","48","21.000000","41.060859","DDS demands","Known Flow","325393.116954","722837.620784","","0.000000","","","","-3.569999","","","","-3.192357","-3.569999","","","","","","D1 PROFILE","","",""
"60210600000036","Nodes","36","21.000000","45.173936","DDS demands","Known Flow","325340.831958","722931.466973","","0.000000","","","","-7.020000","","","","-6.277409","-7.020000","","","","","","D1 PROFILE","","",""
"60210600000022","Nodes","22","21.000000","45.239200","DDS demands","Known Flow","325333.482597","722919.079871","","0.000000","","","","-1.999999","","","","-1.788435","-1.999999","","","","","","D1 PROFILE","","",""
"60210600000020","Nodes","20","21.000000","45.231573","DDS demands","Known Flow","325262.640000","722933.895000","","0.000000","","","","-3.150000","","","","-2.816786","-3.150000","","","","","","D1 PROFILE","","",""
"60210600000045","Nodes","45","21.000000","46.058050","DDS demands","Known Flow","325181.215753","722870.475398","","0.000000","","","","-12.319999","","","","-11.016764","-12.319999","","","","","","D1 PROFILE","","",""
"60210600000023","Nodes","23","21.000000","43.065027","DDS demands","Known Flow","325329.492438","722792.951155","","0.000000","","","","-12.590000","","","","-11.258204","-12.590000","","","","","","D1 PROFILE","","",""
"60210600000113","Nodes","-103494","21.000000","42.863501","Default Known Flow Node","Known Flow","325268.640701","722870.508183","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60210600000114","Nodes","-103495","21.000000","42.054432","Default Known Flow Node","Known Flow","325374.349271","722799.031863","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60210600000043","Nodes","43","21.000000","44.401258","DDS demands","Known Flow","325247.776896","722678.753928","","0.000000","","","","-6.800000","","","","-6.080681","-6.800000","","","","","","D1 PROFILE","","",""
"60210600000100","Nodes","100","21.000000","45.314776","DDS demands","Known Flow","325182.180450","722712.112180","","0.000000","","","","-4.969999","","","","-4.444263","-4.969999","","","","","","D1 PROFILE","","",""
"60210600000101","Nodes","101","21.000000","45.278994","DDS demands","Known Flow","325163.382953","722667.748139","","0.000000","","","","-3.289999","","","","-2.941976","-3.289999","","","","","","D1 PROFILE","","",""
"60210600000017","Nodes","17","21.000000","47.160317","DDS demands","Known Flow","325081.959599","722783.966342","","0.000000","","","","-15.120000","","","","-13.520574","-15.120000","","","","","","D1 PROFILE","","",""
"60210600000018","Nodes","18","21.000000","47.004662","DDS demands","Known Flow","325088.874740","722796.676566","","0.000000","","","","-9.949999","","","","-8.897467","-9.949999","","","","","","D1 PROFILE","","",""
"60210600000014","Nodes","P00105653, High Street, 6.00","21.000000","46.809243","CSEP DDS Matched","Known Flow","325059.086506","722855.135346","","0.000000","","","","-2.039999","-6.000000","","","-7.189511","-8.039999","","","","","","D1 PROFILE","DC PROFILE","",""
"60210600000041","Nodes","41","21.000000","45.976203","DDS demands","Known Flow","325178.984283","722802.078392","","0.000000","","","-2.640000","-9.119999","","","","-10.516002","-11.759999","","","","","C4 PROFILE","D1 PROFILE","","",""
"60210600000120","Nodes","-829799","21.000000","45.976203","Default Known Flow Node","Known Flow","325180.406428","722800.546851","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60210600000104","Nodes","104","21.000000","46.060630","Default Known Flow Node","Known Flow","325129.209202","722780.418028","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60210600000047","Nodes","47","21.000000","38.156370","DDS demands","Known Flow","325168.999542","722889.041619","","0.000000","","","","-9.819999","","","","-8.781219","-9.819999","","","","","","D1 PROFILE","","",""
"60210600000019","Nodes","19","21.000000","46.323102","DDS demands","Known Flow","325147.368902","722840.148124","","0.000000","","","","-5.749999","","-39.319997","","-40.302399","-45.069995","","","","","","D1 PROFILE","","DM PROFILE",""
"60210600000055","Nodes","55","21.000000","46.263028","DDS demands","Known Flow","325126.036725","722880.077584","","0.000000","","","","-10.790000","","","","-9.648611","-10.790000","","","","","","D1 PROFILE","","",""
"60210600000015","Nodes","15","21.000000","46.219816","DDS demands","Known Flow","325164.342868","722908.575460","","0.000000","","","","-1.370000","","","","-1.225078","-1.370000","","","","","","D1 PROFILE","","",""
