"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"60203900000176","Nodes","176","21.000000","36.140375","DDS demands","Known Flow","306913.744115","686657.023153","","0.000000","","","","","-9.560000","","","-8.548724","-9.560000","","","","","","","D1 PROFILE","",""
"60203900000177","Nodes","177","21.000000","35.952081","DDS demands","Known Flow","306947.564834","686666.786388","","0.000000","","","","","-5.810000","","","-5.195405","-5.810000","","","","","","","D1 PROFILE","",""
"60203900000096","Nodes","96","21.000000","35.975190","DDS demands","Known Flow","306892.463664","686740.879078","","0.000000","","","","","-5.590000","","","-4.998678","-5.590000","","","","","","","D1 PROFILE","",""
"60203900003036","Nodes","3036","21.000000","35.975190","Default Known Flow Node","Known Flow","306872.858659","686762.525084","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000178","Nodes","178","21.000000","35.921851","DDS demands","Known Flow","306954.053681","686667.128058","","0.000000","-2.679999","","","","-17.010000","","","-17.607150","-19.689999","","","C1 PROFILE","","","","D1 PROFILE","",""
"60203900003006","Nodes","3006","21.000000","35.896890","Default Known Flow Node","Known Flow","306958.132534","686669.205940","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000174","Nodes","174","21.000000","31.058529","DDS demands","Known Flow","306856.591654","686550.264026","","0.000000","","","","","-16.159999","","","-14.450561","-16.159999","","","","","","","D1 PROFILE","",""
"60203900003067","Nodes","3067","21.000000","31.056834","Default Known Flow Node","Known Flow","306835.044648","686542.596024","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003001","Nodes","3001","21.000000","38.707713","Default Known Flow Node","Known Flow","306731.231620","686625.354047","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000050","Nodes","50","21.000000","38.978314","DDS demands","Known Flow","306737.725622","686627.883047","","0.000000","","","","","-8.600000","","","-7.690274","-8.600000","","","","","","","D1 PROFILE","",""
"60203900003024","Nodes","3024","21.000000","38.430517","Default Known Flow Node","Known Flow","306633.269593","686649.720053","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003039","Nodes","3039","21.000000","34.773544","Default Known Flow Node","Known Flow","306764.238629","686842.346106","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003003","Nodes","3003","21.000000","37.268689","Default Known Flow Node","Known Flow","306802.419639","686637.784050","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003038","Nodes","3038","21.000000","34.645966","Default Known Flow Node","Known Flow","306770.616631","686831.932103","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003023","Nodes","3023","21.000000","33.371792","DDS demands","Known Flow","306783.560634","686802.518095","","0.000000","","","","","-2.269999","","","-2.029874","-2.269999","","","","","","","D1 PROFILE","",""
"60203900003064","Nodes","3064","21.000000","31.055001","Default Known Flow Node","Known Flow","306815.790643","686529.056020","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000054","Nodes","54","21.000000","31.008113","DDS demands","Known Flow","306827.205594","686480.095629","","0.000000","","","","","-6.340000","","","-5.669341","-6.340000","","","","","","","D1 PROFILE","",""
"60203900003031","Nodes","3031","21.000000","31.055001","Default Known Flow Node","Known Flow","306808.441641","686553.076027","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003062","Nodes","3062","21.000000","30.424406","Default Known Flow Node","Known Flow","306877.774660","686520.840018","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900000095","Nodes","95","21.000000","35.908470","DDS demands","Known Flow","306941.738294","686727.884330","","0.000000","","","","","-5.559999","","","-4.971851","-5.559999","","","","","","","D1 PROFILE","",""
"60203900000112","Nodes","112","21.000000","31.373618","DDS demands","Known Flow","306976.616871","686523.283997","","0.000000","","","","","-15.510000","","","-13.869319","-15.510000","","","","","","","D1 PROFILE","",""
"60203900000111","Nodes","111","21.000000","32.509812","DDS demands","Known Flow","307071.810713","686549.330026","","0.000000","","","","","-14.189999","","","-12.688951","-14.189999","","","","","","","D1 PROFILE","",""
"60203900000110","Nodes","110","21.000000","32.596510","DDS demands","Known Flow","306961.875683","686580.375034","","0.000000","","","","","-9.170000","","","-8.199978","-9.170000","","","","","","","D1 PROFILE","",""
"60203900000171","Nodes","171","21.000000","32.886325","DDS demands","Known Flow","307042.926705","686600.562040","","0.000000","","","","","-12.529999","","","-11.204550","-12.529999","","","","","","","D1 PROFILE","",""
"60203900000100","Nodes","100","21.000000","34.260027","DDS demands","Known Flow","307283.275945","686682.980925","","0.000000","","","","","-9.890000","","","-8.843815","-9.890000","","","","","","","D1 PROFILE","",""
"60203900000104","Nodes","104","21.000000","33.875285","DDS demands","Known Flow","307207.849750","686672.147059","","0.000000","","","","","-6.800000","","","-6.080681","-6.800000","","","","","","","D1 PROFILE","",""
"60203900000105","Nodes","105","21.000000","33.646058","DDS demands","Known Flow","307232.458756","686634.887049","","0.000000","","","","","-7.329999","","","-6.554617","-7.329999","","","","","","","D1 PROFILE","",""
"60203900000106","Nodes","106","21.000000","33.418339","DDS demands","Known Flow","307141.762732","686655.596055","","0.000000","","","","","-3.960000","","","-3.541102","-3.960000","","","","","","","D1 PROFILE","",""
"60203900000107","Nodes","107","21.000000","33.272366","DDS demands","Known Flow","307152.099735","686617.258044","","0.000000","","","","","-6.610000","","","-5.910780","-6.610000","","","","","","","D1 PROFILE","",""
"60203900000108","Nodes","108","21.000000","33.028059","DDS demands","Known Flow","307091.357718","686615.259044","","0.000000","","","","","-6.939999","","","-6.205872","-6.939999","","","","","","","D1 PROFILE","",""
"60203900003007","Nodes","3007","21.000000","35.346627","Default Known Flow Node","Known Flow","307071.667068","686676.546096","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003005","Nodes","3005","21.000000","35.260408","Default Known Flow Node","Known Flow","307074.726150","686661.534615","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003030","Nodes","3030","21.000000","34.966379","Default Known Flow Node","Known Flow","307196.428738","686748.601999","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60203900003043","Nodes","3043","21.000000","34.388691","Default Known Flow Node","Known Flow","307992.249143","686904.859426","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
