"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"60603600001018","Nodes","1018","21.000000","23.561517","Default Known Flow Node","Known Flow","399964.904823","824886.842543","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600001016","Nodes","1016","21.000000","23.791911","DDS demands","Known Flow","399909.861622","824861.573600","","0.000000","","","","","-1.330000","","","","","-1.189309","-1.330000","","","","","","","D1 PROFILE","","","",""
"60603600001013","Nodes","P00096383, MAIN STREET, -23.60","24.000000","23.600959","CSEP Unmatched","Known Flow","399805.237403","824845.151332","","0.000000","","","-22.490000","","","-23.599999","","","","-41.214505","-46.089998","","","","","C3 PROFILE","","","DC PROFILE","","",""
"60603600001012","Nodes","1012","21.000000","25.792596","Default Known Flow Node","Known Flow","399741.385637","824885.230070","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600001014","Nodes","1014","21.000000","34.733151","Default Known Flow Node","Known Flow","399676.062500","824999.437500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600001015","Nodes","1015","21.000000","33.882080","DDS demands","Known Flow","399736.062500","824960.937500","","0.000000","","","","","-11.910000","","","","","-10.650135","-11.910000","","","","","","","D1 PROFILE","","","",""
"60603600001010","Nodes","1010","21.000000","34.733241","DDS demands","Known Flow","399676.062500","824999.375000","","0.000000","","","","","-7.999999","","","","","-7.153743","-7.999999","","","","","","","D1 PROFILE","","","",""
"60603600001002","Nodes","1002","21.000000","34.787274","DDS demands","Known Flow","399654.875000","825026.125000","","0.000000","","","","","-7.089999","","","","","-6.340004","-7.089999","","","","","","","D1 PROFILE","","","",""
"60603600000000","Nodes","0","21.000000","35.688804","Default Known Flow Node","Known Flow","399594.968750","824977.500000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600001008","Nodes","1008","21.000000","35.679258","DDS demands","Known Flow","399600.875000","825065.250000","","0.000000","","","","","-2.609999","","","","","-2.333908","-2.609999","","","","","","","D1 PROFILE","","","",""
"60603600001009","Nodes","1009","21.000000","35.173930","Default Known Flow Node","Known Flow","399615.375000","825117.312500","","0.000000","","","","","","","-12.799999","","","-11.445988","-12.799999","","","","","","","","","DH PROFILE","",""
"60603600001006","Nodes","1006","21.000000","35.003073","Default Known Flow Node","Known Flow","399641.312500","825037.375000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600001005","Nodes","1005","21.000000","37.727139","DDS demands","Known Flow","399553.031250","825052.000000","","0.000000","","","","","-19.319998","","","","","-17.276288","-19.319998","","","","","","","D1 PROFILE","","","",""
"60603600001003","Nodes","1003","21.000000","34.947680","Default Known Flow Node","Known Flow","399644.531250","825034.750000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600001007","Nodes","1007","21.000000","34.948724","Default Known Flow Node","Known Flow","399644.468750","825034.812500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600001000","Nodes","1000","21.000000","34.948724","Default Known Flow Node","Known Flow","399644.093750","825035.125000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600001004","Nodes","1004","21.000000","35.003073","Default Known Flow Node","Known Flow","399641.843750","825036.937500","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000102","Nodes","-15","21.000000","38.247492","Default Known Flow Node","Known Flow","399552.875000","825054.250000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000987","Nodes","987","21.000000","36.135550","DDS demands","Known Flow","399569.406250","825017.125000","","0.000000","","","","","-8.159999","","","","","-7.296817","-8.159999","","","","","","","D1 PROFILE","","","",""
"60603600000536","Nodes","536","21.000000","35.252226","DDS demands","Known Flow","399482.312500","825036.312500","","0.000000","","","","","-10.759999","","","","","-9.621784","-10.759999","","","","","","","D1 PROFILE","","","",""
"60603600000103","Nodes","-17","21.000000","48.525886","Default Known Flow Node","Known Flow","399539.625000","825097.125000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603600000104","Nodes","SCHOOL ROAD RRI","21.000000","49.999998","Default Known Pressure Node","Known Pressure","399560.625000","825152.000000","","999998.967025","","","","","","","","","","72.118662","80.649998","","","","","","","","","","",""
"60603600000037","Nodes","37","21.000000","27.682831","DDS demands","Known Flow","400093.548100","825898.714384","","0.000000","","","","","-12.380000","","","","","-11.070417","-12.380000","","","","","","","D1 PROFILE","","","",""
"60603600001001","Nodes","","21.000000","23.926875","DDS demands","Known Flow","400103.089417","826032.003427","","0.000000","","-37.090000","","","","","","","","-33.166542","-37.090000","","","","C2 PROFILE","","","","","","",""
